,who,designs,both,the,``,50,'',as,well,as,the,trophy,?
like,0.34740978479385376,0.28015053272247314,0.39125287532806396,0.32912567257881165,0.043583642691373825,0.07243908941745758,0.002897517755627632,0.4175155460834503,0.4826888144016266,0.4175155460834503,0.32912567257881165,0.12941649556159973,0.3268813192844391
the,0.3733934462070465,0.2415979504585266,0.4931981563568115,1.0,0.029072100296616554,0.03602437674999237,0.041273195296525955,0.48381632566452026,0.42630070447921753,0.48381632566452026,1.0,0.23165881633758545,0.22068053483963013
lombardi,0.17496588826179504,0.1771739274263382,0.15793859958648682,0.18416112661361694,-0.021232720464468002,0.06124844029545784,0.044365204870700836,0.2129468470811844,0.1418893188238144,0.2129468470811844,0.18416112661361694,0.26002585887908936,0.12761563062667847
trophy,0.1846436858177185,0.15576471388339996,0.18331287801265717,0.23165881633758545,-0.027883505448698997,0.016763124614953995,-0.04935453459620476,0.19547638297080994,0.1193079799413681,0.19547638297080994,0.23165881633758545,0.9999998807907104,0.1832219511270523
",",0.3365725874900818,0.18473142385482788,0.38080528378486633,0.4933079481124878,0.09681109338998795,-0.025195008143782616,-0.037358131259679794,0.48816442489624023,0.4331948161125183,0.48816442489624023,0.4933079481124878,0.246511310338974,0.31091248989105225
the,0.3733934462070465,0.2415979504585266,0.4931981563568115,1.0,0.029072100296616554,0.03602437674999237,0.041273195296525955,0.48381632566452026,0.42630070447921753,0.48381632566452026,1.0,0.23165881633758545,0.22068053483963013
``,0.02397952415049076,-0.08749338984489441,0.05544934421777725,0.029072100296616554,1.0,0.05617367848753929,-0.09173435717821121,0.03910288214683533,0.01762915775179863,0.03910288214683533,0.029072100296616554,-0.027883505448698997,0.0685480609536171
50,0.0322180911898613,0.10992446541786194,0.016993142664432526,0.03602437674999237,0.05617367848753929,0.9999999403953552,0.08711730688810349,-0.0016074778977781534,0.034162651747465134,-0.0016074778977781534,0.03602437674999237,0.016763124614953995,0.030512850731611252
'',0.024401003494858742,0.10514378547668457,-0.011287134140729904,0.041273195296525955,-0.09173435717821121,0.08711730688810349,1.0,0.006628023460507393,0.0931968167424202,0.006628023460507393,0.041273195296525955,-0.04935453459620476,0.018684765323996544
will,0.24651563167572021,0.19049009680747986,0.3347627818584442,0.3635469079017639,0.07008423656225204,0.07188837975263596,-0.00181001634337008,0.3047071695327759,0.2685459554195404,0.3047071695327759,0.3635469079017639,0.14131833612918854,0.35046905279159546
be,0.3371641933917999,0.2356063723564148,0.37506237626075745,0.4248143136501312,0.07670000940561295,0.015184788033366203,0.08835477381944656,0.5230465531349182,0.4045031666755676,0.5230465531349182,0.4248143136501312,0.1529839187860489,0.3324260413646698
designed,0.21097040176391602,0.7181504368782043,0.24562154710292816,0.2559613883495331,-0.05251215770840645,0.08676627278327942,0.017010018229484558,0.23383614420890808,0.17608925700187683,0.23383614420890808,0.2559613883495331,0.1463049203157425,0.11213942617177963
by,0.39727845788002014,0.23645664751529694,0.3367134630680084,0.4408751428127289,-0.030704375356435776,0.03871260583400726,-0.010275691747665405,0.3815547823905945,0.2519793212413788,0.3815547823905945,0.4408751428127289,0.17563243210315704,0.17966607213020325
tiffany,0.2110571414232254,0.3177427351474762,0.19581519067287445,0.15607501566410065,-0.20316669344902039,-0.01403140090405941,0.039966899901628494,0.2592769265174866,0.12229833751916885,0.2592769265174866,0.15607501566410065,0.2283443808555603,0.17250743508338928
&,0.09244576841592789,0.10025275498628616,0.13048413395881653,0.14992168545722961,-0.14380550384521484,-0.021890126168727875,-0.007392024155706167,0.22134603559970856,0.16517320275306702,0.22134603559970856,0.14992168545722961,0.09975413978099823,0.12596383690834045
co,0.2243642956018448,0.1172209233045578,0.11064444482326508,0.19341111183166504,-0.038208864629268646,-0.043050408363342285,-0.026299050077795982,0.2393319308757782,0.23011353611946106,0.2393319308757782,0.19341111183166504,0.1531163901090622,0.1823645681142807
.,0.3541337847709656,0.19975645840168,0.42281273007392883,0.5934505462646484,0.05720457062125206,0.04325474053621292,-0.07181349396705627,0.515582263469696,0.42422395944595337,0.515582263469696,0.5934505462646484,0.2492588460445404,0.4130953550338745
