,xenoliths,are,picked,up,by,what,and,deposited,into,the,matrix,of,igneous,rocks,?
these,0.3868425488471985,0.7107698917388916,0.20872588455677032,0.3546345829963684,0.33332425355911255,0.4164220690727234,0.5314885973930359,0.3188231587409973,0.3533816933631897,0.49086877703666687,0.2064051479101181,0.42684608697891235,0.3375225365161896,0.3329205811023712,0.2571668326854706
foreign,0.17516642808914185,0.18581871688365936,0.21152052283287048,0.07657691836357117,0.22881895303726196,0.1784719079732895,0.25234511494636536,0.17332272231578827,0.1503351777791977,0.2946566939353943,0.13846245408058167,0.25741127133369446,0.1228853315114975,0.017992300912737846,0.13770383596420288
bodies,0.35775354504585266,0.35380154848098755,0.15352927148342133,0.22199474275112152,0.2477024495601654,0.1688588559627533,0.30740299820899963,0.3520415425300598,0.26294270157814026,0.2745959758758545,0.10888535529375076,0.2732889950275421,0.29466256499290466,0.3977164626121521,0.18285469710826874
are,0.36328408122062683,1.0,0.2001209408044815,0.32151925563812256,0.37842893600463867,0.29724663496017456,0.48576638102531433,0.23925459384918213,0.2930682599544525,0.40399202704429626,0.18198314309120178,0.39081433415412903,0.3190121650695801,0.33511796593666077,0.24591213464736938
picked,0.12929220497608185,0.2001209408044815,0.9999999403953552,0.36738070845603943,0.2652839422225952,0.22830641269683838,0.27857691049575806,0.20059619843959808,0.20791618525981903,0.32128480076789856,0.05574033409357071,0.29296234250068665,0.10976693034172058,0.19539682567119598,0.11181110143661499
up,0.22545252740383148,0.32151925563812256,0.36738070845603943,1.0000001192092896,0.2738759219646454,0.28591108322143555,0.4032393991947174,0.22201870381832123,0.38173696398735046,0.38423117995262146,0.12621967494487762,0.32945773005485535,0.20935353636741638,0.3400709629058838,0.1819818764925003
as,0.27446380257606506,0.3826591968536377,0.2407422959804535,0.22736889123916626,0.3815547823905945,0.31749409437179565,0.49487000703811646,0.22116614878177643,0.24094121158123016,0.48381632566452026,0.21625250577926636,0.3886612355709076,0.2160210907459259,0.18145407736301422,0.27043893933296204
magma,0.4638858437538147,0.2370576709508896,0.1851990669965744,0.2361128330230713,0.16904433071613312,0.22571711242198944,0.22274143993854523,0.4806668162345886,0.2744094133377075,0.19747498631477356,0.42040494084358215,0.15077932178974152,0.5754569172859192,0.5001302361488342,0.14903505146503448
or,0.30835747718811035,0.5374364256858826,0.2261316329240799,0.28756099939346313,0.30274316668510437,0.33867141604423523,0.4713204801082611,0.32494860887527466,0.31663477420806885,0.4174870550632477,0.20581653714179993,0.3792596757411957,0.32290974259376526,0.26878252625465393,0.32389625906944275
lava,0.42317190766334534,0.21242214739322662,0.160858154296875,0.2542453110218048,0.15753161907196045,0.17333997786045074,0.2394663244485855,0.42311012744903564,0.18797530233860016,0.1775549203157425,0.2621835470199585,0.13713309168815613,0.5160804986953735,0.46499109268188477,0.12033136188983917
flows,0.24909405410289764,0.20555317401885986,0.12460291385650635,0.16403590142726898,0.12639357149600983,0.14294633269309998,0.2396772801876068,0.3426629602909088,0.33567726612091064,0.32405155897140503,0.17987270653247833,0.25574392080307007,0.3303426206111908,0.2374371588230133,0.11636040359735489
",",0.18952393531799316,0.4062570035457611,0.22014860808849335,0.34193792939186096,0.3680937886238098,0.3087472915649414,0.6633074283599854,0.21610654890537262,0.2826121151447296,0.4933079481124878,0.23614934086799622,0.4946078956127167,0.22172565758228302,0.30537211894989014,0.31091248989105225
and,0.2653273046016693,0.48576638102531433,0.27857691049575806,0.4032393991947174,0.4289871156215668,0.31309178471565247,1.0,0.3015652894973755,0.36597734689712524,0.5171257257461548,0.23399995267391205,0.5116966962814331,0.23742187023162842,0.29739323258399963,0.20544172823429108
are,0.36328408122062683,1.0,0.2001209408044815,0.32151925563812256,0.37842893600463867,0.29724663496017456,0.48576638102531433,0.23925459384918213,0.2930682599544525,0.40399202704429626,0.18198314309120178,0.39081433415412903,0.3190121650695801,0.33511796593666077,0.24591213464736938
incorporated,0.19036734104156494,0.17456550896167755,0.19796645641326904,0.10824810713529587,0.23589405417442322,0.16587792336940765,0.22905798256397247,0.20151087641716003,0.32526031136512756,0.28890469670295715,0.14216777682304382,0.2825961709022522,0.26128432154655457,0.17479221522808075,0.13423967361450195
",",0.18952393531799316,0.4062570035457611,0.22014860808849335,0.34193792939186096,0.3680937886238098,0.3087472915649414,0.6633074283599854,0.21610654890537262,0.2826121151447296,0.4933079481124878,0.23614934086799622,0.4946078956127167,0.22172565758228302,0.30537211894989014,0.31091248989105225
later,0.22735264897346497,0.21720336377620697,0.2542339861392975,0.21218731999397278,0.3747883439064026,0.2517229914665222,0.4216292202472687,0.21685729920864105,0.36569949984550476,0.4060266613960266,0.12671366333961487,0.3458743393421173,0.13989585638046265,0.18820753693580627,0.1417175978422165
to,0.23432418704032898,0.3504326641559601,0.28333398699760437,0.40375280380249023,0.33534231781959534,0.455847829580307,0.48971283435821533,0.23514068126678467,0.38810545206069946,0.535392165184021,0.18976537883281708,0.41548454761505127,0.17373503744602203,0.23520028591156006,0.29463258385658264
cool,0.1532592475414276,0.22966521978378296,0.1436712145805359,0.20571577548980713,0.15297473967075348,0.2674468457698822,0.26878324151039124,0.17993485927581787,0.13335585594177246,0.21129626035690308,0.14841757714748383,0.14940570294857025,0.21497532725334167,0.25121328234672546,0.23781441152095795
