,what,is,the,name,of,the,movement,that,seeks,renewed,use,of,steam,power,in,the,modern,era,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.30142447352409363,0.45148900151252747,0.6274310946464539,0.28552311658859253,0.6909449696540833,0.24800364673137665,0.2799050211906433,0.4395635426044464,0.45148900151252747,0.22001534700393677,0.24943022429943085,0.45205554366111755,0.6274310946464539,0.28370019793510437,0.2598396837711334,0.3155723512172699
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.20353496074676514,0.3995479643344879,0.23242413997650146,0.12368647754192352,0.3357410430908203,0.4854315221309662,0.13029660284519196,0.15234114229679108,0.5394441485404968,0.5823672413825989,0.24170172214508057,0.11451215296983719,0.22961433231830597
becoming,0.2530137896537781,0.3209705054759979,0.333665668964386,0.15919774770736694,0.3014795780181885,0.333665668964386,0.23291608691215515,0.27984875440597534,0.23937933146953583,0.19333507120609283,0.1916971206665039,0.3014795780181885,0.2070361077785492,0.23903493583202362,0.2425609976053238,0.333665668964386,0.15608753263950348,0.20356960594654083,0.17354105412960052
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.3659360110759735,0.35814476013183594,0.3624623417854309,0.21515174210071564,0.20813259482383728,0.14831814169883728,0.1044159010052681,0.22469715774059296,0.35814476013183594,0.11819102615118027,0.15895025432109833,0.32641831040382385,0.3624623417854309,0.1906650811433792,0.228163480758667,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.22513282299041748,0.4735107421875,0.19684699177742004,0.1932363212108612,0.3453201949596405,0.3886612355709076,0.20776431262493134,0.20748355984687805,0.3887844979763031,0.48381632566452026,0.242071270942688,0.20649906992912292,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.339571475982666,0.5473989248275757,0.2753336727619171,0.3146619200706482,0.34342584013938904,0.733189046382904,0.23105813562870026,0.2647338807582855,0.6662389636039734,1.0,0.3283970355987549,0.266272634267807,0.22068053483963013
advanced,0.1988004893064499,0.14119109511375427,0.2635994255542755,0.05990418791770935,0.2752973437309265,0.2635994255542755,0.205166295170784,0.26491597294807434,0.14943434298038483,0.1155698299407959,0.29645535349845886,0.2752973437309265,0.22637467086315155,0.162278413772583,0.2200557142496109,0.2635994255542755,0.37378934025764465,0.1794954240322113,0.1806638389825821
steam,0.15672586858272552,0.13029660284519196,0.23105813562870026,0.1303234100341797,0.20239725708961487,0.23105813562870026,0.19614122807979584,0.24386391043663025,0.1360766440629959,0.19320008158683777,0.2950085997581482,0.20239725708961487,1.0000001192092896,0.35972869396209717,0.19852672517299652,0.23105813562870026,0.3045346438884735,0.21451999247074127,0.113324373960495
movement,0.23934946954250336,0.20353496074676514,0.339571475982666,0.11319326609373093,0.2662941515445709,0.339571475982666,1.0,0.2563289701938629,0.3239297866821289,0.2294297218322754,0.23084762692451477,0.2662941515445709,0.19614122807979584,0.195103257894516,0.26725053787231445,0.339571475982666,0.2795431613922119,0.23224708437919617,0.1423349231481552
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.22796523571014404,0.4460422694683075,0.19360657036304474,0.20069830119609833,0.3711656630039215,0.5352458953857422,0.22855372726917267,0.2141435295343399,0.5591574311256409,0.5934505462646484,0.22790057957172394,0.1924184113740921,0.4130953550338745
