,who,caught,two,passes,from,manning,after,the,failed,carolina,field,goal,attempt,?
after,0.32549580931663513,0.30180811882019043,0.3276641070842743,0.216883584856987,0.4051513373851776,0.2410842478275299,1.0,0.4565047025680542,0.4212489426136017,0.1946459859609604,0.13112539052963257,0.176401287317276,0.2802733778953552,0.16608688235282898
the,0.3733934462070465,0.2087310254573822,0.43858039379119873,0.3752402365207672,0.40150508284568787,0.27058160305023193,0.4565047025680542,1.0,0.32787200808525085,0.24749229848384857,0.2105809599161148,0.2443244755268097,0.2614527940750122,0.22068053483963013
miss,0.1459709256887436,0.14629147946834564,0.1017872765660286,0.17133182287216187,0.07609915733337402,0.23363196849822998,0.11567001044750214,0.15176062285900116,0.17618557810783386,0.21678420901298523,0.1418994665145874,0.0739106610417366,0.13314759731292725,0.21144157648086548
",",0.3365725874900818,0.300359308719635,0.35859420895576477,0.28486189246177673,0.39760664105415344,0.30921146273612976,0.38860568404197693,0.4933079481124878,0.28599733114242554,0.2566046118736267,0.27645614743232727,0.2145523726940155,0.19646479189395905,0.31091248989105225
manning,0.33436715602874756,0.26358893513679504,0.1973157376050949,0.281787633895874,0.23143106698989868,0.9999998807907104,0.2410842478275299,0.27058160305023193,0.18885722756385803,0.26052483916282654,0.24487000703811646,0.2903554141521454,0.25317662954330444,0.15856626629829407
completed,0.15320545434951782,0.2051316201686859,0.24184660613536835,0.2495463490486145,0.19565615057945251,0.23336046934127808,0.3119466304779053,0.29278936982154846,0.3756418824195862,0.13869258761405945,0.18270573019981384,0.22484253346920013,0.2492855042219162,0.08272653818130493
a,0.36608949303627014,0.23753906786441803,0.3289857804775238,0.31111034750938416,0.322764128446579,0.2509649395942688,0.3831600844860077,0.5829201340675354,0.26673170924186707,0.1979188621044159,0.2030690312385559,0.20853768289089203,0.2390216588973999,0.23916715383529663
pair,0.19750306010246277,0.1402091532945633,0.4598742723464966,0.14303740859031677,0.15907299518585205,0.14733827114105225,0.1945827752351761,0.2643369734287262,0.07526896148920059,0.0741567611694336,0.12981370091438293,0.0995815247297287,0.13728122413158417,0.11695868521928787
of,0.2827862501144409,0.20060649514198303,0.37726253271102905,0.31505411863327026,0.4249346852302551,0.20024974644184113,0.3867455720901489,0.733189046382904,0.2114463746547699,0.26946863532066345,0.20410659909248352,0.1838325709104538,0.21525268256664276,0.1826142966747284
passes,0.08672328293323517,0.26007434725761414,0.20564033091068268,0.9999998807907104,0.18699975311756134,0.281787633895874,0.216883584856987,0.3752402365207672,0.2625020146369934,0.16553838551044464,0.16150401532649994,0.20405806601047516,0.2447279989719391,0.09716983139514923
to,0.42656609416007996,0.2586933970451355,0.3343428373336792,0.2602662146091461,0.4069952368736267,0.24857525527477264,0.37890323996543884,0.535392165184021,0.4406343400478363,0.23296888172626495,0.2647967040538788,0.37094977498054504,0.4458620846271515,0.29463258385658264
emmanuel,0.2501235902309418,0.0952926054596901,0.1844576895236969,0.12520693242549896,0.16330136358737946,0.22863109409809113,0.20583400130271912,0.19346554577350616,0.13333304226398468,0.1351153701543808,0.09961767494678497,0.13918855786323547,0.15766064822673798,0.15527042746543884
sanders,0.2963277995586395,0.12340231239795685,0.14579340815544128,0.1380128711462021,0.21243783831596375,0.4246768057346344,0.2187926322221756,0.2733713686466217,0.19236963987350464,0.24597389996051788,0.17046263813972473,0.16254737973213196,0.16562680900096893,0.20881439745426178
for,0.37110671401023865,0.19414915144443512,0.34734001755714417,0.2133815735578537,0.314039945602417,0.33057859539985657,0.3650246858596802,0.4739971458911896,0.27369165420532227,0.17749637365341187,0.24342265725135803,0.2554558217525482,0.1486808806657791,0.264628142118454
gains,0.23817121982574463,0.20440195500850677,0.1441502720117569,0.2669033110141754,0.22328491508960724,0.1622745245695114,0.2407747209072113,0.2700354754924774,0.2702115774154663,0.13283002376556396,0.15173210203647614,0.3028206527233124,0.25838011503219604,0.13120409846305847
