,what,country,has,a,problem,with,classroom,discipline,",",even,though,scores,on,tests,are,high,?
in,0.30808621644973755,0.3040012717247009,0.4173259735107422,0.539380669593811,0.16969570517539978,0.4080928862094879,0.215206578373909,0.19738538563251495,0.5201468467712402,0.29146435856819153,0.3193182945251465,0.1744557023048401,0.46853652596473694,0.20042650401592255,0.3841303884983063,0.2652597725391388,0.20430970191955566
japan,0.1865565925836563,0.25777024030685425,0.18011291325092316,0.20427335798740387,0.12829425930976868,0.16046705842018127,0.15050578117370605,0.23264180123806,0.2639627754688263,0.22126543521881104,0.1818847954273224,0.14583897590637207,0.22320449352264404,0.09145180135965347,0.14791998267173767,0.13384948670864105,0.1312343180179596
",",0.3087472915649414,0.27878350019454956,0.3734780251979828,0.427140474319458,0.23938199877738953,0.4120737314224243,0.19432392716407776,0.18374353647232056,1.0000001192092896,0.34610581398010254,0.42253127694129944,0.2314745932817459,0.49057599902153015,0.1946844905614853,0.4062570035457611,0.27938312292099,0.31091248989105225
for,0.3017193675041199,0.2644098401069641,0.450642853975296,0.44038116931915283,0.2661307752132416,0.39140474796295166,0.25043272972106934,0.23497483134269714,0.4464869201183319,0.39184510707855225,0.35697805881500244,0.32975131273269653,0.36199691891670227,0.22876225411891937,0.3895993232727051,0.1925620585680008,0.264628142118454
example,0.3456268310546875,0.19043707847595215,0.28235751390457153,0.40234753489494324,0.3561607897281647,0.3082926869392395,0.20983479917049408,0.15541037917137146,0.3094974756240845,0.4638634920120239,0.2817342281341553,0.2667809724807739,0.22160455584526062,0.24601110816001892,0.4108889698982239,0.18444988131523132,0.30374911427497864
",",0.3087472915649414,0.27878350019454956,0.3734780251979828,0.427140474319458,0.23938199877738953,0.4120737314224243,0.19432392716407776,0.18374353647232056,1.0000001192092896,0.34610581398010254,0.42253127694129944,0.2314745932817459,0.49057599902153015,0.1946844905614853,0.4062570035457611,0.27938312292099,0.31091248989105225
although,0.24844598770141602,0.19152677059173584,0.29775476455688477,0.29747897386550903,0.20371897518634796,0.32515957951545715,0.18287965655326843,0.24204468727111816,0.36230817437171936,0.49843138456344604,0.6561103463172913,0.1834581196308136,0.3547761142253876,0.1703384816646576,0.30740880966186523,0.17314523458480835,0.15541206300258636
average,0.24068789184093475,0.15502749383449554,0.27553778886795044,0.23812800645828247,0.2071705162525177,0.23698946833610535,0.18214832246303558,0.10492001473903656,0.23098047077655792,0.23099958896636963,0.19158267974853516,0.2859133183956146,0.2780454754829407,0.26628372073173523,0.25111138820648193,0.22359821200370789,0.21764592826366425
attainment,0.19037768244743347,0.14663708209991455,0.16465233266353607,0.2022118717432022,0.12836305797100067,0.22496284544467926,0.2860855460166931,0.30423927307128906,0.16724325716495514,0.1671057492494583,0.2030898928642273,0.1668900102376938,0.15712593495845795,0.17510724067687988,0.12658442556858063,0.20223869383335114,0.0981084555387497
on,0.34226128458976746,0.21584933996200562,0.34604379534721375,0.3848365545272827,0.19349780678749084,0.40749499201774597,0.24903182685375214,0.12418979406356812,0.49057599902153015,0.297456830739975,0.3181023597717285,0.23232407867908478,0.9999999403953552,0.20090888440608978,0.268924742937088,0.20843200385570526,0.2714994251728058
