,what,",",to,luther,had,the,church,lost,sight,of,?
he,0.3114890456199646,0.40251094102859497,0.385390967130661,0.2454872578382492,0.43657350540161133,0.4571082592010498,0.23494282364845276,0.2674296200275421,0.22798818349838257,0.38706058263778687,0.2089974731206894
became,0.1434093862771988,0.2798398435115814,0.20401327311992645,0.18142570555210114,0.4615839719772339,0.36325156688690186,0.19466228783130646,0.2584056258201599,0.12631186842918396,0.3638904094696045,0.11374033987522125
convinced,0.3603993356227875,0.2796954810619354,0.3825732171535492,0.1984822303056717,0.3627961277961731,0.19541987776756287,0.1830395609140396,0.2639998197555542,0.21443405747413635,0.21614253520965576,0.27685287594795227
that,0.6297725439071655,0.4137537479400635,0.5436353087425232,0.21746599674224854,0.4407361149787903,0.5473989248275757,0.18300943076610565,0.26059767603874207,0.2888535261154175,0.41498205065727234,0.32716336846351624
the,0.42745697498321533,0.4933079481124878,0.535392165184021,0.1759674996137619,0.3875846862792969,1.0,0.23846197128295898,0.3376973867416382,0.2571186423301697,0.733189046382904,0.22068053483963013
church,0.1944202184677124,0.2707274258136749,0.24439501762390137,0.379041463136673,0.21721379458904266,0.23846197128295898,0.9999999403953552,0.19067558646202087,0.08751656860113144,0.3079429268836975,0.18081501126289368
was,0.22111038863658905,0.45456063747406006,0.3636345863342285,0.19185513257980347,0.5927209258079529,0.48711544275283813,0.24960921704769135,0.2525325119495392,0.15603095293045044,0.4069072902202606,0.18412111699581146
corrupt,0.20700675249099731,0.15590660274028778,0.23259031772613525,0.20739711821079254,0.22065883874893188,0.14732728898525238,0.1760179102420807,0.25665855407714844,0.0638834536075592,0.1135386973619461,0.1556956022977829
in,0.30808621644973755,0.5201468467712402,0.45010748505592346,0.20523880422115326,0.385026752948761,0.6662389636039734,0.2493300437927246,0.3167656362056732,0.14251993596553802,0.5696388483047485,0.20430970191955566
its,0.30393704771995544,0.33157986402511597,0.3691340684890747,0.14340044558048248,0.32081788778305054,0.559237003326416,0.19295279681682587,0.2143695056438446,0.17157749831676483,0.48690423369407654,0.15103481709957123
ways,0.394069641828537,0.2524566352367401,0.3916551172733307,0.1587383896112442,0.22787940502166748,0.25153350830078125,0.1125306710600853,0.10782095044851303,0.1922634094953537,0.23171216249465942,0.2710120975971222
and,0.31309178471565247,0.6633074283599854,0.48971283435821533,0.20796556770801544,0.3872550129890442,0.5171257257461548,0.1976170688867569,0.25558507442474365,0.2557971179485321,0.5116966962814331,0.20544172823429108
