,when,the,election,produced,an,snp,majority,government,",",what,was,it,the,first,occurrence,of,?
the,0.5091903209686279,1.0,0.22873377799987793,0.22045251727104187,0.4207492768764496,0.283728688955307,0.28757327795028687,0.31798112392425537,0.4933079481124878,0.42745697498321533,0.48711544275283813,0.6251175999641418,1.0,0.49448907375335693,0.28576356172561646,0.733189046382904,0.22068053483963013
election,0.24046973884105682,0.22873377799987793,0.9999999403953552,0.10872603952884674,0.1264611929655075,0.4667619466781616,0.4020082652568817,0.44361358880996704,0.22834618389606476,0.2325795590877533,0.2808833718299866,0.22174210846424103,0.22873377799987793,0.2726391851902008,0.2251618206501007,0.23051156103610992,0.23105260729789734
produced,0.194610595703125,0.22045251727104187,0.10872603952884674,1.0000001192092896,0.16673175990581512,0.158484548330307,0.1293470561504364,0.10533368587493896,0.22260788083076477,0.1393624097108841,0.28463777899742126,0.32564496994018555,0.22045251727104187,0.2504335343837738,0.17460472881793976,0.18961067497730255,0.1623450517654419
a,0.44397395849227905,0.5829201340675354,0.21829310059547424,0.21993228793144226,0.44552403688430786,0.2696843445301056,0.227370023727417,0.25158295035362244,0.427140474319458,0.3320399522781372,0.4508470594882965,0.5452592968940735,0.5829201340675354,0.4287874400615692,0.2751205861568451,0.5052502155303955,0.23916715383529663
majority,0.2109271138906479,0.28757327795028687,0.4020082652568817,0.1293470561504364,0.12461255490779877,0.3517175316810608,0.9999998807907104,0.2886284589767456,0.30214112997055054,0.25967487692832947,0.17051540315151215,0.24516208469867706,0.28757327795028687,0.2254686951637268,0.16764885187149048,0.29706597328186035,0.220119908452034
snp,0.1532432585954666,0.283728688955307,0.4667619466781616,0.158484548330307,0.22414416074752808,1.0,0.3517175316810608,0.3466416299343109,0.2538265883922577,0.16751348972320557,0.213423952460289,0.19539253413677216,0.283728688955307,0.24473704397678375,0.2438044250011444,0.26387298107147217,0.14808869361877441
government,0.23078718781471252,0.31798112392425537,0.44361358880996704,0.10533368587493896,0.15164874494075775,0.3466416299343109,0.2886284589767456,1.0000001192092896,0.27344048023223877,0.28074538707733154,0.2995857298374176,0.28037968277931213,0.31798112392425537,0.20990468561649323,0.16900968551635742,0.3475167155265808,0.18851417303085327
",",0.36674630641937256,0.4933079481124878,0.22834618389606476,0.22260788083076477,0.3581022024154663,0.2538265883922577,0.30214112997055054,0.27344048023223877,1.0000001192092896,0.3087472915649414,0.45456063747406006,0.48329564929008484,0.4933079481124878,0.34503069519996643,0.24145178496837616,0.4946078956127167,0.31091248989105225
making,0.35811853408813477,0.35185980796813965,0.14209824800491333,0.2856505215167999,0.1598726212978363,0.13722974061965942,0.21976147592067719,0.19637183845043182,0.3254455029964447,0.30777570605278015,0.28285154700279236,0.3834436535835266,0.35185980796813965,0.28801289200782776,0.16122236847877502,0.3250596821308136,0.2539324164390564
this,0.4959332048892975,0.6274310946464539,0.23742638528347015,0.2391100525856018,0.41881775856018066,0.2481365203857422,0.2578946650028229,0.28444379568099976,0.4316047728061676,0.5489566326141357,0.3638818562030792,0.6107783317565918,0.6274310946464539,0.41690850257873535,0.3632001280784607,0.45148900151252747,0.3155723512172699
