,the,business,allowed,for,private,companies,to,do,what
the,1.0,0.2389037162065506,0.2985120713710785,0.4739971458911896,0.18291357159614563,0.26917189359664917,0.535392165184021,0.30239659547805786,0.42745697498321533
business,0.2389037162065506,1.0,0.2199811488389969,0.2736336290836334,0.3860642611980438,0.5448580980300903,0.28079214692115784,0.24167226254940033,0.21758167445659637
consisted,0.2888994514942169,0.12214598059654236,0.24444298446178436,0.2345341444015503,0.17531777918338776,0.24404649436473846,0.18693020939826965,0.15031537413597107,0.10791123658418655
of,0.733189046382904,0.23985227942466736,0.2699741721153259,0.4185989499092102,0.18706899881362915,0.22608543932437897,0.41548454761505127,0.26150479912757874,0.33290785551071167
a,0.5829201340675354,0.2670866549015045,0.275193989276886,0.44038116931915283,0.20346391201019287,0.24875247478485107,0.45503583550453186,0.26237669587135315,0.3320399522781372
large,0.3828733265399933,0.18625767529010773,0.22571200132369995,0.22967137396335602,0.24709449708461761,0.23191702365875244,0.3150999844074249,0.22322134673595428,0.2017821967601776
public,0.22857438027858734,0.37519752979278564,0.2674766778945923,0.3092794418334961,0.5126727223396301,0.26643046736717224,0.2672370672225952,0.14626605808734894,0.1729622185230255
network,0.27187061309814453,0.29722315073013306,0.11737009882926941,0.253274142742157,0.26141172647476196,0.3142971396446228,0.25940340757369995,0.12826339900493622,0.16917307674884796
that,0.5473989248275757,0.25197073817253113,0.41059720516204834,0.4137635827064514,0.20570282638072968,0.24354611337184906,0.5436353087425232,0.44533252716064453,0.6297725439071655
supported,0.27276676893234253,0.16011707484722137,0.37005749344825745,0.32561784982681274,0.1747821569442749,0.20486631989479065,0.19981899857521057,0.2431306540966034,0.16402992606163025
dial-up,0.2542227804660797,0.22370781004428864,0.12771257758140564,0.25044581294059753,0.12447626888751984,0.1861085593700409,0.24052166938781738,0.22183622419834137,0.29281243681907654
users,0.23839710652828217,0.2610716223716736,0.30420994758605957,0.30547282099723816,0.1804591715335846,0.33392569422721863,0.3617876172065735,0.37549981474876404,0.3637928068637848
and,0.5171257257461548,0.33353009819984436,0.30774351954460144,0.5064792633056641,0.2557651102542877,0.2527635991573334,0.48971283435821533,0.276123583316803,0.31309178471565247
