,what,would,be,odinga,'s,role,in,the,government,?
on,0.34226128458976746,0.35589995980262756,0.37900757789611816,0.14188449084758759,0.0026888418942689896,0.16022825241088867,0.46853652596473694,0.5107308030128479,0.19216017425060272,0.2714994251728058
28,-0.2335955947637558,-0.22227716445922852,-0.18593552708625793,-0.10537047684192657,0.012857569381594658,-0.10416891425848007,-0.27002766728401184,-0.31177106499671936,-0.3207937479019165,-0.012856917455792427
february,0.1913013905286789,0.2606537938117981,0.22257567942142487,0.17298367619514465,-0.056284528225660324,0.18183444440364838,0.2990526556968689,0.26483774185180664,0.20651601254940033,0.29594847559928894
2008,-0.19703538715839386,-0.1851716786623001,-0.1384240686893463,0.08935067802667618,0.0007017355528660119,0.08248794823884964,-0.0422978475689888,-0.06530369818210602,-0.010794071480631828,-0.09852470457553864
",",0.3087472915649414,0.32586824893951416,0.39254459738731384,0.23129653930664062,-0.0016132977325469255,0.199491485953331,0.5201468467712402,0.4933079481124878,0.27344048023223877,0.31091248989105225
kibaki,0.1701267510652542,0.13319312036037445,0.15589137375354767,0.4222884178161621,0.007008386310189962,0.2100195437669754,0.24637463688850403,0.20502740144729614,0.2667686939239502,0.19735006988048553
and,0.31309178471565247,0.34921059012413025,0.41766801476478577,0.16266579926013947,0.06895173341035843,0.2629789710044861,0.4954058527946472,0.5171257257461548,0.2859337627887726,0.20544172823429108
odinga,0.12417111545801163,0.02761094830930233,0.11303310841321945,1.0000001192092896,0.07501941919326782,0.11955254524946213,0.1542166918516159,0.11700057238340378,0.20864072442054749,0.2598755955696106
signed,0.16368238627910614,0.24808698892593384,0.11773345619440079,0.04854508116841316,-0.01617363654077053,0.11067206412553787,0.21830837428569794,0.20675969123840332,0.2442723959684372,0.14003296196460724
an,0.2821882665157318,0.2650099992752075,0.33041056990623474,0.14630226790905,0.025255560874938965,0.23719340562820435,0.2605783939361572,0.4207492768764496,0.15164874494075775,0.19793890416622162
agreement,0.2851087749004364,0.29784896969795227,0.19491496682167053,0.10126351565122604,0.012729662470519543,0.1096755862236023,0.20350398123264313,0.2490699142217636,0.30696341395378113,0.15830197930335999
on,0.34226128458976746,0.35589995980262756,0.37900757789611816,0.14188449084758759,0.0026888418942689896,0.16022825241088867,0.46853652596473694,0.5107308030128479,0.19216017425060272,0.2714994251728058
the,0.42745697498321533,0.4133751392364502,0.4248143136501312,0.11700057238340378,-0.01540423184633255,0.26607486605644226,0.6662389636039734,1.0,0.31798112392425537,0.22068053483963013
formation,0.16291823983192444,0.17419566214084625,0.20740437507629395,0.10154666006565094,0.0012558395974338055,0.25119414925575256,0.27297577261924744,0.33687281608581543,0.19402539730072021,0.09831923991441727
of,0.33290785551071167,0.3353942930698395,0.33904364705085754,0.12025092542171478,-0.03817026689648628,0.1797693818807602,0.5696388483047485,0.733189046382904,0.3475167155265808,0.1826142966747284
a,0.3320399522781372,0.398599237203598,0.39883795380592346,0.16866102814674377,0.04866964742541313,0.22880133986473083,0.539380669593811,0.5829201340675354,0.25158295035362244,0.23916715383529663
coalition,0.15644073486328125,0.2262832373380661,0.18683969974517822,0.19613133370876312,-0.02830805629491806,0.13200712203979492,0.21407485008239746,0.27709540724754333,0.5207297205924988,0.13521195948123932
government,0.28074538707733154,0.2675379514694214,0.22621913254261017,0.20864072442054749,0.00033092309604398906,0.14335553348064423,0.3066793978214264,0.31798112392425537,1.0000001192092896,0.18851417303085327
in,0.30808621644973755,0.30461156368255615,0.3481820821762085,0.1542166918516159,-0.037580832839012146,0.243671715259552,1.0,0.6662389636039734,0.3066793978214264,0.20430970191955566
which,0.5261979103088379,0.3854503035545349,0.476310670375824,0.12071066349744797,0.03856118768453598,0.18845273554325104,0.4840516746044159,0.6521818041801453,0.27266770601272583,0.25814583897590637
odinga,0.12417111545801163,0.02761094830930233,0.11303310841321945,1.0000001192092896,0.07501941919326782,0.11955254524946213,0.1542166918516159,0.11700057238340378,0.20864072442054749,0.2598755955696106
would,0.45766422152519226,1.0000001192092896,0.5202695727348328,0.02761094830930233,0.036968596279621124,0.23390333354473114,0.30461156368255615,0.4133751392364502,0.2675379514694214,0.37178951501846313
become,0.27134042978286743,0.36260196566581726,0.4037199020385742,0.053832653909921646,-0.06629510223865509,0.2598501443862915,0.23238378763198853,0.31731709837913513,0.16129286587238312,0.19511328637599945
kenya,0.18398970365524292,0.1261807531118393,0.11485160887241364,0.32290634512901306,-0.02908705547451973,0.11837539821863174,0.23621977865695953,0.21657514572143555,0.21103361248970032,0.17197901010513306
's,0.02692362666130066,0.036968596279621124,0.025217169895768166,0.07501941919326782,0.9999999403953552,0.00619043642655015,-0.037580832839012146,-0.01540423184633255,0.00033092309604398906,-0.023395681753754616
second,0.19948028028011322,0.25778821110725403,0.22983969748020172,0.13021400570869446,-0.060212843120098114,0.2024078071117401,0.34510284662246704,0.4620301127433777,0.15271936357021332,0.17239587008953094
prime,0.15586113929748535,0.16885465383529663,0.14576895534992218,0.12780769169330597,-0.0056337774731218815,0.13358250260353088,0.18097394704818726,0.19960100948810577,0.3585837185382843,0.11276303976774216
minister,0.1705908179283142,0.16649113595485687,0.14974933862686157,0.1827462613582611,0.006020988803356886,0.15275812149047852,0.19794908165931702,0.19297581911087036,0.43487975001335144,0.10825661569833755
.,0.3567904531955719,0.35067233443260193,0.4383580684661865,0.25356823205947876,-0.003708066651597619,0.22067026793956757,0.5591574311256409,0.5934505462646484,0.2521961033344269,0.4130953550338745
