,what,sometimes,follows,moving,chloroplasts,?
chloroplast,0.23505516350269318,0.21952104568481445,0.12358545511960983,0.1550443321466446,0.9777651429176331,0.12532055377960205
movement,0.23934946954250336,0.2715500593185425,0.13119272887706757,0.36799535155296326,0.17803499102592468,0.1423349231481552
is,0.28837618231773376,0.3757973313331604,0.3465309739112854,0.19858770072460175,0.22550933063030243,0.22961433231830597
considered,0.2834889590740204,0.36475545167922974,0.18721185624599457,0.16554920375347137,0.19679482281208038,0.19909770786762238
one,0.376489520072937,0.3097780644893646,0.25106948614120483,0.2876444458961487,0.2720645070075989,0.2673267424106598
of,0.33290785551071167,0.296434611082077,0.28921809792518616,0.24795499444007874,0.23179760575294495,0.1826142966747284
the,0.42745697498321533,0.35816407203674316,0.3630034327507019,0.34510132670402527,0.23062430322170258,0.22068053483963013
most,0.3219912350177765,0.36394208669662476,0.18216370046138763,0.22089402377605438,0.254451721906662,0.2107497900724411
closely,0.24221673607826233,0.2870228886604309,0.26917406916618347,0.1880265176296234,0.283425509929657,0.08341413736343384
regulated,0.14951778948307037,0.15184515714645386,0.1936587691307068,0.22025680541992188,0.30393359065055847,0.10525284707546234
stimulus-response,0.3671489953994751,0.26320475339889526,0.22936813533306122,0.2267361581325531,0.3337842524051666,0.20753340423107147
systems,0.1871482878923416,0.2565094828605652,0.21995337307453156,0.2217966765165329,0.28537094593048096,0.1575973927974701
that,0.6297725439071655,0.3928869664669037,0.35194745659828186,0.3345010578632355,0.3177454173564911,0.32716336846351624
can,0.34502777457237244,0.5374409556388855,0.2713072896003723,0.28819364309310913,0.29016172885894775,0.3226337134838104
be,0.3929833769798279,0.40308091044425964,0.2647124230861664,0.25729453563690186,0.2777445316314697,0.3324260413646698
found,0.1796332150697708,0.222886860370636,0.2002611607313156,0.19921797513961792,0.23219403624534607,0.16790300607681274
in,0.30808621644973755,0.31462913751602173,0.31313058733940125,0.2693832814693451,0.21141497790813446,0.20430970191955566
plants,0.25144460797309875,0.2763923108577728,0.19461825489997864,0.18416912853717804,0.5701043605804443,0.1473488062620163
.,0.3567904531955719,0.24956031143665314,0.26911503076553345,0.3260027766227722,0.23868323862552643,0.4130953550338745
