,the,university,of,chicago,library,system,has,how,many,libraries,in,total,?
the,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.19920319318771362,0.3233085572719574,0.4177538752555847,0.33890387415885925,0.4335206151008606,0.2134861946105957,0.6662389636039734,0.27068960666656494,0.22068053483963013
university,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.3760603964328766,0.16972410678863525,0.21257302165031433,0.12992997467517853,0.19385361671447754,0.40563374757766724,0.3201795518398285,0.18448065221309662,0.11887256056070328
of,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.21889357268810272,0.25597915053367615,0.3909035325050354,0.2480744868516922,0.37253960967063904,0.2047192007303238,0.5696388483047485,0.29045331478118896,0.1826142966747284
chicago,0.27360326051712036,0.29005804657936096,0.18391016125679016,1.0,0.21728020906448364,0.1282481849193573,0.2192898839712143,0.2247859537601471,0.1944255828857422,0.19694699347019196,0.23921214044094086,0.09928175061941147,0.16446958482265472
library,0.19920319318771362,0.3760603964328766,0.21889357268810272,0.21728020906448364,0.9999999403953552,0.19369082152843475,0.1522570103406906,0.09932420402765274,0.1814885139465332,0.7666171193122864,0.2101847380399704,0.016120783984661102,0.18938742578029633
system,0.3233085572719574,0.16972410678863525,0.25597915053367615,0.1282481849193573,0.19369082152843475,1.0000001192092896,0.17706717550754547,0.282820463180542,0.2631138563156128,0.2806265354156494,0.21978288888931274,0.20881521701812744,0.15556083619594574
encompasses,0.31387796998023987,0.25167497992515564,0.4035385251045227,0.20889349281787872,0.22188234329223633,0.2571726441383362,0.30698418617248535,0.25015243887901306,0.2706817090511322,0.30796918272972107,0.29080134630203247,0.23029540479183197,0.16302801668643951
six,0.3614266812801361,0.13872423768043518,0.3317931592464447,0.18617674708366394,0.1163662001490593,0.12911871075630188,0.30793946981430054,0.20644865930080414,0.37673795223236084,0.14717432856559753,0.3013422191143036,0.33902785181999207,0.15298804640769958
libraries,0.2134861946105957,0.40563374757766724,0.2047192007303238,0.19694699347019196,0.7666171193122864,0.2806265354156494,0.1798415184020996,0.13814528286457062,0.3066696524620056,1.0,0.2760562300682068,0.07125052809715271,0.20525334775447845
that,0.5473989248275757,0.16441112756729126,0.41498205065727234,0.22499492764472961,0.1702454686164856,0.3088737428188324,0.41272613406181335,0.557814359664917,0.5391656160354614,0.2301679253578186,0.435920387506485,0.25605857372283936,0.32716336846351624
contain,0.26383090019226074,0.033714111894369125,0.30574339628219604,0.1743822544813156,0.12875600159168243,0.2184009850025177,0.31866806745529175,0.2636528015136719,0.35166433453559875,0.22341182827949524,0.23975171148777008,0.17196789383888245,0.18853069841861725
a,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.17899899184703827,0.13480092585086823,0.2589043080806732,0.4670248031616211,0.29312583804130554,0.2872205972671509,0.13344839215278625,0.539380669593811,0.20922091603279114,0.23916715383529663
total,0.27068960666656494,0.18448065221309662,0.29045331478118896,0.09928175061941147,0.016120783984661102,0.20881521701812744,0.30411720275878906,0.22199897468090057,0.2912171483039856,0.07125052809715271,0.27667245268821716,0.9999999403953552,0.14396025240421295
