,what,type,of,mixture,was,created,to,replace,the,pure,oxygen,atmosphere,inside,the,cabin,?
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2140398621559143,0.3636345863342285,0.2592601478099823,1.0,0.3497537076473236,0.535392165184021,0.2610398232936859,0.24193501472473145,0.24801792204380035,0.27900636196136475,0.535392165184021,0.2513850927352905,0.29463258385658264
remedy,0.2918687164783478,0.24396900832653046,0.22703757882118225,0.21337100863456726,0.16263648867607117,0.1903809756040573,0.28719449043273926,0.18640431761741638,0.2060876041650772,0.2351136952638626,0.14790377020835876,0.10527203977108002,0.18175677955150604,0.2060876041650772,0.13646858930587769,0.28438740968704224
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.1835496872663498,0.48711544275283813,0.3539263904094696,0.535392165184021,0.21257810294628143,1.0,0.20113824307918549,0.20428593456745148,0.24429655075073242,0.35313180088996887,1.0,0.23489025235176086,0.22068053483963013
causes,0.1426164209842682,0.15408143401145935,0.2544642984867096,0.19339875876903534,0.2045060247182846,0.16888682544231415,0.2537674903869629,0.13886600732803345,0.2518732249736786,0.11175251752138138,0.26106759905815125,0.22576376795768738,0.2505468428134918,0.2518732249736786,0.07030472159385681,0.19991323351860046
of,0.33290785551071167,0.18112817406654358,1.0,0.2121577262878418,0.4069072902202606,0.32043445110321045,0.41548454761505127,0.15038681030273438,0.733189046382904,0.2222386747598648,0.16848602890968323,0.1981431096792221,0.2544495463371277,0.733189046382904,0.2067061811685562,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.1835496872663498,0.48711544275283813,0.3539263904094696,0.535392165184021,0.21257810294628143,1.0,0.20113824307918549,0.20428593456745148,0.24429655075073242,0.35313180088996887,1.0,0.23489025235176086,0.22068053483963013
fire,0.19359004497528076,0.13550949096679688,0.20259131491184235,0.2060176283121109,0.24801933765411377,0.14691948890686035,0.2020210474729538,0.13600775599479675,0.2911929488182068,0.06846518814563751,0.2802748680114746,0.2383316606283188,0.1915060132741928,0.2911929488182068,0.22614069283008575,0.14396874606609344
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.23269447684288025,0.45456063747406006,0.2755771577358246,0.44245919585227966,0.19695894420146942,0.4933079481124878,0.2349223643541336,0.21812842786312103,0.26560261845588684,0.2100258767604828,0.4933079481124878,0.18909597396850586,0.31091248989105225
changes,0.2740466892719269,0.2171921730041504,0.25827232003211975,0.18377485871315002,0.17310309410095215,0.2772522270679474,0.32918253540992737,0.21500253677368164,0.3427845537662506,0.17516998946666718,0.2219325602054596,0.20972907543182373,0.21848799288272858,0.3427845537662506,0.15102598071098328,0.21264225244522095
were,0.22298263013362885,0.09534358233213425,0.34038281440734863,0.2517337501049042,0.590133786201477,0.2975761294364929,0.31913647055625916,0.16287203133106232,0.3906462490558624,0.15562230348587036,0.15995736420154572,0.1976843625307083,0.21396145224571228,0.3906462490558624,0.21737627685070038,0.17890112102031708
