,what,sort,of,motion,did,watt,'s,steam,engine,continuously,produce,?
in,0.30808621644973755,0.20928911864757538,0.5696388483047485,0.2190442532300949,0.2593238651752472,0.14650258421897888,-0.037580832839012146,0.19852672517299652,0.18885408341884613,0.31236743927001953,0.21160131692886353,0.20430970191955566
1781,0.07389665395021439,0.13360393047332764,0.20582044124603271,0.02756275050342083,0.060329899191856384,0.005896939896047115,-0.02387292869389057,0.03692492097616196,0.07683729380369186,0.021017057821154594,0.118471160531044,0.11287903040647507
james,0.20536290109157562,0.15225490927696228,0.18323110044002533,0.17403770983219147,0.20904116332530975,0.3038761615753174,0.043919146060943604,0.16582752764225006,0.14642857015132904,0.07614678144454956,0.1383764147758484,0.12139993160963058
watt,0.12468069046735764,0.11589017510414124,0.21599632501602173,0.18051409721374512,0.17172856628894806,1.0,-0.022533712908625603,0.3759114742279053,0.31998884677886963,0.14040960371494293,0.22903795540332794,0.16354146599769592
patented,0.1101711094379425,0.15954157710075378,0.140389084815979,0.1692502349615097,0.17659124732017517,0.24881789088249207,-0.001778545556589961,0.32921862602233887,0.30315786600112915,0.20651906728744507,0.2955055832862854,0.08803384751081467
a,0.3320399522781372,0.31923773884773254,0.5052502155303955,0.23572494089603424,0.2552328109741211,0.21096299588680267,0.04866964742541313,0.2141898274421692,0.24768835306167603,0.3427737355232239,0.2757846415042877,0.23916715383529663
steam,0.15672586858272552,0.15938708186149597,0.20239725708961487,0.2100580781698227,0.19902050495147705,0.3759114742279053,0.03992457315325737,1.0000001192092896,0.4921848475933075,0.2822180986404419,0.28315889835357666,0.113324373960495
engine,0.18463268876075745,0.13815653324127197,0.17095594108104706,0.1983572393655777,0.1357124000787735,0.31998884677886963,0.044662050902843475,0.4921848475933075,1.0,0.17218872904777527,0.22843410074710846,0.17739196121692657
that,0.6297725439071655,0.3928408622741699,0.41498205065727234,0.2637788951396942,0.47518548369407654,0.19922155141830444,0.04397977516055107,0.24386391043663025,0.23960842192173004,0.4110674560070038,0.3393034040927887,0.32716336846351624
produced,0.1393624097108841,0.08790973573923111,0.18961067497730255,0.1955457180738449,0.16971632838249207,0.1672099381685257,-0.03862787038087845,0.1864473819732666,0.19917616248130798,0.2204805314540863,0.657219648361206,0.1623450517654419
continuous,0.24768517911434174,0.23548267781734467,0.28397953510284424,0.24745678901672363,0.13247761130332947,0.2207142561674118,0.017404459416866302,0.28747954964637756,0.20633754134178162,0.8186949491500854,0.21973691880702972,0.10320229828357697
rotary,0.17419953644275665,0.14719708263874054,0.17702965438365936,0.37535595893859863,0.12096299231052399,0.21852917969226837,0.08276907354593277,0.3665830194950104,0.37851420044898987,0.20906265079975128,0.31061995029449463,0.07097224146127701
motion,0.260096937417984,0.19847454130649567,0.24864931404590607,0.9999999403953552,0.17987219989299774,0.18051409721374512,-0.0527731329202652,0.2100580781698227,0.1983572393655777,0.18984580039978027,0.20576702058315277,0.20143945515155792
.,0.3567904531955719,0.24213188886642456,0.5352458953857422,0.20181286334991455,0.35288307070732117,0.25756895542144775,-0.003708066651597619,0.22855372726917267,0.21814921498298645,0.2554411292076111,0.2587496340274811,0.4130953550338745
