,what,street,does,nikolaus,pevsner,think,is,one,of,the,finest,in,england,?
broadcaster,0.13187484443187714,0.1703798919916153,0.15676511824131012,0.17805008590221405,0.33401069045066833,0.14575320482254028,0.14528463780879974,0.16684935986995697,0.15151214599609375,0.1970033198595047,0.1692570000886917,0.21398968994617462,0.28885969519615173,0.13187550008296967
and,0.31309178471565247,0.30381542444229126,0.3461615741252899,0.2221357375383377,0.3838031589984894,0.30740439891815186,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.2746049761772156,0.4954058527946472,0.35173749923706055,0.20544172823429108
writer,0.16903695464134216,0.10014127194881439,0.1414429098367691,0.2750129997730255,0.40536144375801086,0.20551654696464539,0.20482608675956726,0.15020453929901123,0.14383116364479065,0.1583879292011261,0.16085411608219147,0.19054412841796875,0.17079703509807587,0.1860569268465042
stuart,0.1897827833890915,0.1971617043018341,0.09770409017801285,0.17247159779071808,0.39506080746650696,0.18331466615200043,0.15623271465301514,0.16880610585212708,0.216365247964859,0.254898339509964,0.1704731583595276,0.17094340920448303,0.2589375674724579,0.10747454315423965
maconie,0.17904067039489746,0.24850620329380035,0.17104674875736237,0.24604256451129913,0.36128053069114685,0.13966426253318787,0.18274834752082825,0.1995680183172226,0.27310261130332947,0.2598053216934204,0.1549719125032425,0.26365870237350464,0.22031556069850922,0.06403406709432602
described,0.22590412199497223,0.15383093059062958,0.17868390679359436,0.22932074964046478,0.2616480588912964,0.2671949565410614,0.2517563998699188,0.3081560432910919,0.297532320022583,0.2878154516220093,0.2775473892688751,0.28813880681991577,0.1574522852897644,0.1374269425868988
newcastle,0.16276082396507263,0.18945761024951935,0.12200397253036499,0.16480182111263275,0.21646152436733246,0.13538925349712372,0.1841045320034027,0.20140469074249268,0.18781472742557526,0.2253497689962387,0.19288818538188934,0.19270820915699005,0.4422447383403778,0.0902252271771431
as,0.31749409437179565,0.23426887392997742,0.31202155351638794,0.13431711494922638,0.25393232703208923,0.3555661737918854,0.43216490745544434,0.3954789340496063,0.3886612355709076,0.48381632566452026,0.2842128872871399,0.3887844979763031,0.20793095231056213,0.27043893933296204
england,0.21399550139904022,0.26223084330558777,0.14889326691627502,0.15546691417694092,0.28385090827941895,0.18325096368789673,0.19271282851696014,0.20470556616783142,0.24624483287334442,0.28280043601989746,0.22980421781539917,0.33311840891838074,0.9999998807907104,0.13436897099018097
's,0.02692362666130066,0.06000900641083717,-0.02895052544772625,0.04039420932531357,0.055138472467660904,0.015562640503048897,0.02396530658006668,0.06913424283266068,-0.03817026689648628,-0.01540423184633255,0.034502096474170685,-0.037580832839012146,-0.056369803845882416,-0.023395681753754616
