,where,is,the,mouth,located,on,the,pleuobrachia,located,?
cydippid,0.21853968501091003,0.22633759677410126,0.3269699513912201,0.23299285769462585,0.141562819480896,0.19014181196689606,0.3269699513912201,0.4976487457752228,0.141562819480896,0.2854539453983307
ctenophores,0.15624114871025085,0.22332732379436493,0.2543465793132782,0.2868533730506897,0.18218733370304108,0.1922261118888855,0.2543465793132782,0.5544403195381165,0.18218733370304108,0.2054179310798645
have,0.412650465965271,0.3613572418689728,0.40389683842658997,0.15580078959465027,0.14775225520133972,0.36494916677474976,0.40389683842658997,0.265994668006897,0.14775225520133972,0.32991164922714233
bodies,0.19804438948631287,0.22389735281467438,0.2745959758758545,0.2764212489128113,0.143498033285141,0.17646045982837677,0.2745959758758545,0.3096902072429657,0.143498033285141,0.18285469710826874
that,0.4876193106174469,0.3995479643344879,0.5473989248275757,0.22048525512218475,0.1796129047870636,0.42569106817245483,0.5473989248275757,0.2632281184196472,0.1796129047870636,0.32716336846351624
are,0.32389864325523376,0.5330929756164551,0.40399202704429626,0.20501531660556793,0.24096766114234924,0.268924742937088,0.40399202704429626,0.2625576853752136,0.24096766114234924,0.24591213464736938
more,0.29405033588409424,0.2946030795574188,0.39758381247520447,0.12928499281406403,0.15432049334049225,0.37351730465888977,0.39758381247520447,0.2083158940076828,0.15432049334049225,0.27894994616508484
or,0.3651050925254822,0.41870999336242676,0.4174870550632477,0.2118830531835556,0.17206697165966034,0.2897229492664337,0.4174870550632477,0.3412508964538574,0.17206697165966034,0.32389625906944275
less,0.25396642088890076,0.3123510479927063,0.29185041785240173,0.1223057359457016,0.17916712164878845,0.24623660743236542,0.29185041785240173,0.23333463072776794,0.17916712164878845,0.22418740391731262
rounded,0.23293758928775787,0.2543472349643707,0.2660619914531708,0.21136578917503357,0.20782016217708588,0.24864988029003143,0.2660619914531708,0.24592818319797516,0.20782016217708588,0.1535935252904892
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.24378812313079834,0.2678719460964203,0.49057599902153015,0.4933079481124878,0.32856059074401855,0.2678719460964203,0.31091248989105225
sometimes,0.3723720908164978,0.3757973313331604,0.35816407203674316,0.24868734180927277,0.13034749031066895,0.20871618390083313,0.35816407203674316,0.281312495470047,0.13034749031066895,0.1751544177532196
nearly,0.27324095368385315,0.268917441368103,0.3409946858882904,0.09986668080091476,0.214037224650383,0.2730490267276764,0.3409946858882904,0.21501034498214722,0.214037224650383,0.11670064926147461
spherical,0.17027133703231812,0.239867702126503,0.2172049880027771,0.12539345026016235,0.16446565091609955,0.12591132521629333,0.2172049880027771,0.29743269085884094,0.16446565091609955,0.0753602683544159
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.2073371261358261,0.24183952808380127,0.4077630043029785,0.5171257257461548,0.29241278767585754,0.24183952808380127,0.20544172823429108
other,0.3730994164943695,0.25895947217941284,0.44152235984802246,0.17561307549476624,0.15855982899665833,0.3410046398639679,0.44152235984802246,0.23379240930080414,0.15855982899665833,0.24682199954986572
