,after,what,year,was,compounding,frequently,used,in,marine,engines,?
the,0.4565047025680542,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.2295212745666504,0.2643548250198364,0.3718377649784088,0.6662389636039734,0.2547752857208252,0.2245008647441864,0.22068053483963013
adoption,0.2079886496067047,0.2520635426044464,0.21716070175170898,0.25843802094459534,0.1644463688135147,0.1938621550798416,0.21051648259162903,0.24107742309570312,0.09890246391296387,0.1353243589401245,0.23771828413009644
of,0.3867455720901489,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.27413690090179443,0.22709041833877563,0.3075267970561981,0.5696388483047485,0.24999871850013733,0.17593856155872345,0.1826142966747284
compounding,0.19390618801116943,0.26605767011642456,0.17748653888702393,0.13572673499584198,0.9999998807907104,0.2922585904598236,0.35277843475341797,0.20182771980762482,0.1916746199131012,0.2879071533679962,0.22128498554229736
was,0.49306565523147583,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.13572673499584198,0.2497260868549347,0.23679393529891968,0.45514053106307983,0.14990459382534027,0.18948708474636078,0.18412111699581146
common,0.12873466312885284,0.19989867508411407,0.23339608311653137,0.0880795493721962,0.35177525877952576,0.3177197575569153,0.42905712127685547,0.23149342834949493,0.19252999126911163,0.16336455941200256,0.20434872806072235
for,0.3650246858596802,0.3017193675041199,0.29294124245643616,0.3863949179649353,0.2905847132205963,0.26217588782310486,0.4236139953136444,0.4322226941585541,0.19650663435459137,0.19945158064365387,0.264628142118454
industrial,0.2044745236635208,0.16054853796958923,0.13403670489788055,0.2614017128944397,0.28860175609588623,0.08108244836330414,0.25484758615493774,0.3118434548377991,0.2368510365486145,0.3049415349960327,0.08039500564336777
units,0.1400182545185089,0.1804584264755249,0.13568848371505737,0.20471836626529694,0.23234988749027252,0.12923622131347656,0.29663047194480896,0.24701444804668427,0.2604849934577942,0.27563780546188354,0.089388407766819
",",0.38860568404197693,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.2131453901529312,0.22462549805641174,0.3120402991771698,0.5201468467712402,0.231239914894104,0.20245449244976044,0.31091248989105225
for,0.3650246858596802,0.3017193675041199,0.29294124245643616,0.3863949179649353,0.2905847132205963,0.26217588782310486,0.4236139953136444,0.4322226941585541,0.19650663435459137,0.19945158064365387,0.264628142118454
road,0.14894792437553406,0.14859327673912048,0.18785560131072998,0.21728332340717316,0.12778399884700775,0.1076180711388588,0.1647477000951767,0.23586870729923248,0.17061683535575867,0.16842490434646606,0.10894691944122314
engines,0.18249601125717163,0.1634974628686905,0.1999010294675827,0.18948708474636078,0.2879071533679962,0.20092132687568665,0.2519303560256958,0.18084456026554108,0.1420617550611496,1.0000001192092896,0.18940703570842743
and,0.3765919506549835,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.27331241965293884,0.3251250684261322,0.3150506615638733,0.4954058527946472,0.24699723720550537,0.21148960292339325,0.20544172823429108
almost,0.25544285774230957,0.2467888444662094,0.2542456090450287,0.2474903166294098,0.20219023525714874,0.21795731782913208,0.18791848421096802,0.3422279357910156,0.17912474274635315,0.26610755920410156,0.1372147500514984
universal,0.09629752486944199,0.20640362799167633,0.15154528617858887,0.210410475730896,0.20618468523025513,0.09542200714349747,0.1783631443977356,0.17730140686035156,0.09846773743629456,0.08647601306438446,0.2074412703514099
for,0.3650246858596802,0.3017193675041199,0.29294124245643616,0.3863949179649353,0.2905847132205963,0.26217588782310486,0.4236139953136444,0.4322226941585541,0.19650663435459137,0.19945158064365387,0.264628142118454
marine,0.15975195169448853,0.15737493336200714,0.156198188662529,0.14990459382534027,0.1916746199131012,0.1349465698003769,0.22811582684516907,0.24858763813972473,0.9999999403953552,0.1420617550611496,0.1407923698425293
engines,0.18249601125717163,0.1634974628686905,0.1999010294675827,0.18948708474636078,0.2879071533679962,0.20092132687568665,0.2519303560256958,0.18084456026554108,0.1420617550611496,1.0000001192092896,0.18940703570842743
after,1.0,0.21973377466201782,0.336445689201355,0.49306565523147583,0.19390618801116943,0.22121329605579376,0.19914907217025757,0.44050168991088867,0.15975195169448853,0.18249601125717163,0.16608688235282898
1880,0.10835092514753342,0.08119592815637589,0.1105005294084549,-0.05979476869106293,0.10258834809064865,0.079817034304142,0.0829085186123848,0.04348104074597359,0.16146042943000793,0.11496571451425552,0.07120001316070557
;,-0.01834123209118843,0.10986888408660889,0.00956164300441742,0.0754367932677269,0.03347131982445717,0.06578055024147034,0.11651374399662018,0.092739537358284,0.07200813293457031,-0.004980872385203838,0.10349778085947037
it,0.36872005462646484,0.45803478360176086,0.2363913208246231,0.4577186405658722,0.2514593005180359,0.21913255751132965,0.3575260639190674,0.5130809545516968,0.1841871291399002,0.2587372362613678,0.25732165575027466
was,0.49306565523147583,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.13572673499584198,0.2497260868549347,0.23679393529891968,0.45514053106307983,0.14990459382534027,0.18948708474636078,0.18412111699581146
not,0.3115830719470978,0.5449194312095642,0.23447993397712708,0.2888734042644501,0.2975088059902191,0.26446333527565,0.358921617269516,0.3403114080429077,0.1892407089471817,0.24523323774337769,0.41942933201789856
