,in,organizing,a,new,church,",",what,did,luther,find,to,be,unworkable,for,congregations,?
his,0.3598145842552185,0.25645026564598083,0.3497250974178314,0.24132801592350006,0.20669284462928772,0.3378419280052185,0.26976513862609863,0.3546801507472992,0.27093374729156494,0.21452046930789948,0.3715193271636963,0.21738691627979279,0.2723652124404907,0.39312878251075745,0.19850362837314606,0.18075084686279297
biblical,0.13338269293308258,0.14344795048236847,0.11185035854578018,0.18079471588134766,0.36732062697410583,0.20474766194820404,0.28585752844810486,0.2030898928642273,0.31112417578697205,0.18760797381401062,0.21796278655529022,0.1760798543691635,0.25778502225875854,0.1411849707365036,0.3647766411304474,0.1909967064857483
ideal,0.23391234874725342,0.2331070601940155,0.3391351103782654,0.14456169307231903,0.15193305909633636,0.18452070653438568,0.31059911847114563,0.1475915163755417,0.08910182863473892,0.2690976858139038,0.29955336451530457,0.34239843487739563,0.4304767847061157,0.31194546818733215,0.11548097431659698,0.13358637690544128
of,0.5696388483047485,0.33243584632873535,0.5052502155303955,0.343457967042923,0.3079429268836975,0.4946078956127167,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2276865392923355,0.41548454761505127,0.33904364705085754,0.2749524414539337,0.4185989499092102,0.2844245731830597,0.1826142966747284
congregations,0.23420320451259613,0.27088358998298645,0.18483340740203857,0.1963282823562622,0.572550892829895,0.23915895819664001,0.15251578390598297,0.19284383952617645,0.3883286714553833,0.0946783572435379,0.22449913620948792,0.2136891931295395,0.16299781203269958,0.20909547805786133,1.0000001192092896,0.18817296624183655
',0.4158826768398285,0.15759636461734772,0.48837921023368835,0.23426499962806702,0.16788123548030853,0.5178600549697876,0.3245812654495239,0.25488927960395813,0.142246812582016,0.26027098298072815,0.34544456005096436,0.2717236876487732,0.21565954387187958,0.31184524297714233,0.09146326780319214,0.330942302942276
choosing,0.2015683501958847,0.3034723401069641,0.24545033276081085,0.2143474519252777,0.11678409576416016,0.21378374099731445,0.37332260608673096,0.29946959018707275,0.14403679966926575,0.29939934611320496,0.3435175120830536,0.34079259634017944,0.35801783204078674,0.4241969883441925,0.1567346304655075,0.24394561350345612
their,0.34976133704185486,0.2700914740562439,0.29698723554611206,0.25697171688079834,0.17209430038928986,0.3045167922973633,0.35142919421195984,0.38078752160072327,0.1988239735364914,0.25261998176574707,0.44619059562683105,0.3200586438179016,0.37300729751586914,0.3406745493412018,0.24933701753616333,0.1898253709077835
own,0.31893372535705566,0.2641933560371399,0.3093770742416382,0.2762828767299652,0.17754799127578735,0.2796398997306824,0.35062843561172485,0.34475913643836975,0.1469222456216812,0.21983371675014496,0.35879063606262207,0.24039055407047272,0.3281486928462982,0.30703625082969666,0.17740078270435333,0.1937696635723114
ministers,0.21894918382167816,0.22337780892848969,0.17241229116916656,0.18135015666484833,0.2939091622829437,0.2294151484966278,0.24707821011543274,0.21763740479946136,0.22310738265514374,0.0998135656118393,0.2761210799217224,0.22419656813144684,0.2149249017238617,0.23308716714382172,0.4151500463485718,0.15132683515548706
had,0.385026752948761,0.18850333988666534,0.34897568821907043,0.28327175974845886,0.21721379458904266,0.35487717390060425,0.23849567770957947,0.540525496006012,0.16133075952529907,0.2339775115251541,0.37984350323677063,0.35315439105033875,0.22904734313488007,0.3270139992237091,0.2247430980205536,0.20728366076946259
proved,0.2292184680700302,0.18300984799861908,0.252265989780426,0.13418501615524292,0.15890896320343018,0.23345941305160522,0.23704653978347778,0.34360629320144653,0.07054443657398224,0.34351998567581177,0.21811220049858093,0.3143925070762634,0.3635004758834839,0.22118917107582092,0.09726225584745407,0.1678566187620163
