,what,words,to,they,think,are,linked,to,the,work,kenya,?
the,0.42745697498321533,0.29205581545829773,0.535392165184021,0.49925389885902405,0.3102172613143921,0.40399202704429626,0.2907569110393524,0.535392165184021,1.0,0.2704800069332123,0.21657514572143555,0.22068053483963013
origin,0.20149369537830353,0.15470154583454132,0.17114397883415222,0.15953151881694794,0.14985334873199463,0.19181038439273834,0.20813527703285217,0.17114397883415222,0.24161343276500702,0.11695227771997452,0.1798756867647171,0.12716172635555267
of,0.33290785551071167,0.26259833574295044,0.41548454761505127,0.3426007330417633,0.2625778615474701,0.39081433415412903,0.244833841919899,0.41548454761505127,0.733189046382904,0.23473061621189117,0.22226637601852417,0.1826142966747284
the,0.42745697498321533,0.29205581545829773,0.535392165184021,0.49925389885902405,0.3102172613143921,0.40399202704429626,0.2907569110393524,0.535392165184021,1.0,0.2704800069332123,0.21657514572143555,0.22068053483963013
name,0.18623162806034088,0.30025023221969604,0.27806994318962097,0.20157702267169952,0.17690534889698029,0.17349179089069366,0.23517948389053345,0.27806994318962097,0.3171212375164032,0.15755409002304077,0.14614726603031158,0.15381577610969543
kenya,0.18398970365524292,0.0658225417137146,0.17769291996955872,0.19487014412879944,0.11733462661504745,0.1597108691930771,0.07045324146747589,0.17769291996955872,0.21657514572143555,0.11441612988710403,1.0,0.17197901010513306
is,0.28837618231773376,0.2681862413883209,0.42745086550712585,0.330102801322937,0.33370211720466614,0.5330929756164551,0.2245381623506546,0.42745086550712585,0.5823672413825989,0.22475390136241913,0.17591087520122528,0.22961433231830597
not,0.5449194312095642,0.30803123116493225,0.5149973034858704,0.5804335474967957,0.5479815602302551,0.46186959743499756,0.3072676956653595,0.5149973034858704,0.4310511648654938,0.3568844795227051,0.15024271607398987,0.41942933201789856
clear,0.4239453375339508,0.2729487717151642,0.34294766187667847,0.28427883982658386,0.3840537667274475,0.24412482976913452,0.25013747811317444,0.34294766187667847,0.3209454417228699,0.2400292307138443,0.1525316685438156,0.2738020122051239
",",0.3087472915649414,0.2805471420288086,0.44245919585227966,0.390799880027771,0.3095206320285797,0.4062570035457611,0.24692510068416595,0.44245919585227966,0.4933079481124878,0.3283594250679016,0.23432263731956482,0.31091248989105225
but,0.5029441118240356,0.3570670783519745,0.5542377829551697,0.5579894781112671,0.5420777797698975,0.47990062832832336,0.28952938318252563,0.5542377829551697,0.4859698414802551,0.3644881844520569,0.21002237498760223,0.27921953797340393
perhaps,0.45013323426246643,0.33714789152145386,0.3785875737667084,0.29529932141304016,0.5577204823493958,0.2870340049266815,0.2249087542295456,0.3785875737667084,0.35476016998291016,0.34589749574661255,0.10014186799526215,0.4211712181568146
linked,0.2771798372268677,0.335079550743103,0.25303661823272705,0.2861778438091278,0.3419784903526306,0.292258620262146,0.9999998807907104,0.25303661823272705,0.2907569110393524,0.2260088473558426,0.07045324146747589,0.22991526126861572
to,0.455847829580307,0.31468597054481506,1.0,0.5452046394348145,0.3748004138469696,0.3504326641559601,0.25303661823272705,1.0,0.535392165184021,0.3482864499092102,0.17769291996955872,0.29463258385658264
the,0.42745697498321533,0.29205581545829773,0.535392165184021,0.49925389885902405,0.3102172613143921,0.40399202704429626,0.2907569110393524,0.535392165184021,1.0,0.2704800069332123,0.21657514572143555,0.22068053483963013
kikuyu,0.3048601448535919,0.3202363848686218,0.2752433121204376,0.30775102972984314,0.3024581968784332,0.26196062564849854,0.20614342391490936,0.2752433121204376,0.20955826342105865,0.1255992352962494,0.4179650843143463,0.28194350004196167
",",0.3087472915649414,0.2805471420288086,0.44245919585227966,0.390799880027771,0.3095206320285797,0.4062570035457611,0.24692510068416595,0.44245919585227966,0.4933079481124878,0.3283594250679016,0.23432263731956482,0.31091248989105225
embu,0.18208955228328705,0.20034825801849365,0.24314460158348083,0.12858541309833527,0.18625685572624207,0.1046718880534172,0.2162061631679535,0.24314460158348083,0.23877893388271332,0.19191431999206543,0.21491222083568573,0.13698238134384155
and,0.31309178471565247,0.26495280861854553,0.48971283435821533,0.5073080658912659,0.30740439891815186,0.48576638102531433,0.2486010193824768,0.48971283435821533,0.5171257257461548,0.37551814317703247,0.20742860436439514,0.20544172823429108
kamba,0.15891312062740326,0.15959179401397705,0.16584353148937225,0.1638554185628891,0.12675702571868896,0.18798963725566864,0.13903790712356567,0.16584353148937225,0.23418016731739044,0.07595372200012207,0.3992127478122711,0.1672750860452652
words,0.3355468809604645,1.0000001192092896,0.31468597054481506,0.29080677032470703,0.3643236458301544,0.27760887145996094,0.335079550743103,0.31468597054481506,0.29205581545829773,0.20264434814453125,0.0658225417137146,0.27074310183525085
