,what,does,the,presiding,officer,try,to,achieve,a,balance,of,between,speakers,?
normally,0.30112072825431824,0.42064526677131653,0.3523634970188141,0.04738878458738327,0.11809459328651428,0.23087544739246368,0.3993734121322632,0.24200128018856049,0.37473243474960327,0.29320746660232544,0.25552743673324585,0.23644132912158966,0.1811954379081726,0.20675471425056458
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.2921140789985657,0.2703348398208618,0.27472031116485596,0.44245919585227966,0.17202849686145782,0.427140474319458,0.2039237916469574,0.4946078956127167,0.27714940905570984,0.2619240880012512,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.3267684876918793,0.25777485966682434,0.28568562865257263,0.535392165184021,0.23965083062648773,0.5829201340675354,0.2858610153198242,0.733189046382904,0.39067012071609497,0.2500099837779999,0.22068053483963013
presiding,0.21225658059120178,0.16423818469047546,0.3267684876918793,1.0000001192092896,0.33943602442741394,0.140641987323761,0.2064446657896042,0.15829165279865265,0.18864497542381287,0.21452288329601288,0.3004159927368164,0.15822599828243256,0.24043597280979156,0.177648663520813
officer,0.18551595509052277,0.1390947848558426,0.25777485966682434,0.33943602442741394,0.9999998807907104,0.13307248055934906,0.2198503315448761,0.151051327586174,0.241327702999115,0.04204199090600014,0.23883900046348572,0.1471429467201233,0.1527795046567917,0.119948610663414
tries,0.28354936838150024,0.5029877424240112,0.24422700703144073,0.11780756711959839,0.17769452929496765,0.5805570483207703,0.4353625774383545,0.2499990612268448,0.3102858364582062,0.26374202966690063,0.2071610540151596,0.15155689418315887,0.07696796953678131,0.2212056666612625
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.2064446657896042,0.2198503315448761,0.5391331911087036,1.0,0.3419070541858673,0.45503583550453186,0.2728893756866455,0.41548454761505127,0.3639189600944519,0.25578445196151733,0.29463258385658264
achieve,0.2524374723434448,0.2830967903137207,0.23965083062648773,0.15829165279865265,0.151051327586174,0.37462761998176575,0.3419070541858673,1.0000001192092896,0.2424013465642929,0.3438625931739807,0.24381192028522491,0.21876762807369232,0.17483600974082947,0.17526866495609283
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.18864497542381287,0.241327702999115,0.2632726728916168,0.45503583550453186,0.2424013465642929,1.0,0.28219178318977356,0.5052502155303955,0.29385313391685486,0.1922559142112732,0.23916715383529663
balance,0.25451838970184326,0.23814573884010315,0.2858610153198242,0.21452288329601288,0.04204199090600014,0.31613054871559143,0.2728893756866455,0.3438625931739807,0.28219178318977356,0.9999998807907104,0.2267034351825714,0.24317757785320282,0.12042038887739182,0.2381676584482193
