,what,effect,did,genghis,khan,'s,career,have,on,communication,and,trade,across,asia,?
this,0.5489566326141357,0.3899325728416443,0.3609912693500519,0.28079792857170105,0.17467814683914185,0.02106832154095173,0.16351760923862457,0.4660032093524933,0.4193967580795288,0.2927883267402649,0.42353692650794983,0.19465044140815735,0.2762756943702698,0.20147791504859924,0.3155723512172699
allowed,0.2693612575531006,0.24561886489391327,0.5197521448135376,0.1111447736620903,0.1184631809592247,0.024586396291851997,0.0871288925409317,0.34924131631851196,0.28039318323135376,0.17290857434272766,0.30774351954460144,0.23355811834335327,0.19522929191589355,0.12048555165529251,0.2309964895248413
increased,0.1599731743335724,0.3719499111175537,0.20765343308448792,0.1890014261007309,0.18260592222213745,-0.021304117515683174,0.17658250033855438,0.3476240336894989,0.23179513216018677,0.19781406223773956,0.2943111062049866,0.27344536781311035,0.27376922965049744,0.1708180159330368,0.09587585180997849
communication,0.283955842256546,0.23993784189224243,0.1962505280971527,0.16048522293567657,0.11743075400590897,0.05429903045296669,0.15843822062015533,0.2801489233970642,0.19364863634109497,1.0,0.31177079677581787,0.268153578042984,0.22274284064769745,0.18670034408569336,0.1517418920993805
and,0.31309178471565247,0.23508284986019135,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.06895173341035843,0.2703562378883362,0.4711785912513733,0.4077630043029785,0.31177079677581787,1.0,0.2510223686695099,0.3308866024017334,0.26469188928604126,0.20544172823429108
trade,0.1555381417274475,0.20736835896968842,0.16199031472206116,0.175901398062706,0.14268513023853302,0.08304908871650696,0.18794433772563934,0.24281083047389984,0.20021353662014008,0.268153578042984,0.2510223686695099,0.9999999403953552,0.199065163731575,0.2921459674835205,0.09336511790752411
between,0.2462156116962433,0.2053150236606598,0.16542956233024597,0.1950775384902954,0.10579166561365128,0.006096371449530125,0.10222747176885605,0.3203330636024475,0.3335416913032532,0.27635160088539124,0.40645647048950195,0.22979705035686493,0.3911133110523224,0.21240949630737305,0.12887074053287506
the,0.42745697498321533,0.2865084111690521,0.34736719727516174,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.19230268895626068,0.40389683842658997,0.5107308030128479,0.2984345257282257,0.5171257257461548,0.2681608200073242,0.3816230297088623,0.2838890850543976,0.22068053483963013
west,0.1946573108434677,0.11300769448280334,0.16852347552776337,0.2571938633918762,0.1299731433391571,0.05081431567668915,0.20077256858348846,0.14226439595222473,0.22540061175823212,0.1538577675819397,0.273951917886734,0.1688067615032196,0.26213139295578003,0.26631760597229004,0.12088293582201004
",",0.3087472915649414,0.2150653600692749,0.3015086054801941,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.217554971575737,0.3541618287563324,0.49057599902153015,0.25464728474617004,0.6633074283599854,0.1945054978132248,0.22515052556991577,0.1759067326784134,0.31091248989105225
middle,0.18312302231788635,0.11310401558876038,0.17732174694538116,0.17651045322418213,0.13592681288719177,-0.017355401068925858,0.13158316910266876,0.2068544626235962,0.22140929102897644,0.13698753714561462,0.2514324486255646,0.20370593667030334,0.3224210739135742,0.29221153259277344,0.13139553368091583
east,0.19840149581432343,0.09447216242551804,0.17160435020923615,0.22569963335990906,0.16025978326797485,0.05105345696210861,0.11897983402013779,0.13639354705810547,0.20555776357650757,0.1612861603498459,0.27633291482925415,0.25350990891456604,0.34704408049583435,0.3785812258720398,0.10070597380399704
and,0.31309178471565247,0.23508284986019135,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.06895173341035843,0.2703562378883362,0.4711785912513733,0.4077630043029785,0.31177079677581787,1.0,0.2510223686695099,0.3308866024017334,0.26469188928604126,0.20544172823429108
asia,0.14832128584384918,0.09146759659051895,0.19509263336658478,0.31414562463760376,0.2521873712539673,0.10478635132312775,0.17361603677272797,0.2511596381664276,0.16891232132911682,0.18670034408569336,0.26469188928604126,0.2921459674835205,0.3513064980506897,1.0,0.1340748518705368
",",0.3087472915649414,0.2150653600692749,0.3015086054801941,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.217554971575737,0.3541618287563324,0.49057599902153015,0.25464728474617004,0.6633074283599854,0.1945054978132248,0.22515052556991577,0.1759067326784134,0.31091248989105225
thus,0.30745524168014526,0.3228001594543457,0.23622971773147583,0.20213203132152557,0.11822604387998581,0.05755096301436424,0.0803881362080574,0.3490366041660309,0.24622735381126404,0.26195278763771057,0.3723181188106537,0.15663820505142212,0.2541291117668152,0.16980162262916565,0.18769288063049316
