,how,many,panthers,defense,players,were,selected,for,the,pro,bowl,?
the,0.33890387415885925,0.4335206151008606,0.2602776288986206,0.2604767382144928,0.2647981345653534,0.3906462490558624,0.31003430485725403,0.4739971458911896,1.0,0.2149612456560135,0.21576224267482758,0.22068053483963013
panthers,0.1117783859372139,0.14744015038013458,0.9999999403953552,0.17159238457679749,0.31885892152786255,0.18933986127376556,0.29468804597854614,0.25358447432518005,0.2602776288986206,0.20294983685016632,0.34713199734687805,0.16608978807926178
defense,0.14550013840198517,0.1536635160446167,0.17159238457679749,1.0,0.1679273545742035,0.1764441281557083,0.24508720636367798,0.2780293822288513,0.2604767382144928,0.22919362783432007,0.20597675442695618,0.21935760974884033
gave,0.19802825152873993,0.21511444449424744,0.12951630353927612,0.2083331048488617,0.1537511646747589,0.32821545004844666,0.13574576377868652,0.3676709234714508,0.32555076479911804,0.16450341045856476,0.16006013751029968,0.1910865753889084
up,0.2819872200489044,0.2688518464565277,0.22487294673919678,0.15267865359783173,0.21378925442695618,0.29601457715034485,0.13502314686775208,0.342966228723526,0.38423117995262146,0.08753865212202072,0.16571862995624542,0.1819818764925003
just,0.41178324818611145,0.3534678518772125,0.2082705944776535,0.17800398170948029,0.22682884335517883,0.2839916944503784,0.163335382938385,0.3841261863708496,0.40061673521995544,0.13189734518527985,0.16745918989181519,0.4144178032875061
308,0.20550771057605743,0.3341686427593231,0.13859032094478607,0.1068197563290596,0.16439132392406464,0.16628943383693695,0.1319882869720459,0.2047865241765976,0.4175225496292114,0.0665731206536293,0.16039054095745087,0.2011851817369461
points,0.22446410357952118,0.17477619647979736,0.2312498390674591,0.2177487164735794,0.3272142708301544,0.18511919677257538,0.17955686151981354,0.22348499298095703,0.2560983896255493,0.091352678835392,0.1368209570646286,0.11006313562393188
",",0.22659391164779663,0.40610817074775696,0.2494642585515976,0.21538467705249786,0.21334654092788696,0.36755475401878357,0.21025213599205017,0.4464869201183319,0.4933079481124878,0.19061636924743652,0.1810409277677536,0.31091248989105225
ranking,0.21406538784503937,0.24067576229572296,0.22720327973365784,0.13975165784358978,0.23464073240756989,0.19345256686210632,0.267460435628891,0.22423076629638672,0.3187980651855469,0.1185663565993309,0.1691018044948578,0.18589437007904053
sixth,0.08715979754924774,0.10471410304307938,0.1922350972890854,0.15053518116474152,0.14134086668491364,0.17073222994804382,0.1685159057378769,0.1952703595161438,0.36289259791374207,0.03844522312283516,0.13748283684253693,0.11620894819498062
in,0.2601168751716614,0.41474202275276184,0.2115829735994339,0.20235490798950195,0.1695755422115326,0.3815755248069763,0.19912077486515045,0.4322226941585541,0.6662389636039734,0.152218297123909,0.17236235737800598,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.2602776288986206,0.2604767382144928,0.2647981345653534,0.3906462490558624,0.31003430485725403,0.4739971458911896,1.0,0.2149612456560135,0.21576224267482758,0.22068053483963013
league,0.04579940438270569,0.15746146440505981,0.38784167170524597,0.19486981630325317,0.42200368642807007,0.2012902945280075,0.22822457551956177,0.26433616876602173,0.2724147439002991,0.2891138792037964,0.3365440368652344,0.15941482782363892
",",0.22659391164779663,0.40610817074775696,0.2494642585515976,0.21538467705249786,0.21334654092788696,0.36755475401878357,0.21025213599205017,0.4464869201183319,0.4933079481124878,0.19061636924743652,0.1810409277677536,0.31091248989105225
while,0.2918691337108612,0.3748262822628021,0.19775532186031342,0.17814886569976807,0.2433115690946579,0.3084527552127838,0.16188588738441467,0.4232339859008789,0.39804592728614807,0.23717176914215088,0.15627816319465637,0.21076419949531555
also,0.43506327271461487,0.6258217096328735,0.2513844072818756,0.2160360962152481,0.2531372010707855,0.31877249479293823,0.25184017419815063,0.5373267531394958,0.6021018624305725,0.1744820773601532,0.2647361755371094,0.21848613023757935
leading,0.18543758988380432,0.2955435812473297,0.2612805962562561,0.18134483695030212,0.145459845662117,0.1924321949481964,0.23544539511203766,0.3854183852672577,0.3809107840061188,0.2569259703159332,0.2586188316345215,0.1360926628112793
the,0.33890387415885925,0.4335206151008606,0.2602776288986206,0.2604767382144928,0.2647981345653534,0.3906462490558624,0.31003430485725403,0.4739971458911896,1.0,0.2149612456560135,0.21576224267482758,0.22068053483963013
nfl,0.09207417815923691,0.09887322783470154,0.4153780937194824,0.20811912417411804,0.2740437686443329,0.12345176935195923,0.3013530373573303,0.23749186098575592,0.15305201709270477,0.26757359504699707,0.48354101181030273,0.10610254108905792
in,0.2601168751716614,0.41474202275276184,0.2115829735994339,0.20235490798950195,0.1695755422115326,0.3815755248069763,0.19912077486515045,0.4322226941585541,0.6662389636039734,0.152218297123909,0.17236235737800598,0.20430970191955566
interceptions,0.2084771692752838,0.21864065527915955,0.3591367304325104,0.39709994196891785,0.2821354866027832,0.21403995156288147,0.28692734241485596,0.30427032709121704,0.22331646084785461,0.24270352721214294,0.3440132439136505,0.10945115238428116
