,what,previous,work,did,lavoisier,experiments,discredit,?
the,0.42745697498321533,0.34706559777259827,0.2704800069332123,0.34736719727516174,0.2755334973335266,0.21008943021297455,0.10648166388273239,0.22068053483963013
name,0.18623162806034088,0.18501880764961243,0.15755409002304077,0.17557460069656372,0.18948547542095184,0.09447889775037766,0.05615704134106636,0.15381577610969543
oxygen,0.16781960427761078,0.10603787750005722,0.20575018227100372,0.15723921358585358,0.3009975850582123,0.23196229338645935,0.09086780995130539,0.16786395013332367
was,0.22111038863658905,0.2747909128665924,0.24745555222034454,0.41399896144866943,0.29939597845077515,0.24334195256233215,0.15999148786067963,0.18412111699581146
coined,0.21964944899082184,0.10731061547994614,0.15690210461616516,0.16980411112308502,0.31957361102104187,0.26140156388282776,0.21426263451576233,0.15754613280296326
in,0.30808621644973755,0.2318485975265503,0.2753349542617798,0.2593238651752472,0.324543833732605,0.21977302432060242,0.010058830492198467,0.20430970191955566
1777,0.02643509954214096,0.03402381390333176,-0.011369884014129639,-0.0025642116088420153,0.2304590940475464,0.08471042662858963,0.06176956743001938,0.08882875740528107
by,0.2455483376979828,0.25115057826042175,0.25005507469177246,0.18574509024620056,0.269358366727829,0.2956569194793701,0.20288577675819397,0.17966607213020325
antoine,0.19465886056423187,0.103737011551857,0.21556854248046875,0.1614295095205307,0.6201592087745667,0.1717492938041687,0.18378539383411407,0.18068033456802368
lavoisier,0.20517738163471222,0.1976241171360016,0.2726167142391205,0.22614359855651855,0.9999998807907104,0.3661235272884369,0.22895678877830505,0.14628292620182037
",",0.3087472915649414,0.26843470335006714,0.3283594250679016,0.3015086054801941,0.3282681107521057,0.22640827298164368,0.13353058695793152,0.31091248989105225
whose,0.22831642627716064,0.15496324002742767,0.192624032497406,0.197230726480484,0.19389575719833374,0.13347271084785461,0.16521044075489044,0.16990536451339722
experiments,0.3106561601161957,0.13584445416927338,0.4124527871608734,0.2717590034008026,0.3661235272884369,0.9999998807907104,0.27340269088745117,0.14564716815948486
with,0.2464839518070221,0.2219962477684021,0.2649822533130646,0.25472134351730347,0.28485921025276184,0.23139363527297974,0.09042222052812576,0.2433311939239502
oxygen,0.16781960427761078,0.10603787750005722,0.20575018227100372,0.15723921358585358,0.3009975850582123,0.23196229338645935,0.09086780995130539,0.16786395013332367
helped,0.1926339715719223,0.12836536765098572,0.34057554602622986,0.48476338386535645,0.17603829503059387,0.2713388204574585,0.21031326055526733,0.16572049260139465
to,0.455847829580307,0.26198142766952515,0.3482864499092102,0.4452643394470215,0.24892042577266693,0.273220032453537,0.2500908672809601,0.29463258385658264
discredit,0.28840696811676025,0.16683000326156616,0.3095073699951172,0.2939855456352234,0.22895678877830505,0.27340269088745117,1.0,0.17301133275032043
the,0.42745697498321533,0.34706559777259827,0.2704800069332123,0.34736719727516174,0.2755334973335266,0.21008943021297455,0.10648166388273239,0.22068053483963013
then-popular,0.28662383556365967,0.2187938243150711,0.28111588954925537,0.3277553617954254,0.24349495768547058,0.2736492156982422,0.19075241684913635,0.16480836272239685
phlogiston,0.23945403099060059,0.13557487726211548,0.2268247902393341,0.1792399138212204,0.4155595004558563,0.3535935580730438,0.19699370861053467,0.230838805437088
theory,0.297923743724823,0.1924106925725937,0.23476560413837433,0.20347590744495392,0.37126871943473816,0.3801521956920624,0.3145557940006256,0.1387292891740799
of,0.33290785551071167,0.2892087996006012,0.23473061621189117,0.2513895630836487,0.2657543122768402,0.16935081779956818,0.11524844914674759,0.1826142966747284
combustion,0.2678600549697876,0.1466713547706604,0.28276142477989197,0.19428817927837372,0.4004976153373718,0.3264664113521576,0.16362346708774567,0.2177530825138092
and,0.31309178471565247,0.22210395336151123,0.37551814317703247,0.34479495882987976,0.27694079279899597,0.3053898811340332,0.1343936175107956,0.20544172823429108
corrosion,0.18943355977535248,0.14954034984111786,0.21642480790615082,0.1946539729833603,0.319610595703125,0.25616455078125,0.12184546887874603,0.1496727615594864
.,0.3567904531955719,0.24575935304164886,0.33121398091316223,0.35288307070732117,0.3063303232192993,0.261809378862381,0.12392257899045944,0.4130953550338745
