,what,is,the,most,likely,effect,of,breathing,oxygen,?
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.28129076957702637,0.2865084111690521,0.733189046382904,0.21453244984149933,0.20428593456745148,0.22068053483963013
pharmacological,0.30823755264282227,0.24429531395435333,0.2686213254928589,0.17881861329078674,0.17587946355342865,0.2786845564842224,0.3292277753353119,0.2618580758571625,0.265193909406662,0.18419277667999268
effect,0.2546532452106476,0.17614969611167908,0.2865084111690521,0.22101694345474243,0.3051520884037018,1.0,0.24129827320575714,0.2701375186443329,0.18079808354377747,0.1783771812915802
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.2638912796974182,0.17614969611167908,0.4854315221309662,0.19124522805213928,0.21825239062309265,0.22961433231830597
doubtful,0.341960072517395,0.27803662419319153,0.239092618227005,0.2829369604587555,0.389323890209198,0.2552950084209442,0.2769303321838379,0.2452661544084549,0.17414776980876923,0.34570205211639404
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.09552082419395447,0.023219000548124313,0.047211695462465286,0.054534342139959335,0.016816195100545883,0.010789583437144756,0.10349778085947037
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3508910834789276,0.3132456839084625,0.24771364033222198,0.5052502155303955,0.23236723244190216,0.21662019193172455,0.23916715383529663
placebo,0.2948009967803955,0.2602221369743347,0.2413329929113388,0.2167072594165802,0.29343345761299133,0.4368820786476135,0.221104234457016,0.33127927780151367,0.3078118860721588,0.2281535267829895
effect,0.2546532452106476,0.17614969611167908,0.2865084111690521,0.22101694345474243,0.3051520884037018,1.0,0.24129827320575714,0.2701375186443329,0.18079808354377747,0.1783771812915802
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.2638912796974182,0.17614969611167908,0.4854315221309662,0.19124522805213928,0.21825239062309265,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3508910834789276,0.3132456839084625,0.24771364033222198,0.5052502155303955,0.23236723244190216,0.21662019193172455,0.23916715383529663
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.5395737886428833,0.4661065638065338,0.29258641600608826,0.30478984117507935,0.2892155349254608,0.265546053647995,0.27894994616508484
likely,0.4101858139038086,0.2638912796974182,0.28129076957702637,0.38152775168418884,1.0,0.3051520884037018,0.2704482078552246,0.3250538110733032,0.32360613346099854,0.35971182584762573
explanation,0.3953537344932556,0.2344522774219513,0.261050283908844,0.1961796134710312,0.34595194458961487,0.3766729533672333,0.1946517825126648,0.25139519572257996,0.2538607716560364,0.33794105052948
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.26822179555892944,0.2277858853340149,0.5352458953857422,0.26123711466789246,0.2554275095462799,0.4130953550338745
