,what,network,is,newcastle,a,member,of,?
newcastle,0.16276082396507263,0.17845886945724487,0.1841045320034027,1.0000001192092896,0.21405641734600067,0.22665195167064667,0.18781472742557526,0.0902252271771431
is,0.28837618231773376,0.2196272611618042,1.0,0.1841045320034027,0.658733606338501,0.2522773742675781,0.4854315221309662,0.22961433231830597
a,0.3320399522781372,0.17299489676952362,0.658733606338501,0.21405641734600067,1.0,0.24081070721149445,0.5052502155303955,0.23916715383529663
member,0.09932345896959305,0.15541860461235046,0.2522773742675781,0.22665195167064667,0.24081070721149445,0.9999998807907104,0.2701796889305115,0.06826172769069672
of,0.33290785551071167,0.21800683438777924,0.4854315221309662,0.18781472742557526,0.5052502155303955,0.2701796889305115,1.0,0.1826142966747284
the,0.42745697498321533,0.27187061309814453,0.5823672413825989,0.2253497689962387,0.5829201340675354,0.2806392312049866,0.733189046382904,0.22068053483963013
english,0.25060737133026123,0.12297465652227402,0.24613474309444427,0.2657631039619446,0.21707510948181152,0.1817571371793747,0.17198967933654785,0.23251567780971527
core,0.2474994957447052,0.18673963844776154,0.24520008265972137,0.04284413903951645,0.20929911732673645,0.16906552016735077,0.2545962929725647,0.20309162139892578
cities,0.161918506026268,0.20787976682186127,0.21770904958248138,0.18326705694198608,0.18820415437221527,0.06636109203100204,0.29528072476387024,0.13339310884475708
group,0.2114069163799286,0.27598339319229126,0.22153858840465546,0.1983904093503952,0.2594761848449707,0.43751513957977295,0.25542253255844116,0.13827809691429138
and,0.31309178471565247,0.27591994404792786,0.3859752118587494,0.20204751193523407,0.3739250600337982,0.28606608510017395,0.5116966962814331,0.20544172823429108
is,0.28837618231773376,0.2196272611618042,1.0,0.1841045320034027,0.658733606338501,0.2522773742675781,0.4854315221309662,0.22961433231830597
a,0.3320399522781372,0.17299489676952362,0.658733606338501,0.21405641734600067,1.0,0.24081070721149445,0.5052502155303955,0.23916715383529663
member,0.09932345896959305,0.15541860461235046,0.2522773742675781,0.22665195167064667,0.24081070721149445,0.9999998807907104,0.2701796889305115,0.06826172769069672
of,0.33290785551071167,0.21800683438777924,0.4854315221309662,0.18781472742557526,0.5052502155303955,0.2701796889305115,1.0,0.1826142966747284
the,0.42745697498321533,0.27187061309814453,0.5823672413825989,0.2253497689962387,0.5829201340675354,0.2806392312049866,0.733189046382904,0.22068053483963013
eurocities,0.2201347053050995,0.2669087052345276,0.15450851619243622,0.2632941007614136,0.19295383989810944,0.20542706549167633,0.26344606280326843,0.26044169068336487
network,0.16917307674884796,1.0000001192092896,0.2196272611618042,0.17845886945724487,0.17299489676952362,0.15541860461235046,0.21800683438777924,0.17853789031505585
of,0.33290785551071167,0.21800683438777924,0.4854315221309662,0.18781472742557526,0.5052502155303955,0.2701796889305115,1.0,0.1826142966747284
european,0.15324164927005768,0.13594013452529907,0.16083641350269318,0.21749746799468994,0.2254103124141693,0.24138560891151428,0.2507138252258301,0.14560863375663757
cities,0.161918506026268,0.20787976682186127,0.21770904958248138,0.18326705694198608,0.18820415437221527,0.06636109203100204,0.29528072476387024,0.13339310884475708
.,0.3567904531955719,0.23909442126750946,0.4569662809371948,0.2714749276638031,0.50484299659729,0.19907453656196594,0.5352458953857422,0.4130953550338745
