,what,kind,of,data,did,abc,begin,using,in,the,1970s,to,better,target,ads,and,programming,for,certain,audiences,?
it,0.45803478360176086,0.2979188859462738,0.38761502504348755,0.16321566700935364,0.2993364930152893,0.17324577271938324,0.18427979946136475,0.28191491961479187,0.5130809545516968,0.6251175999641418,-0.011373424902558327,0.513711154460907,0.2868439853191376,0.25045228004455566,0.17888735234737396,0.40957894921302795,0.2395796775817871,0.32171204686164856,0.3337479829788208,0.3623181879520416,0.25732165575027466
also,0.42747777700424194,0.35271334648132324,0.4924938678741455,0.14700114727020264,0.39334940910339355,0.2030053734779358,0.18551087379455566,0.35933059453964233,0.5073733329772949,0.6021018624305725,-0.003746853908523917,0.5348826050758362,0.3658298850059509,0.208304300904274,0.23836387693881989,0.5755972862243652,0.23027054965496063,0.5373267531394958,0.48111942410469055,0.28443285822868347,0.21848613023757935
began,0.1665823757648468,0.13467243313789368,0.2330763041973114,0.09093205630779266,0.4415510594844818,0.2686883211135864,0.49711355566978455,0.19325803220272064,0.34154343605041504,0.3059147596359253,0.028958234935998917,0.2731419503688812,0.2360268384218216,0.06930375844240189,0.21370327472686768,0.3021392226219177,0.1649756282567978,0.29047009348869324,0.178327277302742,0.2855069637298584,0.1370266228914261
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.24776634573936462,0.4452643394470215,0.1762417107820511,0.33302420377731323,0.3678804934024811,0.45010748505592346,0.535392165184021,0.06756533682346344,1.0,0.29406851530075073,0.275001585483551,0.18482619524002075,0.48971283435821533,0.1961597204208374,0.4451248347759247,0.4444960355758667,0.34542354941368103,0.29463258385658264
use,0.3453877568244934,0.39127564430236816,0.2750902473926544,0.22231268882751465,0.32446643710136414,0.1775941103696823,0.2805820405483246,0.7256444692611694,0.2715643048286438,0.34342584013938904,0.060225773602724075,0.47261837124824524,0.332213431596756,0.30012959241867065,0.24114786088466644,0.34145063161849976,0.2666213810443878,0.47655582427978516,0.43781089782714844,0.20299385488033295,0.32795652747154236
behavioral,0.35550743341445923,0.2560659646987915,0.24343639612197876,0.21850501000881195,0.1488586813211441,0.20371393859386444,0.16101476550102234,0.21370066702365875,0.17505428194999695,0.21287773549556732,-0.014019619673490524,0.22535935044288635,0.2679731845855713,0.26287850737571716,0.13097292184829712,0.25789642333984375,0.26683443784713745,0.2857685983181,0.3571816682815552,0.31293028593063354,0.2257440835237503
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.23368559777736664,0.34479495882987976,0.16453155875205994,0.2599445581436157,0.33157408237457275,0.4954058527946472,0.5171257257461548,0.10044565051794052,0.48971283435821533,0.3038354516029358,0.2067750096321106,0.20379316806793213,1.0,0.23146864771842957,0.5064792633056641,0.36360108852386475,0.2827101945877075,0.20544172823429108
demographic,0.12276367843151093,0.04311420023441315,0.24534057080745697,0.28210851550102234,0.1631416529417038,0.16370642185211182,0.1706729382276535,0.16465863585472107,0.21722672879695892,0.2588324248790741,-0.01158453430980444,0.19245678186416626,0.10390967130661011,0.24427834153175354,0.2512964904308319,0.27161845564842224,0.23813389241695404,0.2425348162651062,0.20585042238235474,0.23532435297966003,0.17883411049842834
data,0.23453554511070251,0.13410639762878418,0.20013196766376495,1.0,0.1821516454219818,0.11560861021280289,0.09932998567819595,0.26474928855895996,0.17588379979133606,0.20546740293502808,0.0015451182844117284,0.24776634573936462,0.19975344836711884,0.21978044509887695,0.18199965357780457,0.23368559777736664,0.2627969980239868,0.20166052877902985,0.24444012343883514,0.138327494263649,0.17909851670265198
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.24776634573936462,0.4452643394470215,0.1762417107820511,0.33302420377731323,0.3678804934024811,0.45010748505592346,0.535392165184021,0.06756533682346344,1.0,0.29406851530075073,0.275001585483551,0.18482619524002075,0.48971283435821533,0.1961597204208374,0.4451248347759247,0.4444960355758667,0.34542354941368103,0.29463258385658264
