,if,1,were,to,be,considered,as,prime,what,would,the,sieve,of,eratosthenes,yield,for,all,other,numbers,?
similarly,0.3354603052139282,-0.24222244322299957,0.29833853244781494,0.38353443145751953,0.39588695764541626,0.3528587222099304,0.3871530592441559,0.15010252594947815,0.2804308831691742,0.31410351395606995,0.33859682083129883,0.2910948693752289,0.29464200139045715,0.2853434979915619,0.3292383849620819,0.37383148074150085,0.35394975543022156,0.45058655738830566,0.4023840129375458,0.23036029934883118
",",0.257730096578598,-0.15742997825145721,0.36755475401878357,0.44245919585227966,0.39254459738731384,0.32932984828948975,0.48816442489624023,0.2565026581287384,0.3087472915649414,0.32586824893951416,0.4933079481124878,0.17480798065662384,0.4946078956127167,0.26014038920402527,0.2071995884180069,0.4464869201183319,0.425624817609787,0.4446498453617096,0.26479464769363403,0.31091248989105225
the,0.33724796772003174,-0.1554475575685501,0.3906462490558624,0.535392165184021,0.4248143136501312,0.4028765559196472,0.48381632566452026,0.19960100948810577,0.42745697498321533,0.4133751392364502,1.0,0.236739844083786,0.733189046382904,0.3054516315460205,0.18954695761203766,0.4739971458911896,0.4860881567001343,0.44152235984802246,0.293011337518692,0.22068053483963013
sieve,0.31722551584243774,-0.06526822596788406,0.16171522438526154,0.301832914352417,0.3427027463912964,0.1263202577829361,0.22090579569339752,0.18466857075691223,0.2748502194881439,0.2133198231458664,0.236739844083786,1.0,0.2222577929496765,0.38099363446235657,0.27341294288635254,0.18081754446029663,0.19435793161392212,0.2752222716808319,0.24343030154705048,0.14764533936977386
of,0.2557544410228729,-0.09473495930433273,0.34038281440734863,0.41548454761505127,0.33904364705085754,0.4190242290496826,0.3886612355709076,0.23935265839099884,0.33290785551071167,0.3353942930698395,0.733189046382904,0.2222577929496765,1.0,0.3415881097316742,0.22534652054309845,0.4185989499092102,0.42798417806625366,0.38583824038505554,0.228018656373024,0.1826142966747284
eratosthenes,0.32890382409095764,-0.1943940818309784,0.2685861587524414,0.28045928478240967,0.26602035760879517,0.22133296728134155,0.21704526245594025,0.3198402225971222,0.3025607466697693,0.223709836602211,0.3054516315460205,0.38099363446235657,0.3415881097316742,1.0,0.27459776401519775,0.2213069647550583,0.19524769484996796,0.15703073143959045,0.3694375157356262,0.15444022417068481
would,0.5543612837791443,-0.33511853218078613,0.37426912784576416,0.5965728163719177,0.5202695727348328,0.37682145833969116,0.3824005722999573,0.16885465383529663,0.45766422152519226,1.0000001192092896,0.4133751392364502,0.2133198231458664,0.3353942930698395,0.223709836602211,0.28086674213409424,0.39877474308013916,0.41205164790153503,0.37565508484840393,0.27861475944519043,0.37178951501846313
not,0.6100378632545471,-0.31168678402900696,0.33318549394607544,0.5149973034858704,0.5788898468017578,0.41997629404067993,0.5105602741241455,0.12917746603488922,0.5449194312095642,0.5854519605636597,0.4310511648654938,0.2772218585014343,0.3307090103626251,0.2124970704317093,0.29919713735580444,0.39280617237091064,0.4974499046802521,0.4341118037700653,0.3080960810184479,0.41942933201789856
work,0.3051113784313202,-0.26189616322517395,0.23814889788627625,0.3482864499092102,0.34449198842048645,0.23064734041690826,0.32418152689933777,0.1357828825712204,0.3762225806713104,0.3312954604625702,0.2704800069332123,0.2921389937400818,0.23473061621189117,0.2906329929828644,0.2249928116798401,0.4087657630443573,0.30834105610847473,0.29067906737327576,0.2318825125694275,0.2621155381202698
correctly,0.5195592045783997,-0.30949485301971436,0.1939215362071991,0.3935893774032593,0.4099086821079254,0.18650943040847778,0.2899235486984253,0.1595706343650818,0.41690006852149963,0.3731266260147095,0.3099958002567291,0.30794623494148254,0.1631389856338501,0.2900766134262085,0.1854119449853897,0.3510666489601135,0.341288298368454,0.2808918058872223,0.2773926258087158,0.36838996410369873
if,1.0,-0.3333838880062103,0.1688997447490692,0.4559597074985504,0.5628611445426941,0.2923738658428192,0.3354816734790802,0.09983985871076584,0.5277165174484253,0.5543612837791443,0.33724796772003174,0.31722551584243774,0.2557544410228729,0.32890382409095764,0.3116181790828705,0.3609124422073364,0.40880489349365234,0.3864276111125946,0.300189733505249,0.4441644251346588
1,-0.3333838880062103,1.0,-0.20452795922756195,-0.2769182622432709,-0.2923636734485626,-0.19963058829307556,-0.2728762626647949,-0.17159132659435272,-0.21266892552375793,-0.33511853218078613,-0.1554475575685501,-0.06526822596788406,-0.09473495930433273,-0.1943940818309784,-0.12213139981031418,-0.31088897585868835,-0.24701951444149017,-0.25242504477500916,-0.23353983461856842,-0.249979168176651
were,0.1688997447490692,-0.20452795922756195,1.0000001192092896,0.31913647055625916,0.4064064621925354,0.2681999206542969,0.3025437891483307,0.11367364972829819,0.22298263013362885,0.37426912784576416,0.3906462490558624,0.16171522438526154,0.34038281440734863,0.2685861587524414,0.13448074460029602,0.33592689037323,0.4387909770011902,0.4041554927825928,0.31236323714256287,0.17890112102031708
considered,0.2923738658428192,-0.19963058829307556,0.2681999206542969,0.2954166829586029,0.41927069425582886,1.0,0.4031961262226105,0.1126614436507225,0.2834889590740204,0.37682145833969116,0.4028765559196472,0.1263202577829361,0.4190242290496826,0.22133296728134155,0.24155661463737488,0.3214476406574249,0.317488431930542,0.2968703508377075,0.22274668514728546,0.19909770786762238
a,0.41272827982902527,-0.20817746222019196,0.17203083634376526,0.45503583550453186,0.39883795380592346,0.36109375953674316,0.39550232887268066,0.17998681962490082,0.3320399522781372,0.398599237203598,0.5829201340675354,0.211503267288208,0.5052502155303955,0.25966212153434753,0.21735574305057526,0.44038116931915283,0.2696802616119385,0.2806335389614105,0.24434582889080048,0.23916715383529663
