,what,station,aired,the,super,bowl,?
cbs,0.1950361132621765,0.25754258036613464,0.48803529143333435,0.2283918708562851,0.23111854493618011,0.2528696060180664,0.14594407379627228
broadcast,0.17857211828231812,0.3892953395843506,0.5757981538772583,0.2713715434074402,0.1449931412935257,0.18237876892089844,0.15760008990764618
super,0.13651713728904724,0.12718956172466278,0.22168377041816711,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.166326642036438
bowl,0.15942467749118805,0.08387836068868637,0.1768631637096405,0.21576224267482758,0.4848237931728363,1.0,0.21118052303791046
50,-0.04124141484498978,0.011045037768781185,0.025258932262659073,0.03602437674999237,0.0833745002746582,0.005446359980851412,0.030512850731611252
in,0.30808621644973755,0.21784305572509766,0.21521411836147308,0.6662389636039734,0.18576006591320038,0.17236235737800598,0.20430970191955566
the,0.42745697498321533,0.23609806597232819,0.2525516450405121,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
u.s.,0.11178889125585556,0.0005587392370216548,-0.007397403009235859,0.06592652946710587,0.18026593327522278,0.1647888869047165,0.07886100560426712
",",0.3087472915649414,0.2482491284608841,0.2195960283279419,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
and,0.31309178471565247,0.19091129302978516,0.2092604786157608,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.20544172823429108
charged,0.191240593791008,0.15249793231487274,0.14452506601810455,0.2047804892063141,0.1307750940322876,0.13330021500587463,0.1305682212114334
an,0.2821882665157318,0.1697155088186264,0.15461860597133636,0.4207492768764496,0.09755856543779373,0.13908697664737701,0.19793890416622162
average,0.24068789184093475,0.14494618773460388,0.20728588104248047,0.27058175206184387,0.127910777926445,0.1515442579984665,0.21764592826366425
of,0.33290785551071167,0.17394597828388214,0.15519371628761292,0.733189046382904,0.14718765020370483,0.2243070751428604,0.1826142966747284
$,0.24858909845352173,0.12371653318405151,0.2239212542772293,0.23367542028427124,0.14851532876491547,0.24415016174316406,0.2786129117012024
5,0.09269922226667404,0.08524762094020844,-0.011102555319666862,0.09255307912826538,0.024198191240429878,0.052770476788282394,0.06222071498632431
million,0.22197039425373077,0.17599834501743317,0.2652680575847626,0.277012437582016,0.15958677232265472,0.18768401443958282,0.23092924058437347
for,0.3017193675041199,0.18705002963542938,0.14468124508857727,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.264628142118454
a,0.3320399522781372,0.21760036051273346,0.1767585724592209,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.23916715383529663
30-second,0.2115969955921173,0.17595107853412628,0.21285119652748108,0.3721327483654022,0.2004479467868805,0.19167320430278778,0.18454498052597046
commercial,0.12070754915475845,0.2774408757686615,0.2026880383491516,0.23051398992538452,0.20105868577957153,0.16026756167411804,0.04216946288943291
during,0.24137552082538605,0.12004553526639938,0.2747999131679535,0.4838213622570038,0.16951335966587067,0.22041946649551392,0.1325719803571701
the,0.42745697498321533,0.23609806597232819,0.2525516450405121,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
game,0.2246788740158081,0.20115497708320618,0.3074551820755005,0.285271555185318,0.3480181396007538,0.2413962334394455,0.1829071193933487
.,0.3567904531955719,0.20999185740947723,0.2278250902891159,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.4130953550338745
