,what,is,the,almannic,dialect,to,describe,the,islands,outside,in,austria,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3039913475513458,0.19946523010730743,0.45010748505592346,0.2910135090351105,0.6662389636039734,0.2010209858417511,0.4191201329231262,1.0,0.24159443378448486,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3640868365764618,0.18307873606681824,0.535392165184021,0.26495152711868286,1.0,0.27959951758384705,0.3879719078540802,0.6662389636039734,0.24396029114723206,0.22068053483963013
local,0.18981902301311493,0.13173899054527283,0.2130540907382965,0.1604386568069458,0.25070467591285706,0.2207600325345993,0.18720777332782745,0.2130540907382965,0.1932269185781479,0.240836501121521,0.2223825752735138,0.170340433716774,0.15022775530815125
alemannic,0.2311769276857376,0.25289711356163025,0.2998456358909607,0.7176501154899597,0.45877689123153687,0.27120816707611084,0.1734863668680191,0.2998456358909607,0.170619934797287,0.16995678842067719,0.27618688344955444,0.3449506461620331,0.25152501463890076
dialect,0.22094208002090454,0.19101184606552124,0.18307873606681824,0.31396517157554626,1.0,0.17421816289424896,0.2516661584377289,0.18307873606681824,0.24996894598007202,0.10936318337917328,0.19946523010730743,0.15538470447063446,0.11663753539323807
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.290921688079834,0.19181562960147858,0.44245919585227966,0.18910212814807892,0.4933079481124878,0.2641065716743469,0.2726076543331146,0.5201468467712402,0.22571246325969696,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3640868365764618,0.18307873606681824,0.535392165184021,0.26495152711868286,1.0,0.27959951758384705,0.3879719078540802,0.6662389636039734,0.24396029114723206,0.22068053483963013
singular,0.2832280993461609,0.23253826797008514,0.2641136050224304,0.19010372459888458,0.28820550441741943,0.21662446856498718,0.3270266652107239,0.2641136050224304,0.20554551482200623,0.2236778289079666,0.19735653698444366,0.1553594321012497,0.17302146553993225
is,0.28837618231773376,1.0,0.5823672413825989,0.282520592212677,0.19101184606552124,0.42745086550712585,0.27898338437080383,0.5823672413825989,0.18837878108024597,0.2823421061038971,0.5394441485404968,0.11112981289625168,0.22961433231830597
pronounced,0.167657732963562,0.25434353947639465,0.15958891808986664,0.1349850445985794,0.3805748224258423,0.0954960435628891,0.23781225085258484,0.15958891808986664,0.12773354351520538,0.11700411140918732,0.18721576035022736,0.0786643773317337,0.18877464532852173
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.04321400448679924,0.1286095678806305,0.06720756739377975,0.03843066468834877,0.029072100296616554,0.11553576588630676,-0.0017313973512500525,0.04765888676047325,0.07778777182102203,0.0685480609536171
isel,0.1875467151403427,0.19271071255207062,0.26559481024742126,0.28231799602508545,0.19908210635185242,0.1526825726032257,0.13508442044258118,0.26559481024742126,0.21733205020427704,0.1448582410812378,0.23252582550048828,0.2755737900733948,0.17985066771507263
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,-0.040345992892980576,0.04709256812930107,-0.009905828163027763,0.07821051776409149,0.041273195296525955,0.009309993125498295,0.06540004163980484,0.07432962208986282,-0.07309837639331818,0.018684765323996544
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.25016748905181885,0.15799005329608917,0.48971283435821533,0.24788004159927368,0.5171257257461548,0.2816464602947235,0.31803378462791443,0.4954058527946472,0.24401354789733887,0.20544172823429108
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.2977418005466461,0.17269624769687653,0.5759071707725525,0.2984195351600647,0.6274310946464539,0.1938164383172989,0.2858526110649109,0.45205554366111755,0.21679870784282684,0.3155723512172699
is,0.28837618231773376,1.0,0.5823672413825989,0.282520592212677,0.19101184606552124,0.42745086550712585,0.27898338437080383,0.5823672413825989,0.18837878108024597,0.2823421061038971,0.5394441485404968,0.11112981289625168,0.22961433231830597
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.280041366815567,0.226133793592453,0.5348826050758362,0.3215469419956207,0.6021018624305725,0.22565384209156036,0.33962929248809814,0.5073733329772949,0.2228775918483734,0.21848613023757935
the,0.42745697498321533,0.5823672413825989,1.0,0.3640868365764618,0.18307873606681824,0.535392165184021,0.26495152711868286,1.0,0.27959951758384705,0.3879719078540802,0.6662389636039734,0.24396029114723206,0.22068053483963013
local,0.18981902301311493,0.13173899054527283,0.2130540907382965,0.1604386568069458,0.25070467591285706,0.2207600325345993,0.18720777332782745,0.2130540907382965,0.1932269185781479,0.240836501121521,0.2223825752735138,0.170340433716774,0.15022775530815125
pronunciation,0.24994006752967834,0.2547442615032196,0.21106497943401337,0.3119000792503357,0.5102095603942871,0.21433456242084503,0.20993395149707794,0.21106497943401337,0.15679001808166504,0.19935916364192963,0.15624402463436127,0.08944282680749893,0.25199246406555176
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.33316075801849365,0.17277581989765167,0.41548454761505127,0.2764313519001007,0.733189046382904,0.277767539024353,0.2973117530345917,0.5696388483047485,0.23136331140995026,0.1826142966747284
esel,0.1782623827457428,0.16055721044540405,0.22050167620182037,0.307722806930542,0.2276393622159958,0.13940240442752838,0.07675327360630035,0.22050167620182037,0.20150335133075714,0.10896331816911697,0.25608840584754944,0.254144549369812,0.20646122097969055
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2096945345401764,0.09290363639593124,0.30882009863853455,0.14272817969322205,0.33289089798927307,0.19888485968112946,0.14573508501052856,0.3087427020072937,0.2213747650384903,0.40561532974243164
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.04321400448679924,0.1286095678806305,0.06720756739377975,0.03843066468834877,0.029072100296616554,0.11553576588630676,-0.0017313973512500525,0.04765888676047325,0.07778777182102203,0.0685480609536171
donkey,0.2209588587284088,0.18586201965808868,0.20772913098335266,0.14089661836624146,0.12606383860111237,0.2324509173631668,0.1369899958372116,0.20772913098335266,0.17653284966945648,0.12475476413965225,0.09798416495323181,0.11340661346912384,0.22401800751686096
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,-0.040345992892980576,0.04709256812930107,-0.009905828163027763,0.07821051776409149,0.041273195296525955,0.009309993125498295,0.06540004163980484,0.07432962208986282,-0.07309837639331818,0.018684765323996544
