,when,was,the,first,sino-japanese,war,?
during,0.46721696853637695,0.4470829963684082,0.4838213622570038,0.45377472043037415,0.22200612723827362,0.4802435040473938,0.1325719803571701
the,0.5091903209686279,0.48711544275283813,1.0,0.49448907375335693,0.25954848527908325,0.366199791431427,0.22068053483963013
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,1.0,0.24463734030723572,0.3144489526748657,0.18701928853988647
sino-japanese,0.1687881350517273,0.257248193025589,0.25954848527908325,0.24463734030723572,1.0,0.3094184696674347,0.17026196420192719
war,0.26339730620384216,0.3560331463813782,0.366199791431427,0.3144489526748657,0.3094184696674347,1.0000001192092896,0.15510529279708862
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.1967390477657318,0.29904094338417053,0.20430970191955566
1894,0.12394257634878159,0.19647718966007233,0.16498081386089325,0.13489913940429688,0.25766727328300476,0.11979419738054276,0.1500938981771469
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.23656108975410461,0.2671184241771698,0.31091248989105225
japan,0.16531987488269806,0.24596759676933289,0.22735914587974548,0.23189915716648102,0.5341776609420776,0.20527175068855286,0.1312343180179596
absorbed,0.29745280742645264,0.25231239199638367,0.3526548445224762,0.18717065453529358,0.17765246331691742,0.18739452958106995,0.1383046656847
taiwan,0.18935678899288177,0.18512170016765594,0.2808842360973358,0.20079506933689117,0.37015339732170105,0.2053484320640564,0.17633986473083496
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.25932765007019043,0.3000848889350891,0.4130953550338745
