,what,planet,do,the,daleks,come,from,?
the,0.42745697498321533,0.2470240592956543,0.30239659547805786,1.0,0.3154934346675873,0.36020293831825256,0.40150508284568787,0.22068053483963013
daleks,0.2009461522102356,0.3595793843269348,0.12848053872585297,0.3154934346675873,0.9999999403953552,0.1546376794576645,0.22310593724250793,0.13693755865097046
are,0.29724663496017456,0.15789230167865753,0.41111594438552856,0.40399202704429626,0.1444697231054306,0.4015005826950073,0.2674213647842407,0.24591213464736938
kaleds,0.24363598227500916,0.2774292826652527,0.2999575436115265,0.2851877212524414,0.36321312189102173,0.2750130891799927,0.19260293245315552,0.2652730643749237
from,0.2737620174884796,0.1908731460571289,0.20424067974090576,0.40150508284568787,0.22310593724250793,0.32651904225349426,1.0,0.19969791173934937
the,0.42745697498321533,0.2470240592956543,0.30239659547805786,1.0,0.3154934346675873,0.36020293831825256,0.40150508284568787,0.22068053483963013
planet,0.2183026820421219,1.0,0.19782491028308868,0.2470240592956543,0.3595793843269348,0.20734509825706482,0.1908731460571289,0.16979767382144928
skaro,0.1891235113143921,0.1165127381682396,0.15624558925628662,0.2888260781764984,0.2325795441865921,0.13763387501239777,0.18960437178611755,0.1993425041437149
",",0.3087472915649414,0.19326971471309662,0.3283645510673523,0.4933079481124878,0.14506761729717255,0.350309282541275,0.39760664105415344,0.31091248989105225
mutated,0.2048579603433609,0.2735597491264343,0.19673988223075867,0.2305857390165329,0.3750515878200531,0.20179840922355652,0.19169680774211884,0.14609591662883759
by,0.2455483376979828,0.19697460532188416,0.1481526494026184,0.4408751428127289,0.1699552834033966,0.11457374691963196,0.3373257517814636,0.17966607213020325
the,0.42745697498321533,0.2470240592956543,0.30239659547805786,1.0,0.3154934346675873,0.36020293831825256,0.40150508284568787,0.22068053483963013
scientist,0.19887776672840118,0.27578842639923096,0.16902409493923187,0.16244260966777802,0.2684573233127594,0.13561944663524628,0.1665131002664566,0.1278093308210373
davros,0.1798819750547409,0.37399810552597046,0.1827535331249237,0.30321943759918213,0.5186195373535156,0.17183037102222443,0.1723177582025528,0.15493494272232056
and,0.31309178471565247,0.21885086596012115,0.276123583316803,0.5171257257461548,0.20103956758975983,0.3412281572818756,0.3601827025413513,0.20544172823429108
housed,0.14229431748390198,0.13754089176654816,0.14414161443710327,0.320347398519516,0.1791439801454544,0.23857435584068298,0.19685617089271545,0.08815091848373413
in,0.30808621644973755,0.18041402101516724,0.23402775824069977,0.6662389636039734,0.2037806212902069,0.26272067427635193,0.4274188280105591,0.20430970191955566
mechanical,0.22318285703659058,0.16560232639312744,0.17027892172336578,0.2918589413166046,0.21545405685901642,0.13207291066646576,0.16142834722995758,0.10079140216112137
armour,0.1756889820098877,0.15650568902492523,0.11501502990722656,0.25583913922309875,0.24853962659835815,0.15231022238731384,0.13210995495319366,0.1588597148656845
shells,0.21712204813957214,0.14848017692565918,0.19115225970745087,0.2135874330997467,0.2296505719423294,0.1971065253019333,0.1861908733844757,0.12549249827861786
for,0.3017193675041199,0.1996491700410843,0.29510271549224854,0.4739971458911896,0.1443338692188263,0.2792086601257324,0.314039945602417,0.264628142118454
mobility,0.17530418932437897,0.16418221592903137,0.1645929366350174,0.2575506269931793,0.2063322216272354,0.11706135421991348,0.15619315207004547,0.13310691714286804
.,0.3567904531955719,0.24422165751457214,0.3613996207714081,0.5934505462646484,0.23017093539237976,0.2866859436035156,0.41536515951156616,0.4130953550338745
