,how,many,us,states,do,no,practice,corporal,punishment,?
30,-0.0035910264123231173,0.09108389914035797,0.023661255836486816,0.01224336214363575,0.0008990789065137506,-0.05676763504743576,0.00904389563947916,-0.06730955839157104,-0.012247730046510696,-0.08261742442846298
us,0.2815901041030884,0.2307271808385849,1.0000001192092896,0.4605454206466675,0.21005748212337494,0.2572433352470398,0.12027793377637863,0.15402711927890778,0.14288465678691864,0.2742428481578827
states,0.20841296017169952,0.29976361989974976,0.4605454206466675,1.0,0.1594211608171463,0.15352249145507812,0.1978544443845749,0.26527202129364014,0.24844320118427277,0.16272737085819244
have,0.4370637536048889,0.5841760635375977,0.2249869704246521,0.20162390172481537,0.49831271171569824,0.38691386580467224,0.2906533181667328,0.13562873005867004,0.27079349756240845,0.32991164922714233
banned,0.23071882128715515,0.3179336190223694,0.24051295220851898,0.20095165073871613,0.2344096153974533,0.2054113745689392,0.23522120714187622,0.09279218316078186,0.3070095479488373,0.3147534728050232
corporal,0.1337403804063797,0.132213294506073,0.15402711927890778,0.26527202129364014,0.15063239634037018,0.16026671230793,0.1352444440126419,1.0,0.34936437010765076,0.1554132103919983
punishment,0.2668728828430176,0.2440016120672226,0.14288465678691864,0.24844320118427277,0.22830727696418762,0.2609685957431793,0.26913946866989136,0.34936437010765076,1.0000001192092896,0.23842233419418335
",",0.22659391164779663,0.40610817074775696,0.3120202422142029,0.3315127193927765,0.3283645510673523,0.29972612857818604,0.2838936448097229,0.2217067927122116,0.2216428816318512,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.25727739930152893,0.3463578522205353,0.30239659547805786,0.3461136817932129,0.27333036065101624,0.22063873708248138,0.2503047287464142,0.22068053483963013
others,0.3401021361351013,0.5011104941368103,0.20277972519397736,0.21073012053966522,0.3561740517616272,0.2218637764453888,0.25108712911605835,0.23018382489681244,0.2633834183216095,0.26705288887023926
(,0.1676948219537735,0.1455259770154953,0.23830419778823853,0.21393048763275146,0.24216170608997345,0.28322693705558777,0.12100798636674881,0.19582751393318176,0.11360079050064087,0.40561532974243164
mostly,0.25601688027381897,0.5220051407814026,0.12411322444677353,0.20933671295642853,0.20580069720745087,0.1902831345796585,0.20010174810886383,0.09791666269302368,0.11746148020029068,0.09124795347452164
in,0.2601168751716614,0.41474202275276184,0.19746538996696472,0.3977442979812622,0.23402775824069977,0.24372287094593048,0.24572531878948212,0.15530824661254883,0.19258901476860046,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.25727739930152893,0.3463578522205353,0.30239659547805786,0.3461136817932129,0.27333036065101624,0.22063873708248138,0.2503047287464142,0.22068053483963013
south,0.11786635220050812,0.2319321483373642,0.1746729165315628,0.30704712867736816,0.17977531254291534,0.11340241879224777,0.10298819094896317,0.1470760703086853,0.09595489501953125,0.12336621433496475
),0.17939934134483337,0.16602720320224762,0.23142409324645996,0.2059156745672226,0.24460165202617645,0.28349557518959045,0.15658485889434814,0.18031108379364014,0.12738631665706635,0.42300865054130554
have,0.4370637536048889,0.5841760635375977,0.2249869704246521,0.20162390172481537,0.49831271171569824,0.38691386580467224,0.2906533181667328,0.13562873005867004,0.27079349756240845,0.32991164922714233
not,0.4869767427444458,0.4369727373123169,0.2292662113904953,0.24589264392852783,0.6619802713394165,0.4487079083919525,0.33168983459472656,0.17519666254520416,0.34782421588897705,0.41942933201789856
.,0.3287222981452942,0.3974229395389557,0.3162994682788849,0.33941102027893066,0.3613996207714081,0.35224834084510803,0.2513175904750824,0.23281329870224,0.24320337176322937,0.4130953550338745
