,what,did,the,richest,400,americans,have,as,children,that,helped,them,be,successful,adults,?
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.2720588445663452,0.1977328509092331,0.24953381717205048,0.36843645572662354,0.3887844979763031,0.2065156251192093,0.435920387506485,0.304380863904953,0.29119014739990234,0.3481820821762085,0.2864660918712616,0.2404707372188568,0.20430970191955566
september,0.2153792530298233,0.2693498432636261,0.2516939043998718,0.158529594540596,0.15920792520046234,0.21034622192382812,0.13580821454524994,0.2394716590642929,0.21744391322135925,0.1891760379076004,0.20479311048984528,0.16696852445602417,0.16678357124328613,0.20022673904895782,0.0849628746509552,0.2665146589279175
2012,0.2266836017370224,0.16113266348838806,0.46885523200035095,0.3305136263370514,0.231156587600708,0.1866443008184433,0.2888771593570709,0.3424225151538849,0.1635819971561432,0.32257330417633057,0.16951431334018707,0.25644102692604065,0.2715093493461609,0.15094967186450958,0.13759443163871765,0.18042556941509247
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2780846655368805,0.15647920966148376,0.2545861303806305,0.3541618287563324,0.48816442489624023,0.28531143069267273,0.4137537479400635,0.2661169171333313,0.3985835015773773,0.39254459738731384,0.28826844692230225,0.20862317085266113,0.31091248989105225
according,0.2776208221912384,0.19118738174438477,0.3202974498271942,0.27411696314811707,0.04457101225852966,0.19246500730514526,0.23988237977027893,0.24795791506767273,0.18380066752433777,0.29146862030029297,0.21834519505500793,0.21364882588386536,0.2703677713871002,0.12336862087249756,0.12819242477416992,0.21173474192619324
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.17104682326316833,0.0779322162270546,0.30128014087677,0.4544740617275238,0.42092081904411316,0.23135778307914734,0.5436353087425232,0.42226478457450867,0.5916602611541748,0.4972836375236511,0.2317596971988678,0.2642943561077118,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,1.0,0.27766263484954834,0.17705115675926208,0.3275100290775299,0.40389683842658997,0.48381632566452026,0.15654058754444122,0.5473989248275757,0.3108886480331421,0.4788833558559418,0.4248143136501312,0.31354787945747375,0.24781310558319092,0.22068053483963013
institute,0.17608846724033356,0.13879841566085815,0.24399729073047638,0.19727864861488342,0.02457873336970806,0.17652985453605652,0.13914279639720917,0.23080535233020782,0.19787786900997162,0.16938656568527222,0.18496008217334747,0.14822007715702057,0.1419380158185959,0.13398651778697968,0.1553197056055069,0.115291528403759
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.19477729499340057,0.09554251283407211,0.30406907200813293,0.41175219416618347,0.44774648547172546,0.19934585690498352,0.4137635827064514,0.26606255769729614,0.41447147727012634,0.3801851272583008,0.2988608777523041,0.25312885642051697,0.264628142118454
policy,0.3869883120059967,0.2751549482345581,0.2358427494764328,0.09499547630548477,0.026958348229527473,0.29253700375556946,0.2642752230167389,0.2869105041027069,0.1634586602449417,0.34090733528137207,0.2085486501455307,0.27221229672431946,0.26498162746429443,0.16325260698795319,0.11419698596000671,0.30462446808815
studies,0.18772079050540924,0.2509125769138336,0.22738903760910034,0.15784355998039246,-0.003512158989906311,0.198722705245018,0.29284238815307617,0.22210973501205444,0.2105690836906433,0.26255905628204346,0.23614175617694855,0.1620131880044937,0.16135656833648682,0.11201624572277069,0.27585816383361816,0.1388726830482483
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2780846655368805,0.15647920966148376,0.2545861303806305,0.3541618287563324,0.48816442489624023,0.28531143069267273,0.4137537479400635,0.2661169171333313,0.3985835015773773,0.39254459738731384,0.28826844692230225,0.20862317085266113,0.31091248989105225
``,0.008517155423760414,-0.029888948425650597,0.029072100296616554,0.030559908598661423,-0.10072708129882812,0.00415491359308362,0.1022237241268158,0.03910288214683533,-0.011867018416523933,0.05285148695111275,-0.01818331889808178,0.08904550224542618,0.07670000940561295,-0.01568824239075184,0.06536239385604858,0.0685480609536171
over,0.28007611632347107,0.2535076439380646,0.39856547117233276,0.2077694982290268,0.11600986868143082,0.24713510274887085,0.41283175349235535,0.3506779670715332,0.1417134553194046,0.3882925808429718,0.2707309424877167,0.37881892919540405,0.27136483788490295,0.21274372935295105,0.23497314751148224,0.25742942094802856
