,what,is,another,possible,explanation,for,the,source,of,the,signals,?
it,0.45803478360176086,0.6328473687171936,0.42453905940055847,0.3402087390422821,0.28066304326057434,0.32171204686164856,0.6251175999641418,0.3236563801765442,0.38761502504348755,0.6251175999641418,0.21712779998779297,0.25732165575027466
has,0.20338068902492523,0.5668748617172241,0.34104037284851074,0.20224857330322266,0.18133704364299774,0.450642853975296,0.4177538752555847,0.17518587410449982,0.3909035325050354,0.4177538752555847,0.14678585529327393,0.15994466841220856
been,0.2567804455757141,0.39566612243652344,0.3350543975830078,0.230338454246521,0.18723845481872559,0.39068686962127686,0.3563927710056305,0.1925371289253235,0.31685134768486023,0.3563927710056305,0.176827535033226,0.24354910850524902
hypothesized,0.31864842772483826,0.19727498292922974,0.26129117608070374,0.37731045484542847,0.43274256587028503,0.14922454953193665,0.2066926509141922,0.2126055210828781,0.17877452075481415,0.2066926509141922,0.27148720622062683,0.17388217151165009
that,0.6297725439071655,0.3995479643344879,0.5273378491401672,0.42499589920043945,0.4266470670700073,0.4137635827064514,0.5473989248275757,0.3142060935497284,0.41498205065727234,0.5473989248275757,0.2883685231208801,0.32716336846351624
he,0.3114890456199646,0.36230841279029846,0.34215036034584045,0.20697039365768433,0.17365515232086182,0.4540175199508667,0.4571082592010498,0.11630336940288544,0.38706058263778687,0.4571082592010498,0.1314157098531723,0.2089974731206894
may,0.25739946961402893,0.322792649269104,0.2963435649871826,0.37218719720840454,0.2515821158885956,0.29255861043930054,0.2694292366504669,0.1709180325269699,0.26447007060050964,0.2694292366504669,0.22409017384052277,0.2768254578113556
have,0.39808809757232666,0.3613572418689728,0.3633967638015747,0.34919747710227966,0.3198244273662567,0.41175219416618347,0.40389683842658997,0.23898272216320038,0.3802283704280853,0.40389683842658997,0.2455505132675171,0.32991164922714233
intercepted,0.1758049577474594,0.12268199771642685,0.21482343971729279,0.22333158552646637,0.17786096036434174,0.30045437812805176,0.2696214020252228,0.10627315938472748,0.19871048629283905,0.2696214020252228,0.3428916335105896,0.10366860032081604
marconi,0.14023901522159576,0.03116355463862419,0.18838024139404297,0.18290653824806213,0.11271538585424423,0.16337892413139343,0.14582182466983795,0.08948500454425812,0.09505867958068848,0.14582182466983795,0.39674699306488037,0.09038416296243668
's,0.02692362666130066,0.02396530658006668,0.026405371725559235,0.036827296018600464,0.017140168696641922,-0.07241261005401611,-0.01540423184633255,-0.06033462658524513,-0.03817026689648628,-0.01540423184633255,0.11150744557380676,-0.023395681753754616
european,0.15324164927005768,0.16083641350269318,0.2164870649576187,0.13740134239196777,0.08281990885734558,0.2838500738143921,0.3423081040382385,0.1611349731683731,0.2507138252258301,0.3423081040382385,0.1347942352294922,0.14560863375663757
experiments,0.3106561601161957,0.16474494338035583,0.22532516717910767,0.3024173974990845,0.3973354697227478,0.2637265622615814,0.21008943021297455,0.2120540291070938,0.16935081779956818,0.21008943021297455,0.29117003083229065,0.14564716815948486
