,in,the,most,basic,sense,what,did,a,turing,machine,emulate,?
most,0.41416558623313904,0.47635307908058167,1.0,0.2763790488243103,0.27275171875953674,0.3219912350177765,0.2822507321834564,0.3508910834789276,0.23340554535388947,0.17841923236846924,0.25100788474082947,0.2107497900724411
influential,0.2626776695251465,0.2541041374206543,0.46078428626060486,0.1983630210161209,0.16361595690250397,0.21743842959403992,0.2309054732322693,0.25374096632003784,0.3291088342666626,0.17016690969467163,0.2010183036327362,0.1465693712234497
among,0.3211768567562103,0.3507058024406433,0.5484373569488525,0.16079768538475037,0.24737949669361115,0.21154822409152985,0.2415449470281601,0.1789381206035614,0.25089097023010254,0.13676849007606506,0.17256282269954681,0.14343059062957764
these,0.3791837692260742,0.49086877703666687,0.4825916290283203,0.39935100078582764,0.29767197370529175,0.4164220690727234,0.38755595684051514,0.24380075931549072,0.2506507635116577,0.21263210475444794,0.33067435026168823,0.2571668326854706
was,0.45514053106307983,0.48711544275283813,0.29933857917785645,0.17338378727436066,0.11603791266679764,0.22111038863658905,0.41399896144866943,0.4508470594882965,0.21632471680641174,0.1741330921649933,0.18289896845817566,0.18412111699581146
the,0.6662389636039734,1.0,0.47635307908058167,0.27259987592697144,0.23180550336837769,0.42745697498321533,0.34736719727516174,0.5829201340675354,0.2644472122192383,0.22788187861442566,0.22184833884239197,0.22068053483963013
definition,0.20306213200092316,0.23176956176757812,0.22048233449459076,0.35521045327186584,0.36973607540130615,0.330344021320343,0.2053946554660797,0.2941339910030365,0.2733438014984131,0.17171083390712738,0.28199318051338196,0.2796523869037628
of,0.5696388483047485,0.733189046382904,0.4178851246833801,0.2817785441875458,0.19666431844234467,0.33290785551071167,0.2513895630836487,0.5052502155303955,0.2670239806175232,0.15468473732471466,0.16933369636535645,0.1826142966747284
turing,0.26572495698928833,0.2644472122192383,0.23340554535388947,0.2720482647418976,0.18152780830860138,0.2806522250175476,0.16969428956508636,0.25234705209732056,1.0000001192092896,0.4048772156238556,0.31369930505752563,0.1460462063550949
machines,0.2209317833185196,0.22618883848190308,0.28568926453590393,0.31633126735687256,0.2618306577205658,0.25512105226516724,0.24531704187393188,0.21060632169246674,0.4426501989364624,0.7925316095352173,0.37968847155570984,0.17646311223506927
by,0.370934396982193,0.4408751428127289,0.270847886800766,0.217438206076622,0.14194129407405853,0.2455483376979828,0.18574509024620056,0.32094135880470276,0.21632690727710724,0.2526017427444458,0.19107520580291748,0.17966607213020325
