,what,is,an,etioplast,?
an,0.2821882665157318,0.4654068350791931,1.0,0.17873112857341766,0.19793890416622162
etioplast,0.23684675991535187,0.26200249791145325,0.17873112857341766,1.0,0.17501437664031982
is,0.28837618231773376,1.0,0.4654068350791931,0.26200249791145325,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.29067257046699524,0.23916715383529663
plastid,0.21447217464447021,0.23850545287132263,0.14422619342803955,0.7563256621360779,0.2178892344236374
that,0.6297725439071655,0.3995479643344879,0.365763783454895,0.3388373851776123,0.32716336846351624
lacks,0.2592582106590271,0.2925722599029541,0.2145799696445465,0.26200202107429504,0.22729714214801788
chlorophyll,0.23408083617687225,0.2015603631734848,0.20019330084323883,0.6248894929885864,0.1099696233868599
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.2115010768175125,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.2838519215583801,0.19348938763141632,0.20544172823429108
has,0.20338068902492523,0.5668748617172241,0.2991473078727722,0.18811964988708496,0.15994466841220856
inner,0.226011261343956,0.21686768531799316,0.18882343173027039,0.28508642315864563,0.10395674407482147
membrane,0.1647152304649353,0.21774554252624512,0.17148612439632416,0.6297978162765503,0.18908235430717468
invaginations,0.2826872766017914,0.24140968918800354,0.2405652105808258,0.39253342151641846,0.25064900517463684
that,0.6297725439071655,0.3995479643344879,0.365763783454895,0.3388373851776123,0.32716336846351624
form,0.15868011116981506,0.3218395411968231,0.1558980643749237,0.3175671696662903,0.1463010311126709
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.29067257046699524,0.23916715383529663
lattice,0.20927949249744415,0.23104546964168549,0.20046772062778473,0.45159974694252014,0.12518279254436493
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.22645212709903717,0.1826142966747284
tubes,0.19118662178516388,0.15036141872406006,0.1474522203207016,0.4821973443031311,0.1610335409641266
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.2228536158800125,0.20430970191955566
their,0.35142919421195984,0.2101074606180191,0.19624626636505127,0.2566508948802948,0.1898253709077835
stroma,0.17679446935653687,0.20730970799922943,0.15561124682426453,0.29603007435798645,0.15478113293647766
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.2115010768175125,0.31091248989105225
called,0.3235960602760315,0.430266410112381,0.2858632802963257,0.2877543866634369,0.18963319063186646
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.29067257046699524,0.23916715383529663
prolamellar,0.25521358847618103,0.2573072612285614,0.23667079210281372,0.45569172501564026,0.27272477746009827
body,0.2143840193748474,0.2790417969226837,0.22158053517341614,0.38794752955436707,0.20136451721191406
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.24906516075134277,0.4130953550338745
