,what,was,the,name,of,the,work,to,give,grants,for,youth,development,and,other,things,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.2704800069332123,0.535392165184021,0.29086416959762573,0.2900126874446869,0.4739971458911896,0.26209625601768494,0.3362044394016266,0.5171257257461548,0.44152235984802246,0.30825191736221313,0.22068053483963013
committee,0.18195343017578125,0.25449851155281067,0.24322165548801422,0.14093075692653656,0.2920650243759155,0.24322165548801422,0.16941428184509277,0.24979650974273682,0.1784728467464447,0.26475095748901367,0.29222947359085083,0.25507739186286926,0.2904417812824249,0.22311176359653473,0.20104862749576569,0.16921088099479675,0.12144632637500763
created,0.20714101195335388,0.3592788577079773,0.3539263904094696,0.25696396827697754,0.32043445110321045,0.3539263904094696,0.2618859112262726,0.2592601478099823,0.18999148905277252,0.19435442984104156,0.25684574246406555,0.17731988430023193,0.24492959678173065,0.2873832881450653,0.2160288542509079,0.2059408724308014,0.21177415549755096
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.2704800069332123,0.535392165184021,0.29086416959762573,0.2900126874446869,0.4739971458911896,0.26209625601768494,0.3362044394016266,0.5171257257461548,0.44152235984802246,0.30825191736221313,0.22068053483963013
50,-0.04124141484498978,-0.0011744623770937324,0.03602437674999237,-0.0409264862537384,0.006577443331480026,0.03602437674999237,-0.022783715277910233,-0.024239253252744675,0.10970842093229294,-0.006840782705694437,0.029183456674218178,0.0704558938741684,-0.04060585796833038,0.0032697415444999933,0.0139119578525424,0.054130446165800095,0.030512850731611252
fund,0.14864346385002136,0.24310266971588135,0.25521403551101685,0.1593160480260849,0.27318620681762695,0.25521403551101685,0.2384408563375473,0.23214511573314667,0.2087659388780594,0.4391464591026306,0.3049182593822479,0.2916795313358307,0.3953835368156433,0.27788683772087097,0.1866477131843567,0.1438683271408081,0.1883198469877243
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.32418152689933777,0.42092081904411316,0.2826775014400482,0.23033161461353302,0.44774648547172546,0.1967555433511734,0.22143439948558807,0.49487000703811646,0.42805421352386475,0.3078339993953705,0.27043893933296204
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.317160964012146,0.48690423369407654,0.559237003326416,0.19636286795139313,0.3691340684890747,0.2611789107322693,0.19986692070960999,0.2992613911628723,0.1835598200559616,0.2975480854511261,0.3841775357723236,0.29483991861343384,0.26398766040802,0.15103481709957123
philanthropic,0.1870797723531723,0.23140208423137665,0.17239925265312195,0.12189202755689621,0.20743587613105774,0.17239925265312195,0.24480225145816803,0.1912526935338974,0.20763717591762543,0.3488246500492096,0.2323717176914215,0.23544882237911224,0.2595505118370056,0.24663834273815155,0.21504855155944824,0.23209832608699799,0.17462901771068573
initiative,0.22199440002441406,0.17148073017597198,0.23040100932121277,0.11261515319347382,0.250868022441864,0.23040100932121277,0.27813196182250977,0.2696518898010254,0.21816827356815338,0.30003583431243896,0.3471551239490509,0.26868316531181335,0.3232930302619934,0.24450580775737762,0.1743054986000061,0.2190910428762436,0.2048262655735016
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.37551814317703247,0.48971283435821533,0.3040338158607483,0.2782057225704193,0.5064792633056641,0.2684251070022583,0.26069340109825134,1.0,0.5504306554794312,0.378500759601593,0.20544172823429108
focuses,0.27091580629348755,0.2205784171819687,0.26860302686691284,0.0658797025680542,0.29358524084091187,0.26860302686691284,0.2903445065021515,0.27192121744155884,0.2070463001728058,0.19234849512577057,0.29375043511390686,0.2006990909576416,0.3360274136066437,0.26309964060783386,0.23829887807369232,0.3101452887058258,0.15887200832366943
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.5107308030128479,0.26663315296173096,0.41031414270401,0.24458909034729004,0.2398548126220703,0.36199691891670227,0.1602422297000885,0.23800693452358246,0.4077630043029785,0.3410046398639679,0.2750859558582306,0.2714994251728058
providing,0.21766136586666107,0.1957843005657196,0.29839932918548584,0.035194624215364456,0.24403119087219238,0.29839932918548584,0.35012727975845337,0.3326144516468048,0.42405790090560913,0.3091713786125183,0.44196924567222595,0.20201526582241058,0.2986469566822052,0.381117045879364,0.33068764209747314,0.23239365220069885,0.1936793476343155
grants,0.18652507662773132,0.17012618482112885,0.2900126874446869,0.15477146208286285,0.3099519908428192,0.2900126874446869,0.23904523253440857,0.2831681966781616,0.33193254470825195,1.0000001192092896,0.37409108877182007,0.17168934643268585,0.22058551013469696,0.2782057225704193,0.18664059042930603,0.22436602413654327,0.1494954377412796
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.3482864499092102,1.0,0.4396136403083801,0.2831681966781616,0.4451248347759247,0.1984357386827469,0.27639102935791016,0.48971283435821533,0.4193183183670044,0.3824876844882965,0.29463258385658264
aid,0.1778782606124878,0.15475519001483917,0.21952909231185913,0.0864768847823143,0.20153990387916565,0.21952909231185913,0.24282850325107574,0.2690417766571045,0.2527715861797333,0.2833576500415802,0.28007441759109497,0.2493124157190323,0.22218725085258484,0.2158033847808838,0.20731976628303528,0.183792382478714,0.08358026295900345
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.17897967994213104,0.41827285289764404,0.4223487675189972,0.2649822533130646,0.4239959120750427,0.32338687777519226,0.18219539523124695,0.39140474796295166,0.2341127246618271,0.20933356881141663,0.5477725267410278,0.44086363911628723,0.27400049567222595,0.2433311939239502
youth,0.1100270077586174,0.2383287101984024,0.26209625601768494,0.16091006994247437,0.2297523021697998,0.26209625601768494,0.14512024819850922,0.1984357386827469,0.13721628487110138,0.17168934643268585,0.268684059381485,1.0,0.28809434175491333,0.2684251070022583,0.21082526445388794,0.10327603667974472,0.18005552887916565
development,0.19014155864715576,0.2344081997871399,0.3362044394016266,0.1231662780046463,0.28700894117355347,0.3362044394016266,0.31192752718925476,0.27639102935791016,0.19240833818912506,0.22058551013469696,0.28623178601264954,0.28809434175491333,0.9999998807907104,0.26069340109825134,0.2599644660949707,0.22010980546474457,0.1211358830332756
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.3283594250679016,0.44245919585227966,0.2844066619873047,0.30463892221450806,0.4464869201183319,0.1725531816482544,0.23776917159557343,0.6633074283599854,0.4446498453617096,0.3149048686027527,0.31091248989105225
community,0.29032719135284424,0.2025771290063858,0.2601400911808014,0.146366685628891,0.2367410808801651,0.2601400911808014,0.22696316242218018,0.2863751947879791,0.17041327059268951,0.30592870712280273,0.24596118927001953,0.19370584189891815,0.29234668612480164,0.2756517827510834,0.24753764271736145,0.28154847025871277,0.2380419820547104
investment,0.21795563399791718,0.18636870384216309,0.20950904488563538,0.19821876287460327,0.24637944996356964,0.20950904488563538,0.25543639063835144,0.2513584792613983,0.23845718801021576,0.4069811999797821,0.2421431541442871,0.26790112257003784,0.4219714105129242,0.22590497136116028,0.17562036216259003,0.23556065559387207,0.17811161279678345
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.37551814317703247,0.48971283435821533,0.3040338158607483,0.2782057225704193,0.5064792633056641,0.2684251070022583,0.26069340109825134,1.0,0.5504306554794312,0.378500759601593,0.20544172823429108
sustainable,0.21227498352527618,0.13167893886566162,0.23000730574131012,0.04787982627749443,0.24827149510383606,0.23000730574131012,0.2848045229911804,0.2900981903076172,0.21365700662136078,0.29102206230163574,0.3596091568470001,0.2837863862514496,0.44483813643455505,0.3109722435474396,0.2636944651603699,0.2675018012523651,0.22072604298591614
environments,0.1853245049715042,0.11738110333681107,0.24010388553142548,0.09734097868204117,0.23282752931118011,0.24010388553142548,0.2371094822883606,0.26333698630332947,0.22538092732429504,0.22004161775112152,0.2747631072998047,0.21306955814361572,0.3795662820339203,0.3015255331993103,0.32545751333236694,0.38642868399620056,0.1847371757030487
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.33121398091316223,0.4645031690597534,0.34017711877822876,0.2610261142253876,0.4726039469242096,0.20751601457595825,0.2822875380516052,0.588965117931366,0.41511186957359314,0.345660001039505,0.4130953550338745
