,what,is,an,important,catalyst,of,economic,growth,?
22,0.02076123282313347,-0.027378425002098083,0.05250119790434837,0.022543320432305336,-0.04891885071992874,-0.029035527259111404,-0.07593557983636856,-0.001420342130586505,0.06663474440574646
%,0.20738190412521362,0.18672586977481842,0.17991386353969574,0.13216182589530945,0.1335492730140686,0.19953428208827972,0.14023810625076294,0.25614961981773376,0.21441808342933655
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.43301743268966675,0.1529167741537094,1.0,0.3030148148536682,0.2679378092288971,0.1826142966747284
gdp,0.2943311929702759,0.1348358541727066,0.05181534215807915,0.20641601085662842,0.2589190602302551,0.173078253865242,0.41995733976364136,0.42887356877326965,0.232579305768013
still,0.4548931419849396,0.3574111759662628,0.20023715496063232,0.3444676399230957,0.17027583718299866,0.3288819193840027,0.1903359591960907,0.212688148021698,0.3039587736129761
comes,0.2575639486312866,0.4279782474040985,0.2240220457315445,0.2250937819480896,0.10030452907085419,0.2978210747241974,0.11459636688232422,0.16244247555732727,0.15980161726474762
from,0.2737620174884796,0.27355384826660156,0.20876385271549225,0.23078285157680511,0.14416232705116272,0.4249346852302551,0.14037707448005676,0.18550442159175873,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.39348116517066956,0.21989983320236206,0.733189046382904,0.282455176115036,0.2912366986274719,0.22068053483963013
unreliable,0.3126639723777771,0.16425374150276184,0.1986192911863327,0.2335229516029358,0.18825191259384155,0.10907898843288422,0.14463737607002258,0.10430159419775009,0.3206176459789276
agricultural,0.17047324776649475,0.20706014335155487,0.15098071098327637,0.3913916051387787,0.20043204724788666,0.3318701386451721,0.5025284886360168,0.46713972091674805,0.0713675245642662
sector,0.18244388699531555,0.22561627626419067,0.1414111852645874,0.2827301323413849,0.19498714804649353,0.23412683606147766,0.3977937400341034,0.3452655076980591,0.06294605135917664
which,0.5261979103088379,0.4457404911518097,0.3611921966075897,0.37798872590065,0.30638888478279114,0.5011631846427917,0.2570582926273346,0.32359230518341064,0.25814583897590637
employs,0.12176327407360077,0.2286774218082428,0.14499108493328094,0.19396530091762543,0.21348147094249725,0.265817791223526,0.2788344919681549,0.23293550312519073,0.15923810005187988
75,0.07002212852239609,0.036826424300670624,0.043274570256471634,0.10331528633832932,-0.10639162361621857,0.06640326231718063,0.048446111381053925,0.026199478656053543,0.017522118985652924
%,0.20738190412521362,0.18672586977481842,0.17991386353969574,0.13216182589530945,0.1335492730140686,0.19953428208827972,0.14023810625076294,0.25614961981773376,0.21441808342933655
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.43301743268966675,0.1529167741537094,1.0,0.3030148148536682,0.2679378092288971,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.39348116517066956,0.21989983320236206,0.733189046382904,0.282455176115036,0.2912366986274719,0.22068053483963013
labour,0.11658018827438354,0.1740988940000534,0.19195856153964996,0.06690901517868042,0.18868717551231384,0.18614540994167328,0.31159508228302,0.1816406100988388,0.15689024329185486
