,when,did,embankment,of,the,major,rhine,distributaries,take,palce,?
this,0.4959332048892975,0.3609912693500519,0.23128892481327057,0.45148900151252747,0.6274310946464539,0.26410701870918274,0.16867555677890778,0.1800505667924881,0.3235001862049103,0.2131197154521942,0.3155723512172699
was,0.37326499819755554,0.41399896144866943,0.2405807226896286,0.4069072902202606,0.48711544275283813,0.20676274597644806,0.18681856989860535,0.06772550195455551,0.15919329226016998,0.28508493304252625,0.18412111699581146
followed,0.2927686870098114,0.2675115466117859,0.15426664054393768,0.3060508966445923,0.3567860722541809,0.2136831432580948,0.1637754738330841,0.1938982605934143,0.26372379064559937,0.19512319564819336,0.20567169785499573
by,0.4376842677593231,0.18574509024620056,0.16619834303855896,0.3646814823150635,0.4408751428127289,0.19764594733715057,0.18456800282001495,0.1833847016096115,0.1697900891304016,0.19108837842941284,0.17966607213020325
embankment,0.2359471470117569,0.14885680377483368,1.0,0.2336602658033371,0.2990826964378357,0.1435631662607193,0.38120388984680176,0.22602903842926025,0.14958156645298004,0.29228267073631287,0.14946329593658447
",",0.36674630641937256,0.3015086054801941,0.22712615132331848,0.4946078956127167,0.4933079481124878,0.29355156421661377,0.167837992310524,0.2104700356721878,0.2881867289543152,0.36680471897125244,0.31091248989105225
of,0.3757161796092987,0.2513895630836487,0.2336602658033371,1.0,0.733189046382904,0.2641255557537079,0.2548927664756775,0.2536095976829529,0.29282352328300476,0.305155873298645,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.2990826964378357,0.733189046382904,1.0,0.31775903701782227,0.30735138058662415,0.30288001894950867,0.31620436906814575,0.3103346824645996,0.22068053483963013
major,0.17186790704727173,0.20997437834739685,0.1435631662607193,0.2641255557537079,0.31775903701782227,0.9999998807907104,0.10607928037643433,0.249684676527977,0.12714730203151703,0.19944965839385986,0.19788557291030884
distributaries,0.13789846003055573,0.11745297163724899,0.22602903842926025,0.2536095976829529,0.30288001894950867,0.249684676527977,0.34352290630340576,1.0000001192092896,0.16133631765842438,0.2747829556465149,0.1625920981168747
and,0.4716290831565857,0.34479495882987976,0.24165065586566925,0.5116966962814331,0.5171257257461548,0.29795366525650024,0.22029656171798706,0.254625529050827,0.296702116727829,0.3160051107406616,0.20544172823429108
damming,0.22939446568489075,0.15903860330581665,0.2513703405857086,0.2302073985338211,0.28575992584228516,0.22095033526420593,0.1725797802209854,0.34175044298171997,0.1517723947763443,0.15944619476795197,0.17690904438495636
of,0.3757161796092987,0.2513895630836487,0.2336602658033371,1.0,0.733189046382904,0.2641255557537079,0.2548927664756775,0.2536095976829529,0.29282352328300476,0.305155873298645,0.1826142966747284
minor,0.16065940260887146,0.18436601758003235,0.05035681650042534,0.2443368136882782,0.2544519603252411,0.6171143651008606,0.051568176597356796,0.15740452706813812,0.10630492120981216,0.2311374396085739,0.21100293099880219
distributaries,0.13789846003055573,0.11745297163724899,0.22602903842926025,0.2536095976829529,0.30288001894950867,0.249684676527977,0.34352290630340576,1.0000001192092896,0.16133631765842438,0.2747829556465149,0.1625920981168747
",",0.36674630641937256,0.3015086054801941,0.22712615132331848,0.4946078956127167,0.4933079481124878,0.29355156421661377,0.167837992310524,0.2104700356721878,0.2881867289543152,0.36680471897125244,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.27920228242874146,0.5011631846427917,0.6521818041801453,0.31470122933387756,0.18744276463985443,0.3020436763763428,0.28362178802490234,0.2670518457889557,0.25814583897590637
took,0.25529301166534424,0.42470768094062805,0.20556214451789856,0.2766268849372864,0.31657639145851135,0.1978817880153656,0.16426560282707214,0.08181797713041306,0.5846115350723267,0.12690329551696777,0.14109265804290771
place,0.23831914365291595,0.24020224809646606,0.24877168238162994,0.2685627043247223,0.4179787337779999,0.15742388367652893,0.1513095200061798,0.15255007147789001,0.3971441090106964,0.13903257250785828,0.2455766350030899
in,0.4431333839893341,0.2593238651752472,0.24368411302566528,0.5696388483047485,0.6662389636039734,0.3249945342540741,0.24648422002792358,0.22382201254367828,0.21975718438625336,0.2829160988330841,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.2990826964378357,0.733189046382904,1.0,0.31775903701782227,0.30735138058662415,0.30288001894950867,0.31620436906814575,0.3103346824645996,0.22068053483963013
11–13th,0.17617344856262207,0.1783009171485901,0.12645335495471954,0.1741892546415329,0.24251389503479004,0.1210201233625412,0.20024779438972473,0.15679240226745605,0.034899983555078506,0.16404329240322113,0.054815977811813354
century,0.22992412745952606,0.2333737462759018,0.2337925285100937,0.2826060354709625,0.3617299497127533,0.21291306614875793,0.21836237609386444,0.15801922976970673,0.09767493605613708,0.2638700604438782,0.1026201918721199
ad,0.18574100732803345,0.13482767343521118,0.1386541724205017,0.1761893332004547,0.24233382940292358,0.12326784431934357,0.1613721251487732,0.1408281773328781,0.1839996874332428,0.23059162497520447,0.20824462175369263
.,0.475719153881073,0.35288307070732117,0.21540546417236328,0.5352458953857422,0.5934505462646484,0.3054012954235077,0.2089352011680603,0.19602550566196442,0.3045158088207245,0.33979499340057373,0.4130953550338745
