,in,a,computational,problem,",",what,can,be,described,as,a,string,over,an,alphabet,?
when,0.4431333839893341,0.44397395849227905,0.1778363436460495,0.35051244497299194,0.36674630641937256,0.4700249433517456,0.39191514253616333,0.4451393485069275,0.2246418446302414,0.4437963366508484,0.44397395849227905,0.20507796108722687,0.36642953753471375,0.33026179671287537,0.15800973773002625,0.22841128706932068
considering,0.2312227040529251,0.3301718533039093,0.3844442069530487,0.4093354046344757,0.35016199946403503,0.45582762360572815,0.29848024249076843,0.4043552875518799,0.27640485763549805,0.35475391149520874,0.3301718533039093,0.18429547548294067,0.3349715769290924,0.32164517045021057,0.19509026408195496,0.41417282819747925
computational,0.2346334308385849,0.29858994483947754,1.0,0.41473615169525146,0.28742313385009766,0.29464593529701233,0.35406097769737244,0.2993409335613251,0.25757160782814026,0.22144010663032532,0.29858994483947754,0.3567862808704376,0.22726449370384216,0.19987577199935913,0.2522698640823364,0.21617397665977478
problems,0.21061907708644867,0.21523453295230865,0.3718613386154175,0.7913808822631836,0.2596952021121979,0.3306994140148163,0.326987624168396,0.2817195653915405,0.21305350959300995,0.22810567915439606,0.21523453295230865,0.16115108132362366,0.25140002369880676,0.1804785281419754,0.1267566829919815,0.2638136148452759
",",0.5201468467712402,0.427140474319458,0.28742313385009766,0.23938199877738953,1.0000001192092896,0.3087472915649414,0.3139454126358032,0.39254459738731384,0.25326472520828247,0.48816442489624023,0.427140474319458,0.22835667431354523,0.3301127254962921,0.3581022024154663,0.21958456933498383,0.31091248989105225
a,0.539380669593811,1.0,0.29858994483947754,0.2605542540550232,0.427140474319458,0.3320399522781372,0.3915780484676361,0.39883795380592346,0.25473126769065857,0.39550232887268066,1.0,0.1667976677417755,0.32199642062187195,0.44552403688430786,0.17692390084266663,0.23916715383529663
problem,0.16969570517539978,0.2605542540550232,0.41473615169525146,1.0,0.23938199877738953,0.42183366417884827,0.36370179057121277,0.347878634929657,0.2668292820453644,0.2586832344532013,0.2605542540550232,0.18788205087184906,0.22672554850578308,0.21292734146118164,0.19028139114379883,0.3762950301170349
instance,0.23631897568702698,0.40728384256362915,0.35700780153274536,0.37468287348747253,0.3124626874923706,0.3862040638923645,0.46404144167900085,0.43630778789520264,0.31012406945228577,0.3699146807193756,0.40728384256362915,0.26628056168556213,0.2643725275993347,0.2888215482234955,0.1896788477897644,0.30205854773521423
is,0.5394441485404968,0.658733606338501,0.2470806986093521,0.23238427937030792,0.4691906273365021,0.28837618231773376,0.44256699085235596,0.4819129705429077,0.2517563998699188,0.43216490745544434,0.658733606338501,0.1763434112071991,0.2159561663866043,0.4654068350791931,0.1744629144668579,0.22961433231830597
a,0.539380669593811,1.0,0.29858994483947754,0.2605542540550232,0.427140474319458,0.3320399522781372,0.3915780484676361,0.39883795380592346,0.25473126769065857,0.39550232887268066,1.0,0.1667976677417755,0.32199642062187195,0.44552403688430786,0.17692390084266663,0.23916715383529663
string,0.14018605649471283,0.1667976677417755,0.3567862808704376,0.18788205087184906,0.22835667431354523,0.17737996578216553,0.19681358337402344,0.1828756183385849,0.08759097009897232,0.16349294781684875,0.1667976677417755,1.0000001192092896,0.15679943561553955,0.16112546622753143,0.2550659477710724,0.16560307145118713
over,0.3605569899082184,0.32199642062187195,0.22726449370384216,0.22672554850578308,0.3301127254962921,0.28007611632347107,0.3160167336463928,0.27136483788490295,0.18029345571994781,0.3506779670715332,0.32199642062187195,0.15679943561553955,1.0,0.22070914506912231,0.1186332032084465,0.25742942094802856
an,0.2605783939361572,0.44552403688430786,0.19987577199935913,0.21292734146118164,0.3581022024154663,0.2821882665157318,0.23671309649944305,0.33041056990623474,0.24499115347862244,0.37218472361564636,0.44552403688430786,0.16112546622753143,0.22070914506912231,1.0,0.132956400513649,0.19793890416622162
alphabet,0.1749521940946579,0.17692390084266663,0.2522698640823364,0.19028139114379883,0.21958456933498383,0.19626037776470184,0.18943928182125092,0.19314083456993103,0.14574824273586273,0.1692422777414322,0.17692390084266663,0.2550659477710724,0.1186332032084465,0.132956400513649,1.0,0.21475625038146973
.,0.5591574311256409,0.50484299659729,0.24047870934009552,0.22562150657176971,0.6812511086463928,0.3567904531955719,0.35783761739730835,0.4383580684661865,0.21733810007572174,0.515582263469696,0.50484299659729,0.2064083367586136,0.37877383828163147,0.3581749200820923,0.23927530646324158,0.4130953550338745
