,what,was,the,goal,of,congress,?
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.27082565426826477,0.22068053483963013
goal,0.2571476101875305,0.18331198394298553,0.2443244755268097,1.0000001192092896,0.1838325709104538,0.17310433089733124,0.1964566856622696
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.1838325709104538,1.0,0.2447044849395752,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.27082565426826477,0.22068053483963013
congress,0.16679982841014862,0.23910820484161377,0.27082565426826477,0.17310433089733124,0.2447044849395752,1.0,0.2020287960767746
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.18331198394298553,0.4069072902202606,0.23910820484161377,0.18412111699581146
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.37094977498054504,0.41548454761505127,0.2541917860507965,0.29463258385658264
formalize,0.31115758419036865,0.13850992918014526,0.2161218225955963,0.17956310510635376,0.27284401655197144,0.2615449130535126,0.30947166681289673
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20853768289089203,0.5052502155303955,0.1857503354549408,0.23916715383529663
unified,0.23730704188346863,0.19592061638832092,0.29028576612472534,0.14497773349285126,0.311408132314682,0.1847659945487976,0.21746130287647247
front,0.19401875138282776,0.2506336569786072,0.3733479380607605,0.16460607945919037,0.2804802656173706,0.1895153820514679,0.16351862251758575
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2241991013288498,0.5696388483047485,0.191487118601799,0.20430970191955566
trade,0.1555381417274475,0.19989590346813202,0.2681608200073242,0.15752235054969788,0.2310105711221695,0.27237066626548767,0.09336511790752411
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.20885969698429108,0.5116966962814331,0.19613592326641083,0.20544172823429108
negotiations,0.12244246155023575,0.24871394038200378,0.28858432173728943,0.19875864684581757,0.2613631784915924,0.3164861798286438,0.12190581113100052
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.1991085708141327,0.41827285289764404,0.15866753458976746,0.2433311939239502
various,0.26045072078704834,0.14120686054229736,0.3235042691230774,0.07371356338262558,0.3196488320827484,0.11007805913686752,0.12823495268821716
indians,0.2342250943183899,0.207571879029274,0.26152291893959045,0.1805247664451599,0.2406514436006546,0.23304031789302826,0.13372346758842468
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.1747896373271942,0.31091248989105225
since,0.29783400893211365,0.4384658932685852,0.4054957628250122,0.14973147213459015,0.35513219237327576,0.24744613468647003,0.2876587212085724
allegiance,0.19455353915691376,0.22959114611148834,0.26782822608947754,0.060588859021663666,0.29746443033218384,0.30860039591789246,0.10591092705726624
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.1838325709104538,1.0,0.2447044849395752,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.27082565426826477,0.22068053483963013
various,0.26045072078704834,0.14120686054229736,0.3235042691230774,0.07371356338262558,0.3196488320827484,0.11007805913686752,0.12823495268821716
tribes,0.1860227882862091,0.16813719272613525,0.26830655336380005,0.1660735011100769,0.21502000093460083,0.2139064073562622,0.08824794739484787
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.20885969698429108,0.5116966962814331,0.19613592326641083,0.20544172823429108
nations,0.19211222231388092,0.2097785323858261,0.3506215214729309,0.21633219718933105,0.27521562576293945,0.4048502743244171,0.20999202132225037
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.18331198394298553,0.4069072902202606,0.23910820484161377,0.18412111699581146
seen,0.3087027072906494,0.2286430299282074,0.3442007005214691,0.16857770085334778,0.28639769554138184,0.06730342656373978,0.2567344307899475
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.37094977498054504,0.41548454761505127,0.2541917860507965,0.29463258385658264
be,0.3929833769798279,0.42228707671165466,0.4248143136501312,0.19475089013576508,0.33904364705085754,0.19276513159275055,0.3324260413646698
pivotal,0.38660821318626404,0.3064550459384918,0.4188881814479828,0.2999746799468994,0.354938805103302,0.35265278816223145,0.21733060479164124
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2241991013288498,0.5696388483047485,0.191487118601799,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.27082565426826477,0.22068053483963013
success,0.22873179614543915,0.315643846988678,0.2764457166194916,0.2743545472621918,0.20485365390777588,0.10628380626440048,0.1216118186712265
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2241991013288498,0.5696388483047485,0.191487118601799,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.27082565426826477,0.22068053483963013
war,0.22516006231307983,0.3560331463813782,0.366199791431427,0.17397119104862213,0.31680163741111755,0.2857903838157654,0.15510529279708862
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.2496824711561203,0.41498205065727234,0.1973203718662262,0.32716336846351624
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.18331198394298553,0.4069072902202606,0.23910820484161377,0.18412111699581146
unfolding,0.3868463933467865,0.09634106606245041,0.3335391581058502,0.1865835040807724,0.3236992359161377,0.13467104732990265,0.22529473900794983
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.19919876754283905,0.5352458953857422,0.2424917221069336,0.4130953550338745
