,the,umc,stands,in,oppopsition,to,the,creation,of,embroys,for,the,sake,of,what,?
the,1.0,0.21262750029563904,0.31032469868659973,0.6662389636039734,0.358944296836853,0.535392165184021,1.0,0.34625571966171265,0.733189046382904,0.2222001701593399,0.4739971458911896,1.0,0.1958519071340561,0.733189046382904,0.42745697498321533,0.22068053483963013
umc,0.21262750029563904,1.0,0.18011486530303955,0.15436193346977234,0.2737385034561157,0.23076260089874268,0.21262750029563904,0.2118072807788849,0.18128293752670288,0.2417232096195221,0.20637543499469757,0.21262750029563904,0.23749858140945435,0.18128293752670288,0.2557855546474457,0.2609967589378357
stands,0.31032469868659973,0.18011486530303955,1.0,0.24075044691562653,0.24861153960227966,0.21018967032432556,0.31032469868659973,0.12472571432590485,0.27837875485420227,0.167188361287117,0.31713762879371643,0.31032469868659973,0.1674441248178482,0.27837875485420227,0.16123995184898376,0.10421594232320786
in,0.6662389636039734,0.15436193346977234,0.24075044691562653,1.0,0.2551751136779785,0.45010748505592346,0.6662389636039734,0.22394786775112152,0.5696388483047485,0.2574715316295624,0.4322226941585541,0.6662389636039734,0.19010978937149048,0.5696388483047485,0.30808621644973755,0.20430970191955566
``,0.029072100296616554,0.004294969141483307,0.0968189463019371,0.04765888676047325,0.09513098746538162,0.06720756739377975,0.029072100296616554,0.06019286811351776,0.06780257821083069,0.004460569936782122,0.01270448137074709,0.029072100296616554,0.03593554347753525,0.06780257821083069,0.008517155423760414,0.0685480609536171
opposition,0.26783087849617004,0.17691358923912048,0.21151690185070038,0.21703043580055237,0.7430967092514038,0.2251589596271515,0.26783087849617004,0.18754681944847107,0.27615541219711304,0.12001673877239227,0.2402389794588089,0.26783087849617004,0.16531717777252197,0.27615541219711304,0.2798226773738861,0.15647298097610474
to,0.535392165184021,0.23076260089874268,0.21018967032432556,0.45010748505592346,0.32870346307754517,1.0,0.535392165184021,0.28549936413764954,0.41548454761505127,0.2272375077009201,0.4451248347759247,0.535392165184021,0.2851526141166687,0.41548454761505127,0.455847829580307,0.29463258385658264
the,1.0,0.21262750029563904,0.31032469868659973,0.6662389636039734,0.358944296836853,0.535392165184021,1.0,0.34625571966171265,0.733189046382904,0.2222001701593399,0.4739971458911896,1.0,0.1958519071340561,0.733189046382904,0.42745697498321533,0.22068053483963013
creation,0.34625571966171265,0.2118072807788849,0.12472571432590485,0.22394786775112152,0.20737683773040771,0.28549936413764954,0.34625571966171265,1.0,0.35750406980514526,0.2351359874010086,0.26819050312042236,0.34625571966171265,0.30547603964805603,0.35750406980514526,0.2653278112411499,0.2407430112361908
of,0.733189046382904,0.18128293752670288,0.27837875485420227,0.5696388483047485,0.3163577914237976,0.41548454761505127,0.733189046382904,0.35750406980514526,1.0,0.31023022532463074,0.4185989499092102,0.733189046382904,0.24259239435195923,1.0,0.33290785551071167,0.1826142966747284
embryos,0.26437774300575256,0.15995833277702332,0.0864088237285614,0.20860780775547028,0.32539936900138855,0.2109890729188919,0.26437774300575256,0.23614175617694855,0.2483600378036499,0.4214599132537842,0.16572800278663635,0.26437774300575256,0.10519614070653915,0.2483600378036499,0.20116986334323883,0.17293721437454224
for,0.4739971458911896,0.20637543499469757,0.31713762879371643,0.4322226941585541,0.34060314297676086,0.4451248347759247,0.4739971458911896,0.26819050312042236,0.4185989499092102,0.2149025797843933,0.9999999403953552,0.4739971458911896,0.3096989691257477,0.4185989499092102,0.3017193675041199,0.264628142118454
the,1.0,0.21262750029563904,0.31032469868659973,0.6662389636039734,0.358944296836853,0.535392165184021,1.0,0.34625571966171265,0.733189046382904,0.2222001701593399,0.4739971458911896,1.0,0.1958519071340561,0.733189046382904,0.42745697498321533,0.22068053483963013
sake,0.1958519071340561,0.23749858140945435,0.1674441248178482,0.19010978937149048,0.24542886018753052,0.2851526141166687,0.1958519071340561,0.30547603964805603,0.24259239435195923,0.22382238507270813,0.3096989691257477,0.1958519071340561,1.0,0.24259239435195923,0.3404654860496521,0.2517717480659485
of,0.733189046382904,0.18128293752670288,0.27837875485420227,0.5696388483047485,0.3163577914237976,0.41548454761505127,0.733189046382904,0.35750406980514526,1.0,0.31023022532463074,0.4185989499092102,0.733189046382904,0.24259239435195923,1.0,0.33290785551071167,0.1826142966747284
research,0.24391183257102966,0.24150115251541138,0.10218790173530579,0.21249429881572723,0.30810484290122986,0.2667310833930969,0.24391183257102966,0.2163177877664566,0.22573977708816528,0.1697552651166916,0.29481053352355957,0.24391183257102966,0.1400795876979828,0.22573977708816528,0.237140491604805,0.13481977581977844
'',0.041273195296525955,0.10930682718753815,-0.042804233729839325,0.07432962208986282,-0.007719604764133692,-0.009905828163027763,0.041273195296525955,-0.06385795772075653,0.13035868108272552,0.010312066413462162,-0.04479556903243065,0.041273195296525955,-0.02302226610481739,0.13035868108272552,0.08143015950918198,0.018684765323996544
as,0.48381632566452026,0.24607859551906586,0.2086646854877472,0.3887844979763031,0.3454856872558594,0.42092081904411316,0.48381632566452026,0.18788519501686096,0.3886612355709076,0.205965057015419,0.44774648547172546,0.48381632566452026,0.2845892012119293,0.3886612355709076,0.31749409437179565,0.27043893933296204
``,0.029072100296616554,0.004294969141483307,0.0968189463019371,0.04765888676047325,0.09513098746538162,0.06720756739377975,0.029072100296616554,0.06019286811351776,0.06780257821083069,0.004460569936782122,0.01270448137074709,0.029072100296616554,0.03593554347753525,0.06780257821083069,0.008517155423760414,0.0685480609536171
a,0.5829201340675354,0.19728222489356995,0.34504804015159607,0.539380669593811,0.351721853017807,0.45503583550453186,0.5829201340675354,0.26870065927505493,0.5052502155303955,0.24231456220149994,0.44038116931915283,0.5829201340675354,0.24229492247104645,0.5052502155303955,0.3320399522781372,0.23916715383529663
