,when,did,the,partnership,between,tesla,",",lane,and,vail,form,?
after,0.5331412553787231,0.30330467224121094,0.4565047025680542,0.1925310343503952,0.2667563259601593,0.0752151682972908,0.38860568404197693,0.14031274616718292,0.3765919506549835,0.1424887627363205,0.23307928442955017,0.16608688235282898
leaving,0.48623764514923096,0.26762503385543823,0.35353413224220276,0.1891968846321106,0.22741453349590302,0.04802955687046051,0.2453688681125641,0.2319868952035904,0.31990569829940796,0.0952230915427208,0.21925011277198792,0.11571593582630157
edison,0.25418660044670105,0.1372239738702774,0.25419825315475464,0.1034994125366211,0.1190464049577713,0.35526686906814575,0.29400110244750977,0.22478559613227844,0.13864636421203613,0.27065393328666687,0.07663112878799438,0.10244420915842056
's,-0.03368149697780609,0.05069678649306297,-0.01540423184633255,-0.05171302706003189,0.006096371449530125,0.06449045985937119,-0.0016132977325469255,0.097136490046978,0.06895173341035843,0.03949283808469772,0.07059726119041443,-0.023395681753754616
company,0.2219121903181076,0.16800642013549805,0.26591673493385315,0.38883084058761597,0.10894446820020676,0.23045730590820312,0.2697763442993164,0.1588728427886963,0.23788511753082275,0.13931463658809662,0.1307341456413269,0.12195809185504913
tesla,0.1504557579755783,0.09757418930530548,0.1324402391910553,0.199456125497818,0.13727053999900818,0.9999999403953552,0.20599327981472015,0.16600798070430756,0.19560420513153076,0.22038593888282776,0.0745844766497612,0.10250775516033173
partnered,0.17682993412017822,0.125213623046875,0.1498856395483017,0.6751633882522583,0.17499971389770508,0.10853637754917145,0.2023289054632187,0.1272650510072708,0.2471003383398056,0.2019662857055664,0.13117247819900513,0.15653236210346222
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.2440488487482071,0.3829993009567261,0.16424812376499176,0.4120737314224243,0.16943670809268951,0.5477725267410278,0.1908775418996811,0.29348593950271606,0.2433311939239502
two,0.3743424117565155,0.2755576968193054,0.43858039379119873,0.2670343220233917,0.4709945023059845,0.18793831765651703,0.35859420895576477,0.21583957970142365,0.4671151638031006,0.05547294765710831,0.22888411581516266,0.19645625352859497
businessmen,0.1969400942325592,0.30523473024368286,0.2639414370059967,0.35762345790863037,0.20499065518379211,0.13815727829933167,0.2581561207771301,0.21101169288158417,0.3280658423900604,0.19084154069423676,0.16791793704032898,0.15025284886360168
