,survivial,is,at,the,heart,of,what,concept,for,workers,?
however,0.3620279133319855,0.33769986033439636,0.29641106724739075,0.49814513325691223,0.15248627960681915,0.3800618350505829,0.4480680823326111,0.29022717475891113,0.44511833786964417,0.23658831417560577,0.2152075469493866
",",0.260615736246109,0.4691906273365021,0.38314947485923767,0.4933079481124878,0.30829477310180664,0.4946078956127167,0.3087472915649414,0.20029692351818085,0.4464869201183319,0.17716385424137115,0.31091248989105225
most,0.2796379029750824,0.41165053844451904,0.22451047599315643,0.47635307908058167,0.15838244557380676,0.4178851246833801,0.3219912350177765,0.283907949924469,0.3906237483024597,0.20624834299087524,0.2107497900724411
of,0.3479252755641937,0.4854315221309662,0.42558613419532776,0.733189046382904,0.21639685332775116,1.0,0.33290785551071167,0.24082158505916595,0.4185989499092102,0.20827822387218475,0.1826142966747284
it,0.1832117885351181,0.6328473687171936,0.36473900079727173,0.6251175999641418,0.20963291823863983,0.38761502504348755,0.45803478360176086,0.29287758469581604,0.32171204686164856,0.1777503490447998,0.25732165575027466
is,0.2624862790107727,1.0,0.25906258821487427,0.5823672413825989,0.21632468700408936,0.4854315221309662,0.28837618231773376,0.2750450372695923,0.43268078565597534,0.16085883975028992,0.22961433231830597
often,0.25796136260032654,0.3856629431247711,0.24406926333904266,0.38004449009895325,0.11878205835819244,0.3351972997188568,0.3849453330039978,0.3037683069705963,0.37495917081832886,0.26154008507728577,0.23748154938220978
based,0.15878543257713318,0.3248139023780823,0.17453226447105408,0.29860720038414,0.15026220679283142,0.3033197224140167,0.274813175201416,0.26201578974723816,0.2761107087135315,0.10466044396162033,0.134929820895195
on,0.20995941758155823,0.3635730445384979,0.4806317389011383,0.5107308030128479,0.21464556455612183,0.3966929316520691,0.34226128458976746,0.19591249525547028,0.36199691891670227,0.14091183245182037,0.2714994251728058
necessity,0.28747037053108215,0.22375617921352386,0.172748401761055,0.303897887468338,0.11870813369750977,0.29507577419281006,0.3584839403629303,0.39862772822380066,0.31165000796318054,0.16655771434307098,0.20659345388412476
rather,0.23091858625411987,0.2886356711387634,0.24202780425548553,0.31983619928359985,0.13321582973003387,0.3045461177825928,0.3923804461956024,0.33466336131095886,0.3629494905471802,0.18561439216136932,0.3053998053073883
than,0.2750556468963623,0.2839990258216858,0.27679139375686646,0.3227543234825134,0.11052869260311127,0.33036211133003235,0.29388150572776794,0.26188331842422485,0.30793827772140503,0.20744097232818604,0.24917294085025787
opportunity,0.21729475259780884,0.12906494736671448,0.18907606601715088,0.2641824185848236,0.07601298391819,0.2255665808916092,0.2871367037296295,0.242647185921669,0.30034998059272766,0.31384608149528503,0.19524551928043365
.,0.260624498128891,0.4569662809371948,0.4549728035926819,0.5934505462646484,0.2621944844722748,0.5352458953857422,0.3567904531955719,0.17851535975933075,0.4726039469242096,0.17509925365447998,0.4130953550338745
