,what,part,of,luther,'s,career,was,one,of,his,most,productive,?
this,0.5489566326141357,0.38220882415771484,0.45148900151252747,0.17328955233097076,0.02106832154095173,0.16351760923862457,0.3638818562030792,0.4978463351726532,0.45148900151252747,0.3549620509147644,0.43080902099609375,0.3902374804019928,0.3155723512172699
early,0.2454567849636078,0.2464199811220169,0.30937549471855164,0.20602326095104218,0.03384959325194359,0.36678722500801086,0.4148794412612915,0.2256891131401062,0.30937549471855164,0.30639806389808655,0.3838981091976166,0.20720578730106354,0.15272949635982513
part,0.3476244807243347,1.0,0.452393114566803,0.12887465953826904,0.007562864106148481,0.14798210561275482,0.3407018780708313,0.38682618737220764,0.452393114566803,0.22525446116924286,0.35998284816741943,0.19070123136043549,0.08557961881160736
of,0.33290785551071167,0.452393114566803,1.0,0.1719115972518921,-0.03817026689648628,0.18121089041233063,0.4069072902202606,0.4999135136604309,1.0,0.38364991545677185,0.4178851246833801,0.19651472568511963,0.1826142966747284
luther,0.2134782373905182,0.12887465953826904,0.1719115972518921,1.0,-0.009990512393414974,0.23338311910629272,0.19185513257980347,0.1255420446395874,0.1719115972518921,0.27093374729156494,0.07516884058713913,0.10545781999826431,0.1732746809720993
's,0.02692362666130066,0.007562864106148481,-0.03817026689648628,-0.009990512393414974,0.9999999403953552,0.043150365352630615,0.008974763564765453,0.06913424283266068,-0.03817026689648628,0.047556519508361816,0.024445664137601852,0.05684375390410423,-0.023395681753754616
career,0.0917418897151947,0.14798210561275482,0.18121089041233063,0.23338311910629272,0.043150365352630615,0.9999999403953552,0.2927095592021942,0.1836974024772644,0.18121089041233063,0.46897244453430176,0.2253885716199875,0.19349361956119537,0.1300809234380722
was,0.22111038863658905,0.3407018780708313,0.4069072902202606,0.19185513257980347,0.008974763564765453,0.2927095592021942,1.0000001192092896,0.3752199709415436,0.4069072902202606,0.4405253231525421,0.29933857917785645,0.13543246686458588,0.18412111699581146
one,0.376489520072937,0.38682618737220764,0.4999135136604309,0.1255420446395874,0.06913424283266068,0.1836974024772644,0.3752199709415436,1.0000001192092896,0.4999135136604309,0.3774510324001312,0.5404669642448425,0.2609352171421051,0.2673267424106598
of,0.33290785551071167,0.452393114566803,1.0,0.1719115972518921,-0.03817026689648628,0.18121089041233063,0.4069072902202606,0.4999135136604309,1.0,0.38364991545677185,0.4178851246833801,0.19651472568511963,0.1826142966747284
his,0.26976513862609863,0.22525446116924286,0.38364991545677185,0.27093374729156494,0.047556519508361816,0.46897244453430176,0.4405253231525421,0.3774510324001312,0.38364991545677185,0.9999998807907104,0.28864049911499023,0.19209255278110504,0.18075084686279297
most,0.3219912350177765,0.35998284816741943,0.4178851246833801,0.07516884058713913,0.024445664137601852,0.2253885716199875,0.29933857917785645,0.5404669642448425,0.4178851246833801,0.28864049911499023,1.0,0.3140706717967987,0.2107497900724411
creative,0.2690553069114685,0.12631766498088837,0.25801882147789,0.17357861995697021,0.04752415791153908,0.20464225113391876,0.1793939173221588,0.23661766946315765,0.25801882147789,0.2787231504917145,0.22387398779392242,0.36122527718544006,0.1945163905620575
and,0.31309178471565247,0.35301485657691956,0.5116966962814331,0.20796556770801544,0.06895173341035843,0.2703562378883362,0.3740963041782379,0.42438167333602905,0.5116966962814331,0.4234102666378021,0.4309377074241638,0.2987658381462097,0.20544172823429108
productive,0.3203616142272949,0.19070123136043549,0.19651472568511963,0.10545781999826431,0.05684375390410423,0.19349361956119537,0.13543246686458588,0.2609352171421051,0.19651472568511963,0.19209255278110504,0.3140706717967987,1.0000001192092896,0.30353474617004395
.,0.3567904531955719,0.32817673683166504,0.5352458953857422,0.24907569587230682,-0.003708066651597619,0.2458854615688324,0.40146201848983765,0.4123194217681885,0.5352458953857422,0.3119256794452667,0.35404038429260254,0.2764434516429901,0.4130953550338745
