,when,did,disney-abc,television,group,implement,restrictions,on,hulu,and,watch,abc,to,encourage,live,viewing,?
restrictions,0.32183384895324707,0.27358394861221313,0.23441089689731598,0.2153932750225067,0.12378605455160141,0.4537050127983093,0.9999999403953552,0.3151613473892212,0.2418903410434723,0.2769484221935272,0.18999379873275757,0.21731826663017273,0.36881786584854126,0.4126933515071869,0.08657438308000565,0.30953583121299744,0.28638559579849243
implemented,0.18455222249031067,0.23925752937793732,0.1873796284198761,0.17061826586723328,0.13253548741340637,0.8979088664054871,0.461088091135025,0.2729615569114685,0.23113109171390533,0.2268121838569641,0.14707835018634796,0.1553271859884262,0.27309197187423706,0.31810978055000305,0.13259777426719666,0.29492780566215515,0.27067989110946655
by,0.4376842677593231,0.18574509024620056,0.23710590600967407,0.23368048667907715,0.2915726900100708,0.15356138348579407,0.2322007566690445,0.33887791633605957,0.2041175216436386,0.4289871156215668,0.19258670508861542,0.17600902915000916,0.33534231781959534,0.20527665317058563,0.08095370978116989,0.18813146650791168,0.17966607213020325
disney–abc,0.23930805921554565,0.19799275696277618,0.9854602813720703,0.4371485412120819,0.237766295671463,0.21381688117980957,0.2664775252342224,0.2856506109237671,0.4232902526855469,0.29275235533714294,0.28188660740852356,0.4950595200061798,0.31463199853897095,0.2495744377374649,0.23663181066513062,0.3497549891471863,0.2595943808555603
television,0.19077982008457184,0.17055591940879822,0.419070303440094,1.0000001192092896,0.14428815245628357,0.18505685031414032,0.2153932750225067,0.2825660705566406,0.3873722553253174,0.29514092206954956,0.27474769949913025,0.46871840953826904,0.1933557242155075,0.1346421241760254,0.21072427928447723,0.283049076795578,0.16825827956199646
group,0.22595302760601044,0.13719572126865387,0.20508883893489838,0.14428815245628357,0.9999999403953552,0.1670924723148346,0.12378605455160141,0.22796137630939484,0.18565963208675385,0.3510662019252777,0.19515079259872437,0.11665991693735123,0.2672896385192871,0.2122023105621338,0.23973140120506287,0.08276215195655823,0.13827809691429138
on,0.37706470489501953,0.2670976221561432,0.2713024616241455,0.2825660705566406,0.22796137630939484,0.25766968727111816,0.3151613473892212,0.9999999403953552,0.24615328013896942,0.4077630043029785,0.26631927490234375,0.2862928807735443,0.41031414270401,0.19917254149913788,0.24591919779777527,0.3150721490383148,0.2714994251728058
january,0.23963238298892975,0.23508968949317932,0.18773828446865082,0.2761542797088623,0.09421050548553467,0.13203668594360352,0.1445445716381073,0.3576357066631317,0.18753062188625336,0.24588775634765625,0.15011392533779144,0.1682562232017517,0.20270398259162903,0.1468820869922638,0.1511237472295761,0.12630505859851837,0.28608936071395874
7,-0.21990855038166046,-0.147744283080101,-0.25275716185569763,-0.04479142650961876,-0.11532794684171677,-0.12467408180236816,-0.16750025749206543,-0.10819486528635025,-0.05073731020092964,-0.012642918154597282,-0.14313922822475433,-0.025838254019618034,-0.1819358468055725,-0.11993502825498581,-0.10337409377098083,-0.19425036013126373,-0.15092156827449799
",",0.36674630641937256,0.3015086054801941,0.24468442797660828,0.27995240688323975,0.2809832692146301,0.22027646005153656,0.2838693857192993,0.49057599902153015,0.19695565104484558,0.6633074283599854,0.19597528874874115,0.2097204476594925,0.44245919585227966,0.24523833394050598,0.29754534363746643,0.20034630596637726,0.31091248989105225
