,wbai,'s,broadcasting,some,of,george,carlin,'s,comedy,eventually,led,to,what,?
an,0.12449104338884354,0.025255560874938965,0.20089168846607208,0.2864145338535309,0.32280945777893066,0.1626696139574051,0.23584908246994019,0.025255560874938965,0.14185881614685059,0.1522912085056305,0.16785816848278046,0.3138085603713989,0.2821882665157318,0.19793890416622162
example,0.1606789231300354,-0.045060764998197556,0.1661211997270584,0.5190876126289368,0.3570667505264282,0.14199765026569366,0.1195366233587265,-0.045060764998197556,0.18423333764076233,0.203004390001297,0.1537739336490631,0.3451666533946991,0.3456268310546875,0.30374911427497864
would,0.2545322775840759,0.036968596279621124,0.17461958527565002,0.43457192182540894,0.3353942930698395,0.19836629927158356,0.1205819621682167,0.036968596279621124,0.1681663990020752,0.420034795999527,0.2718735337257385,0.5965728163719177,0.45766422152519226,0.37178951501846313
be,0.2410961240530014,0.025217169895768166,0.18808916211128235,0.49956634640693665,0.33904364705085754,0.1550370305776596,0.14880958199501038,0.025217169895768166,0.16823820769786835,0.3342243731021881,0.12408394366502762,0.4972836375236511,0.3929833769798279,0.3324260413646698
wbai,1.0,-0.012451627291738987,0.30381351709365845,0.1728537231683731,0.17179913818836212,0.18404462933540344,0.21173976361751556,-0.012451627291738987,0.2438882291316986,0.2979649007320404,0.19853228330612183,0.2192527800798416,0.13974793255329132,0.22031190991401672
's,-0.012451627291738987,0.9999999403953552,0.10137476027011871,0.056411296129226685,-0.03817026689648628,-0.019076833501458168,0.016893720254302025,0.9999999403953552,0.09444256871938705,-0.021462872624397278,-0.01628696173429489,0.03782717138528824,0.02692362666130066,-0.023395681753754616
broadcasting,0.30381351709365845,0.10137476027011871,1.0,0.16959382593631744,0.25924646854400635,0.1768721640110016,0.27797695994377136,0.10137476027011871,0.28305402398109436,0.1839962750673294,0.14844250679016113,0.23729375004768372,0.18499015271663666,0.10870421677827835
the,0.22887872159481049,-0.01540423184633255,0.29916465282440186,0.4566698372364044,0.733189046382904,0.2510760426521301,0.26455092430114746,-0.01540423184633255,0.18746663630008698,0.42022404074668884,0.3267505168914795,0.535392165184021,0.42745697498321533,0.22068053483963013
track,0.15185891091823578,0.10264421254396439,0.21854978799819946,0.1625814139842987,0.15073983371257782,0.12424716353416443,0.2488323152065277,0.10264421254396439,0.07542494684457779,0.16950371861457825,0.14085757732391357,0.21955116093158722,0.17872828245162964,0.11461397260427475
``,0.054010938853025436,-0.03416389226913452,-0.051995109766721725,0.06408426910638809,0.06780257821083069,0.009980633854866028,-0.03773554414510727,-0.03416389226913452,-0.053558725863695145,-0.018383337184786797,-0.016944291070103645,0.06720756739377975,0.008517155423760414,0.0685480609536171
filthy,0.15931670367717743,0.015283645130693913,0.12415129691362381,0.23034004867076874,0.16805492341518402,0.15496748685836792,0.2363751381635666,0.015283645130693913,0.23857322335243225,0.2243216186761856,0.11917498707771301,0.2513951063156128,0.26481086015701294,0.22993110120296478
words,0.14369122684001923,0.08948911726474762,0.2325555682182312,0.31838059425354004,0.26259833574295044,0.12181150168180466,0.07550841569900513,0.08948911726474762,0.1736452728509903,0.16066065430641174,0.09094669669866562,0.31468597054481506,0.3355468809604645,0.27074310183525085
'',0.02083483897149563,-0.04859459400177002,-0.024218859151005745,0.04253336414694786,0.13035868108272552,0.10133115202188492,-0.009767758660018444,-0.04859459400177002,0.11094330251216888,-0.12400539964437485,-0.014565089717507362,-0.009905828163027763,0.08143015950918198,0.018684765323996544
