,what,does,a,u.s.,census,report,state,that,even,after,other,factors,there,still,exists,this,between,earnings,of,men,and,women,?
a,0.3320399522781372,0.38201746344566345,1.0,0.0347411222755909,0.13645486533641815,0.2148611694574356,0.25097307562828064,0.47537946701049805,0.3278432786464691,0.3831600844860077,0.2806335389614105,0.19412465393543243,0.4214206337928772,0.3478926122188568,0.29496249556541443,0.5422310829162598,0.29385313391685486,0.22704806923866272,0.5052502155303955,0.18371513485908508,0.3739250600337982,0.20322243869304657,0.23916715383529663
u.s.,0.11178889125585556,0.04108200594782829,0.0347411222755909,0.9999999403953552,0.048628512769937515,-0.03513804078102112,0.09826391935348511,0.006652553100138903,0.05167079344391823,0.11192241311073303,0.01848480850458145,-0.09684313833713531,0.01172493677586317,0.07374965399503708,-0.04041266068816185,0.02387101761996746,0.03985746204853058,0.08092585951089859,0.011562774889171124,0.1568334847688675,0.011246231384575367,0.044316865503787994,0.07886100560426712
census,0.2061002552509308,0.12512540817260742,0.13645486533641815,0.048628512769937515,1.0,0.2971053421497345,0.32682090997695923,0.190534770488739,0.15946538746356964,0.12116213142871857,0.13934975862503052,0.07750196009874344,0.2834796905517578,0.16926440596580505,0.1502034217119217,0.1583559513092041,0.14811624586582184,0.22000277042388916,0.19615516066551208,0.14325760304927826,0.15556402504444122,0.14291121065616608,0.12548218667507172
's,0.02692362666130066,-0.02895052544772625,0.04866964742541313,-0.015024582855403423,-0.02488090842962265,-0.0383719876408577,0.038451772183179855,0.04397977516055107,0.0353488028049469,-0.055672239512205124,0.04445967823266983,-0.045165590941905975,-0.04860968142747879,0.033143531531095505,0.024081893265247345,0.02106832154095173,0.006096371449530125,0.07115403562784195,-0.03817026689648628,0.01802987791597843,0.06895173341035843,0.012937425635755062,-0.023395681753754616
report,0.2868559956550598,0.1839267909526825,0.2148611694574356,-0.03513804078102112,0.2971053421497345,0.9999998807907104,0.24297620356082916,0.30103304982185364,0.20952872931957245,0.15328574180603027,0.23242804408073425,0.2579764127731323,0.232280895113945,0.20540478825569153,0.1945466548204422,0.23194104433059692,0.15848009288311005,0.21850115060806274,0.22992923855781555,0.21240325272083282,0.20391902327537537,0.19011753797531128,0.3138936758041382
stated,0.3668954074382782,0.2997897267341614,0.22154705226421356,0.014308950863778591,0.2237684577703476,0.35120317339897156,0.2983303368091583,0.48625776171684265,0.322288453578949,0.2115987241268158,0.21136747300624847,0.2422061264514923,0.2992285490036011,0.3102288544178009,0.22762295603752136,0.3405914306640625,0.11722227931022644,0.22928203642368317,0.22148488461971283,0.20795153081417084,0.23788554966449738,0.16759862005710602,0.24280361831188202
that,0.6297725439071655,0.4764937460422516,0.47537946701049805,0.006652553100138903,0.190534770488739,0.30103304982185364,0.24252457916736603,1.0,0.5503504276275635,0.373811811208725,0.5570666193962097,0.3409535884857178,0.6006520986557007,0.5191669464111328,0.40266144275665283,0.6909449696540833,0.299440860748291,0.19401836395263672,0.41498205065727234,0.2212943136692047,0.4731321930885315,0.18742111325263977,0.32716336846351624
in,0.30808621644973755,0.214483380317688,0.539380669593811,-0.003064807504415512,0.2571312189102173,0.204250767827034,0.33316072821617126,0.435920387506485,0.29146435856819153,0.44050168991088867,0.39989137649536133,0.19490711390972137,0.5361666083335876,0.3424699008464813,0.2509026825428009,0.45205554366111755,0.41100412607192993,0.2877182364463806,0.5696388483047485,0.27064284682273865,0.4954058527946472,0.3171939551830292,0.20430970191955566
us,0.32081687450408936,0.22819900512695312,0.1862444281578064,0.03950560837984085,0.19248442351818085,0.22383563220500946,0.23009350895881653,0.282404363155365,0.27353307604789734,0.11897643655538559,0.2157169133424759,0.1626492142677307,0.22640599310398102,0.21988627314567566,0.23816485702991486,0.28853827714920044,0.07641531527042389,0.21334926784038544,0.23568789660930634,0.2085610330104828,0.25715014338493347,0.1540498435497284,0.2742428481578827
once,0.38428619503974915,0.24065393209457397,0.4225178360939026,0.11834926158189774,0.19615349173545837,0.14727702736854553,0.21225669980049133,0.4772558808326721,0.3801368772983551,0.3643892705440521,0.3014834225177765,0.17800740897655487,0.2826100289821625,0.40461522340774536,0.1725141555070877,0.406941682100296,0.25700652599334717,0.14683537185192108,0.2879956364631653,0.14783792197704315,0.31971874833106995,0.13002462685108185,0.17750471830368042
other,0.341873437166214,0.2947014272212982,0.2806335389614105,0.01848480850458145,0.13934975862503052,0.23242804408073425,0.25314825773239136,0.5570666193962097,0.4545271396636963,0.18459384143352509,0.9999999403953552,0.32824674248695374,0.5342466235160828,0.3742256164550781,0.29233792424201965,0.43044695258140564,0.30660146474838257,0.23755614459514618,0.38583824038505554,0.24863523244857788,0.5504306554794312,0.22415173053741455,0.24682199954986572
factors,0.2665930688381195,0.29429781436920166,0.19412465393543243,-0.09684313833713531,0.07750196009874344,0.2579764127731323,0.22167323529720306,0.3409535884857178,0.32857510447502136,0.18867482244968414,0.32824674248695374,0.9999998807907104,0.2774931490421295,0.23423424363136292,0.22195635735988617,0.32766541838645935,0.2091214805841446,0.3209116458892822,0.30045145750045776,0.21552108228206635,0.2477942556142807,0.19883087277412415,0.2019491046667099
are,0.29724663496017456,0.3126322329044342,0.265255331993103,-0.06309524178504944,0.14539827406406403,0.1750389188528061,0.19951030611991882,0.45265161991119385,0.43312960863113403,0.19438853859901428,0.5932393670082092,0.3234047591686249,0.5433560013771057,0.40321314334869385,0.30258506536483765,0.35762670636177063,0.2766000032424927,0.20151476562023163,0.39081433415412903,0.2309037297964096,0.48576638102531433,0.20756962895393372,0.24591213464736938
accounted,0.2562321424484253,0.19191183149814606,0.16009406745433807,-0.015190530568361282,0.2702421247959137,0.3703698217868805,0.2407844513654709,0.3668058514595032,0.27483630180358887,0.19141650199890137,0.2840866446495056,0.2642730176448822,0.34490108489990234,0.24450050294399261,0.19901590049266815,0.30808892846107483,0.20765554904937744,0.32139328122138977,0.2735593020915985,0.21674443781375885,0.23419056832790375,0.2188137173652649,0.2127840369939804
for,0.3017193675041199,0.35159170627593994,0.44038116931915283,0.11615988612174988,0.09754753857851028,0.2216007560491562,0.19460363686084747,0.4137635827064514,0.39184510707855225,0.3650246858596802,0.3273986279964447,0.2857717275619507,0.3728419542312622,0.37984156608581543,0.24279531836509705,0.5082864165306091,0.24671313166618347,0.3100631535053253,0.4185989499092102,0.25245723128318787,0.5064792633056641,0.255394846200943,0.264628142118454
there,0.35085538029670715,0.2930194139480591,0.4214206337928772,0.01172493677586317,0.2834796905517578,0.232280895113945,0.23321180045604706,0.6006520986557007,0.4061640799045563,0.28266575932502747,0.5342466235160828,0.2774931490421295,1.0,0.46144676208496094,0.4153873026371002,0.47775381803512573,0.37209540605545044,0.24137884378433228,0.44397735595703125,0.2347530722618103,0.4242868423461914,0.21169641613960266,0.29405656456947327
is,0.28837618231773376,0.4403602182865143,0.658733606338501,-0.05269147455692291,0.18403194844722748,0.16818487644195557,0.2627358138561249,0.3995479643344879,0.28202980756759644,0.2835143506526947,0.25895947217941284,0.23428019881248474,0.3904260993003845,0.3574111759662628,0.37246593832969666,0.480927973985672,0.26809602975845337,0.1481349766254425,0.4854315221309662,0.172279953956604,0.3859752118587494,0.20067402720451355,0.22961433231830597
still,0.4548931419849396,0.3817117214202881,0.3478926122188568,0.07374965399503708,0.16926440596580505,0.20540478825569153,0.19790619611740112,0.5191669464111328,0.5384808778762817,0.3320554196834564,0.3742256164550781,0.23423424363136292,0.46144676208496094,1.0,0.3937152028083801,0.4357816278934479,0.22431471943855286,0.1851976364850998,0.3288819193840027,0.1688198298215866,0.37647393345832825,0.1653856635093689,0.3039587736129761
a,0.3320399522781372,0.38201746344566345,1.0,0.0347411222755909,0.13645486533641815,0.2148611694574356,0.25097307562828064,0.47537946701049805,0.3278432786464691,0.3831600844860077,0.2806335389614105,0.19412465393543243,0.4214206337928772,0.3478926122188568,0.29496249556541443,0.5422310829162598,0.29385313391685486,0.22704806923866272,0.5052502155303955,0.18371513485908508,0.3739250600337982,0.20322243869304657,0.23916715383529663
difference,0.4114832878112793,0.34595608711242676,0.3304765522480011,0.05728291720151901,0.15486016869544983,0.2633088231086731,0.17975182831287384,0.40625134110450745,0.3755340874195099,0.1609468013048172,0.303320974111557,0.39625081419944763,0.3589757978916168,0.3048081398010254,0.3853831887245178,0.3867374062538147,0.4893479645252228,0.20812590420246124,0.28326788544654846,0.19046011567115784,0.28462520241737366,0.15037482976913452,0.2842230200767517
in,0.30808621644973755,0.214483380317688,0.539380669593811,-0.003064807504415512,0.2571312189102173,0.204250767827034,0.33316072821617126,0.435920387506485,0.29146435856819153,0.44050168991088867,0.39989137649536133,0.19490711390972137,0.5361666083335876,0.3424699008464813,0.2509026825428009,0.45205554366111755,0.41100412607192993,0.2877182364463806,0.5696388483047485,0.27064284682273865,0.4954058527946472,0.3171939551830292,0.20430970191955566
earnings,0.14740194380283356,0.22974778711795807,0.22704806923866272,0.08092585951089859,0.22000277042388916,0.21850115060806274,0.21139681339263916,0.19401836395263672,0.27229368686676025,0.17666471004486084,0.23755614459514618,0.3209116458892822,0.24137884378433228,0.1851976364850998,0.09127704799175262,0.2118573635816574,0.17460860311985016,1.0,0.2082105278968811,0.23987238109111786,0.3008597493171692,0.24305589497089386,0.19363878667354584
between,0.2462156116962433,0.16966454684734344,0.29385313391685486,0.03985746204853058,0.14811624586582184,0.15848009288311005,0.15876169502735138,0.299440860748291,0.24897943437099457,0.2667563259601593,0.30660146474838257,0.2091214805841446,0.37209540605545044,0.22431471943855286,0.2305976152420044,0.29040461778640747,0.9999999403953552,0.17460860311985016,0.3737983703613281,0.21717850863933563,0.40645647048950195,0.18475152552127838,0.12887074053287506
women,0.14828920364379883,0.1528097540140152,0.20322243869304657,0.044316865503787994,0.14291121065616608,0.19011753797531128,0.1840135008096695,0.18742111325263977,0.2213691622018814,0.18061871826648712,0.22415173053741455,0.19883087277412415,0.21169641613960266,0.1653856635093689,0.11173365265130997,0.20820912718772888,0.18475152552127838,0.24305589497089386,0.22431409358978271,0.7021679878234863,0.24605001509189606,0.9999998807907104,0.1616753786802292
and,0.31309178471565247,0.3461615741252899,0.3739250600337982,0.011246231384575367,0.15556402504444122,0.20391902327537537,0.2653750479221344,0.4731321930885315,0.4625037908554077,0.3765919506549835,0.5504306554794312,0.2477942556142807,0.4242868423461914,0.37647393345832825,0.19158129394054413,0.42353692650794983,0.40645647048950195,0.3008597493171692,0.5116966962814331,0.30918097496032715,1.0,0.24605001509189606,0.20544172823429108
men,0.18620994687080383,0.15450671315193176,0.18371513485908508,0.1568334847688675,0.14325760304927826,0.21240325272083282,0.16612108051776886,0.2212943136692047,0.22705169022083282,0.20609402656555176,0.24863523244857788,0.21552108228206635,0.2347530722618103,0.1688198298215866,0.14158491790294647,0.22589419782161713,0.21717850863933563,0.23987238109111786,0.2133621722459793,1.0,0.30918097496032715,0.7021679878234863,0.1408759206533432
.,0.3567904531955719,0.3022993505001068,0.50484299659729,0.09558769315481186,0.22575056552886963,0.277835488319397,0.31380724906921387,0.4460422694683075,0.3729337155818939,0.35870397090911865,0.41511186957359314,0.21191899478435516,0.43897318840026855,0.38162845373153687,0.29429712891578674,0.500583827495575,0.30295518040657043,0.2657565474510193,0.5352458953857422,0.25083568692207336,0.588965117931366,0.2560822069644928,0.4130953550338745
