,what,did,jamukha,request,from,temüjin,instead,of,friendship,?
jamukha,0.274000346660614,0.15834690630435944,0.9999999403953552,0.20887817442417145,0.1774546205997467,0.48555630445480347,0.11852673441171646,0.2439788281917572,0.18002773821353912,0.20055611431598663
refused,0.19773393869400024,0.5581128597259521,0.15225566923618317,0.3519520163536072,0.17051434516906738,0.30136972665786743,0.2480551302433014,0.21729640662670135,0.2204054445028305,0.14580921828746796
the,0.42745697498321533,0.34736719727516174,0.26145488023757935,0.18777982890605927,0.40150508284568787,0.43713900446891785,0.3940567970275879,0.733189046382904,0.16170784831047058,0.22068053483963013
offer,0.20134106278419495,0.30979153513908386,0.11525116115808487,0.26899316906929016,0.16435587406158447,0.21411581337451935,0.2806014120578766,0.19393298029899597,0.20857299864292145,0.1774262934923172
of,0.33290785551071167,0.2513895630836487,0.2439788281917572,0.17325465381145477,0.4249346852302551,0.378805011510849,0.31208282709121704,1.0,0.1631438136100769,0.1826142966747284
friendship,0.17399556934833527,0.2124103605747223,0.18002773821353912,0.14641784131526947,0.11777348816394806,0.25873076915740967,0.06250082701444626,0.1631438136100769,0.9999998807907104,0.08940920233726501
and,0.31309178471565247,0.34479495882987976,0.2926517128944397,0.23718376457691193,0.3601827025413513,0.3789469599723816,0.38524195551872253,0.5116966962814331,0.23604685068130493,0.20544172823429108
reunion,0.18062405288219452,0.1671387106180191,0.0725831463932991,0.20218515396118164,0.18232682347297668,0.22655458748340607,0.14301645755767822,0.18497827649116516,0.35187479853630066,0.1314772069454193
",",0.3087472915649414,0.3015086054801941,0.30996835231781006,0.3286867141723633,0.39760664105415344,0.3484273850917816,0.32166025042533875,0.4946078956127167,0.20725096762180328,0.31091248989105225
saying,0.5164517760276794,0.4131317138671875,0.21719910204410553,0.3211466670036316,0.27914348244667053,0.30401498079299927,0.42458778619766235,0.2578328251838684,0.20969997346401215,0.36382168531417847
that,0.6297725439071655,0.47518548369407654,0.22430790960788727,0.42222681641578674,0.3477667272090912,0.4035418629646301,0.43556153774261475,0.41498205065727234,0.25508928298950195,0.32716336846351624
there,0.35085538029670715,0.29736605286598206,0.21355989575386047,0.30296626687049866,0.2965545952320099,0.31587013602256775,0.27090173959732056,0.44397735595703125,0.14936138689517975,0.29405656456947327
can,0.34502777457237244,0.32383522391319275,0.18031282722949982,0.272879958152771,0.2516351342201233,0.2468019425868988,0.3914792239665985,0.2603091299533844,0.10605216771364212,0.3226337134838104
only,0.41415658593177795,0.4039593040943146,0.2064811736345291,0.3053533136844635,0.32145237922668457,0.34197068214416504,0.4589114189147949,0.49632513523101807,0.13708744943141937,0.2767370045185089
be,0.3929833769798279,0.22657383978366852,0.19902904331684113,0.37415406107902527,0.3107333183288574,0.2932823598384857,0.4021901488304138,0.33904364705085754,0.13747066259384155,0.3324260413646698
one,0.376489520072937,0.27659472823143005,0.2367643266916275,0.2061621993780136,0.32194891571998596,0.30269449949264526,0.3538399934768677,0.4999135136604309,0.19562546908855438,0.2673267424106598
sun,0.207769975066185,0.18525613844394684,0.17990189790725708,0.14031103253364563,0.2123607099056244,0.3094562888145447,0.21363455057144165,0.22858914732933044,0.10697656869888306,0.1497713327407837
in,0.30808621644973755,0.2593238651752472,0.23535457253456116,0.19895026087760925,0.4274188280105591,0.3433155417442322,0.28091272711753845,0.5696388483047485,0.16404153406620026,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.26145488023757935,0.18777982890605927,0.40150508284568787,0.43713900446891785,0.3940567970275879,0.733189046382904,0.16170784831047058,0.22068053483963013
sky,0.16493305563926697,0.19922639429569244,0.13160724937915802,0.10142625123262405,0.1670776903629303,0.27229613065719604,0.15388964116573334,0.16284865140914917,0.1602180302143097,0.11270341277122498
",",0.3087472915649414,0.3015086054801941,0.30996835231781006,0.3286867141723633,0.39760664105415344,0.3484273850917816,0.32166025042533875,0.4946078956127167,0.20725096762180328,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.2926517128944397,0.23718376457691193,0.3601827025413513,0.3789469599723816,0.38524195551872253,0.5116966962814331,0.23604685068130493,0.20544172823429108
he,0.3114890456199646,0.3292143940925598,0.25441938638687134,0.20510727167129517,0.3314535319805145,0.44463157653808594,0.2544998526573181,0.38706058263778687,0.22211532294750214,0.2089974731206894
asked,0.3468177318572998,0.5203380584716797,0.12182287126779556,0.32807499170303345,0.17972929775714874,0.27502235770225525,0.2881760895252228,0.20290979743003845,0.23282672464847565,0.28475281596183777
for,0.3017193675041199,0.318512886762619,0.1839965432882309,0.24378444254398346,0.314039945602417,0.2671065032482147,0.4413341283798218,0.4185989499092102,0.1955110877752304,0.264628142118454
a,0.3320399522781372,0.2552328109741211,0.24383728206157684,0.2487754076719284,0.322764128446579,0.36845725774765015,0.3737732470035553,0.5052502155303955,0.23464465141296387,0.23916715383529663
noble,0.16937826573848724,0.1576092541217804,0.2072599083185196,0.0760202631354332,0.13967736065387726,0.33017173409461975,0.10553538054227829,0.24601131677627563,0.15413260459899902,0.11942308396100998
death,0.2267695665359497,0.2252790331840515,0.1826573610305786,0.13755790889263153,0.22335824370384216,0.2581942081451416,0.16090276837348938,0.23778599500656128,0.13806450366973877,0.21149799227714539
.,0.3567904531955719,0.35288307070732117,0.23000960052013397,0.2232643961906433,0.41536515951156616,0.31788840889930725,0.3707379400730133,0.5352458953857422,0.18876416981220245,0.4130953550338745
