,what,is,a,trait,of,sequential,hermaphrodites,?
others,0.3888046145439148,0.25228992104530334,0.2675355076789856,0.2639011740684509,0.2793974280357361,0.14683903753757477,0.2942686975002289,0.26705288887023926
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.25918588042259216,0.39081433415412903,0.26026177406311035,0.3334013819694519,0.24591213464736938
sequential,0.1532059609889984,0.23921486735343933,0.26749467849731445,0.21214628219604492,0.23029763996601105,1.0,0.27926984429359436,0.1188860833644867
hermaphrodites,0.16502878069877625,0.14788386225700378,0.18294833600521088,0.4043072760105133,0.21455450356006622,0.27926984429359436,0.9999999403953552,0.14555899798870087
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.18287505209445953,0.4946078956127167,0.14155873656272888,0.19481205940246582,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.11459914594888687,0.5696388483047485,0.18767493963241577,0.14825138449668884,0.20430970191955566
which,0.5261979103088379,0.4457404911518097,0.56894451379776,0.3401007354259491,0.5011631846427917,0.3220495283603668,0.3216649293899536,0.25814583897590637
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2546856701374054,0.733189046382904,0.22207851707935333,0.19315865635871887,0.22068053483963013
eggs,0.16247199475765228,0.17573606967926025,0.1808033138513565,0.20817464590072632,0.16213075816631317,0.19777339696884155,0.4291047155857086,0.1739477664232254
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.18066833913326263,0.5116966962814331,0.24173887073993683,0.2342674732208252,0.20544172823429108
sperm,0.14184391498565674,0.16295675933361053,0.22700446844100952,0.29431068897247314,0.19975972175598145,0.2965574562549591,0.5223646759986877,0.16449850797653198
mature,0.21875925362110138,0.1938285380601883,0.19783763587474823,0.27447864413261414,0.1752438247203827,0.23022618889808655,0.431637704372406,0.18516455590724945
at,0.2838611304759979,0.25906258821487427,0.3095070421695709,0.10648458451032639,0.42558613419532776,0.09668218344449997,0.07645640522241592,0.21978627145290375
different,0.39262300729751587,0.24624870717525482,0.29175353050231934,0.32574960589408875,0.3747533857822418,0.23680493235588074,0.3464145362377167,0.24476227164268494
times,0.21414996683597565,0.21773184835910797,0.2745400369167328,0.12166465073823929,0.24352745711803436,0.18239839375019073,0.16202667355537415,0.18880689144134521
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.13839563727378845,0.5352458953857422,0.1587466448545456,0.1901821792125702,0.4130953550338745
