,harvard,-,yale,regatta,predates,``,the,game,'',by,how,many,years,?
older,0.1610313206911087,0.15524467825889587,0.19779612123966217,0.053484607487916946,0.21657365560531616,-0.021752310916781425,0.21663418412208557,0.12425126135349274,0.022925758734345436,0.2025136500597,0.18018986284732819,0.2834404706954956,0.3646269142627716,0.1524270623922348
than,0.1285945028066635,0.16627445816993713,0.16268078982830048,0.1517793834209442,0.26304182410240173,0.12080201506614685,0.3227543234825134,0.19665241241455078,0.03252623230218887,0.2015816867351532,0.29763275384902954,0.39069414138793945,0.2976750135421753,0.24917294085025787
the,0.24496200680732727,0.3207225501537323,0.20174992084503174,0.2445298284292221,0.31255924701690674,0.029072100296616554,1.0,0.285271555185318,0.041273195296525955,0.4408751428127289,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.22068053483963013
game,0.15297338366508484,0.20232918858528137,0.10762902349233627,0.12849757075309753,0.21061035990715027,-0.06292625516653061,0.285271555185318,0.9999998807907104,0.07443881779909134,0.21372540295124054,0.215279221534729,0.21957436203956604,0.19361822307109833,0.1829071193933487
by,0.18136346340179443,0.23845064640045166,0.12869250774383545,0.13140857219696045,0.23288385570049286,-0.030704375356435776,0.4408751428127289,0.21372540295124054,-0.010275691747665405,1.0000001192092896,0.34370526671409607,0.3409687578678131,0.19883383810520172,0.17966607213020325
23,0.05820751190185547,-0.02634451352059841,0.05952182412147522,0.05454488843679428,0.00959472730755806,0.010545081458985806,-0.04008803516626358,-0.003430671989917755,-0.09508837014436722,-0.06935495138168335,-0.021877937018871307,-0.05538930743932724,-0.01458686776459217,0.012076443061232567
years,0.19062188267707825,0.20228348672389984,0.20745375752449036,0.17360416054725647,0.2677636444568634,0.023748915642499924,0.2912273406982422,0.19361822307109833,0.03180740773677826,0.19883383810520172,0.21949264407157898,0.2731519937515259,1.0,0.1914375126361847
",",0.2719281017780304,0.42609795928001404,0.2082056850194931,0.3019944727420807,0.20610584318637848,0.09681109338998795,0.4933079481124878,0.2653886377811432,-0.037358131259679794,0.3680937886238098,0.22659391164779663,0.40610817074775696,0.2589467465877533,0.31091248989105225
the,0.24496200680732727,0.3207225501537323,0.20174992084503174,0.2445298284292221,0.31255924701690674,0.029072100296616554,1.0,0.285271555185318,0.041273195296525955,0.4408751428127289,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.22068053483963013
harvard-yale,0.9378097653388977,0.21691711246967316,0.7282413840293884,0.36253082752227783,0.17066316306591034,0.02430521696805954,0.2795542776584625,0.16669780015945435,-0.018993837758898735,0.20840133726596832,0.22475728392601013,0.26705968379974365,0.223507821559906,0.16413983702659607
regatta,0.30695441365242004,0.14161589741706848,0.23798534274101257,1.0000001192092896,0.11842191219329834,-0.1068408265709877,0.2445298284292221,0.12849757075309753,0.0036690067499876022,0.13140857219696045,0.07537855952978134,0.14773428440093994,0.17360416054725647,0.12896305322647095
was,0.2415156066417694,0.21728090941905975,0.20683710277080536,0.27552902698516846,0.1866561621427536,-0.012679691426455975,0.48711544275283813,0.2568269371986389,0.04456103965640068,0.4752357602119446,0.16678167879581451,0.260356068611145,0.35855233669281006,0.18412111699581146
the,0.24496200680732727,0.3207225501537323,0.20174992084503174,0.2445298284292221,0.31255924701690674,0.029072100296616554,1.0,0.285271555185318,0.041273195296525955,0.4408751428127289,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.22068053483963013
original,0.11340639740228653,0.24145722389221191,0.2213660180568695,0.1334119737148285,0.29116731882095337,-0.09917053580284119,0.4037000238895416,0.22917413711547852,0.15586623549461365,0.2557625472545624,0.18727099895477295,0.23366783559322357,0.18963107466697693,0.17256900668144226
source,0.1748991310596466,0.178365558385849,0.1495663821697235,0.0964880883693695,0.21952907741069794,-0.01289043202996254,0.30258262157440186,0.16154538094997406,0.0031991230789572,0.1939312070608139,0.22619104385375977,0.21616049110889435,0.10231269150972366,0.2462312877178192
of,0.25842633843421936,0.2919245660305023,0.20639310777187347,0.21241071820259094,0.2309587001800537,0.06780257821083069,0.733189046382904,0.2298848181962967,0.13035868108272552,0.3646814823150635,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.1826142966747284
the,0.24496200680732727,0.3207225501537323,0.20174992084503174,0.2445298284292221,0.31255924701690674,0.029072100296616554,1.0,0.285271555185318,0.041273195296525955,0.4408751428127289,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.22068053483963013
athletic,0.21660740673542023,0.12612411379814148,0.23480671644210815,0.2705753743648529,0.16739146411418915,0.0026280670426785946,0.22677098214626312,0.2096482813358307,-0.007320355623960495,0.08191616088151932,0.07890024781227112,0.13563811779022217,0.18451948463916779,0.06249280273914337
rivalry,0.21891222894191742,0.10667286068201065,0.22918877005577087,0.15370947122573853,0.25474849343299866,0.004042520187795162,0.227608323097229,0.26939868927001953,-0.0099514564499259,0.1620350182056427,0.07896104454994202,0.1716434508562088,0.18109504878520966,0.09352650493383408
between,0.10877202451229095,0.19427013397216797,0.12731292843818665,0.22954991459846497,0.21682710945606232,0.08136986941099167,0.39067012071609497,0.16681784391403198,0.060806289315223694,0.28115302324295044,0.2747800648212433,0.29423660039901733,0.2583497166633606,0.12887074053287506
