,in,what,states,are,pharmacist,clinicians,given,prescriptive,and,diagnostic,authority,?
in,1.0,0.30808621644973755,0.3977442979812622,0.3841303884983063,0.2133195549249649,0.20085999369621277,0.2528568208217621,0.18423563241958618,0.4954058527946472,0.22770391404628754,0.214982271194458,0.20430970191955566
some,0.4010399878025055,0.4491020441055298,0.2479456067085266,0.6331475377082825,0.24628479778766632,0.3316573202610016,0.30976590514183044,0.3176301121711731,0.5337774157524109,0.28940749168395996,0.2211521416902542,0.2562315762042999
states,0.3977442979812622,0.21526020765304565,1.0,0.1846873015165329,0.20926810801029205,0.22031794488430023,0.187874898314476,0.2720748484134674,0.2974761426448822,0.17752879858016968,0.2760929763317108,0.16272737085819244
such,0.2704046070575714,0.23989605903625488,0.20258460938930511,0.4654397666454315,0.12142244726419449,0.2171420305967331,0.2584693133831024,0.2662857174873352,0.44540345668792725,0.23035547137260437,0.18637140095233917,0.17851735651493073
north,0.39050599932670593,0.18673177063465118,0.32332736253738403,0.22930844128131866,0.087321437895298,0.13467657566070557,0.13917739689350128,0.053446393460035324,0.2776443064212799,0.12909916043281555,0.19742576777935028,0.11829731613397598
carolina,0.2380082756280899,0.1956660896539688,0.32133907079696655,0.16149640083312988,0.18395335972309113,0.17698954045772552,0.14785338938236237,0.12192442268133163,0.22423055768013,0.11641135066747665,0.10408879816532135,0.11847445368766785
and,0.4954058527946472,0.31309178471565247,0.2974761426448822,0.48576638102531433,0.24346593022346497,0.21291705965995789,0.30185943841934204,0.19134476780891418,1.0,0.19730432331562042,0.22905389964580536,0.20544172823429108
new,0.3758552670478821,0.2130378633737564,0.2868576645851135,0.1899496167898178,0.16056063771247864,0.16177436709403992,0.1981271654367447,0.16959121823310852,0.31402453780174255,0.18207120895385742,0.2571299970149994,0.14782847464084625
mexico,0.28360357880592346,0.1820366233587265,0.37156519293785095,0.1562206894159317,0.13464383780956268,0.15249279141426086,0.11416786909103394,0.13823892176151276,0.21319690346717834,0.07255398482084274,0.08070385456085205,0.14739345014095306
these,0.3791837692260742,0.4164220690727234,0.26513946056365967,0.7107698917388916,0.19016414880752563,0.3639606237411499,0.3086796998977661,0.33441072702407837,0.5314885973930359,0.3113221526145935,0.17397822439670563,0.2571668326854706
pharmacist,0.2133195549249649,0.19447070360183716,0.20926810801029205,0.17935334146022797,1.0,0.3930826187133789,0.23652279376983643,0.42066940665245056,0.24346593022346497,0.2814617455005646,0.13762475550174713,0.1397853046655655
clinicians,0.20085999369621277,0.20884203910827637,0.22031794488430023,0.26599404215812683,0.3930826187133789,0.9999999403953552,0.2559770941734314,0.4227842092514038,0.21291705965995789,0.3633003234863281,0.21279631555080414,0.15920959413051605
are,0.3841303884983063,0.29724663496017456,0.1846873015165329,1.0,0.17935334146022797,0.26599404215812683,0.20467253029346466,0.23839090764522552,0.48576638102531433,0.2759416699409485,0.15189868211746216,0.24591213464736938
given,0.2528568208217621,0.21883496642112732,0.187874898314476,0.20467253029346466,0.23652279376983643,0.2559770941734314,1.0,0.33072221279144287,0.30185943841934204,0.22428612411022186,0.2586812376976013,0.2570464313030243
collaborative,0.2400020956993103,0.3112393021583557,0.11839095503091812,0.17548616230487823,0.19588316977024078,0.23807379603385925,0.14340244233608246,0.3067575693130493,0.29439449310302734,0.31448453664779663,0.10700032860040665,0.24745848774909973
prescriptive,0.18423563241958618,0.32793307304382324,0.2720748484134674,0.23839090764522552,0.42066940665245056,0.4227842092514038,0.33072221279144287,0.9999998807907104,0.19134476780891418,0.47748231887817383,0.24383394420146942,0.24508830904960632
and,0.4954058527946472,0.31309178471565247,0.2974761426448822,0.48576638102531433,0.24346593022346497,0.21291705965995789,0.30185943841934204,0.19134476780891418,1.0,0.19730432331562042,0.22905389964580536,0.20544172823429108
diagnostic,0.22770391404628754,0.27684304118156433,0.17752879858016968,0.2759416699409485,0.2814617455005646,0.3633003234863281,0.22428612411022186,0.47748231887817383,0.19730432331562042,1.0000001192092896,0.16642241179943085,0.2203804850578308
authority,0.214982271194458,0.23046736419200897,0.2760929763317108,0.15189868211746216,0.13762475550174713,0.21279631555080414,0.2586812376976013,0.24383394420146942,0.22905389964580536,0.16642241179943085,1.0000001192092896,0.18404170870780945
.,0.5591574311256409,0.3567904531955719,0.33941102027893066,0.3452940285205841,0.2583400309085846,0.20584537088871002,0.3169408142566681,0.21381260454654694,0.588965117931366,0.23422977328300476,0.19641262292861938,0.4130953550338745
