,when,did,operation,anvil,open,?
operation,0.22467392683029175,0.14901505410671234,1.0,0.11059930920600891,0.18259164690971375,0.12387953698635101
anvil,0.26234230399131775,0.2066771537065506,0.11059930920600891,1.0000001192092896,0.13960447907447815,0.1612318456172943
opened,0.20552390813827515,0.2014526128768921,0.22177211940288544,0.09131760150194168,0.39371490478515625,0.1934700310230255
on,0.37706470489501953,0.2670976221561432,0.2553090453147888,0.17452947795391083,0.26220741868019104,0.2714994251728058
24,-0.04070616886019707,-0.04566230997443199,-0.029404928907752037,-0.019764985889196396,0.04150550439953804,0.016154835000634193
april,0.2554110586643219,0.2925565242767334,0.2209433913230896,0.14914663136005402,0.18214105069637299,0.25704094767570496
1954,0.06652027368545532,-0.09083899110555649,0.08052916824817657,0.025524452328681946,-0.09363962709903717,-0.028866952285170555
",",0.36674630641937256,0.3015086054801941,0.24555085599422455,0.26047661900520325,0.28863707184791565,0.31091248989105225
after,0.5331412553787231,0.30330467224121094,0.23719371855258942,0.1415897160768509,0.19182804226875305,0.16608688235282898
weeks,0.3081195652484894,0.28692591190338135,0.19342604279518127,0.13044001162052155,0.23988988995552063,0.21667936444282532
of,0.3757161796092987,0.2513895630836487,0.259731262922287,0.14830033481121063,0.17970167100429535,0.1826142966747284
planning,0.22926212847232819,0.3283427655696869,0.35886895656585693,0.10438864678144455,0.18154403567314148,0.1869431883096695
by,0.4376842677593231,0.18574509024620056,0.13381029665470123,0.17422012984752655,0.16097451746463776,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,0.2985492944717407,0.16400893032550812,0.2764171361923218,0.22068053483963013
army,0.2435331642627716,0.21148359775543213,0.251592755317688,0.03651374578475952,0.15834857523441315,0.180583193898201
with,0.5075214505195618,0.25472134351730347,0.2023899108171463,0.27073681354522705,0.24389693140983582,0.2433311939239502
the,0.5091903209686279,0.34736719727516174,0.2985492944717407,0.16400893032550812,0.2764171361923218,0.22068053483963013
approval,0.2815716564655304,0.28524699807167053,0.2638368308544159,0.1359807401895523,0.23362764716148376,0.23795439302921295
of,0.3757161796092987,0.2513895630836487,0.259731262922287,0.14830033481121063,0.17970167100429535,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.2985492944717407,0.16400893032550812,0.2764171361923218,0.22068053483963013
war,0.26339730620384216,0.27422013878822327,0.35601574182510376,0.13219550251960754,0.10627880692481995,0.15510529279708862
council,0.1893327534198761,0.13965484499931335,0.16766755282878876,0.1427125185728073,0.03523501753807068,0.1160062924027443
.,0.475719153881073,0.35288307070732117,0.21765126287937164,0.24432604014873505,0.28460413217544556,0.4130953550338745
