,what,percentage,of,electricity,was,made,by,steam,turbine,in,the,1990s,?
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.274786114692688,0.48711544275283813,0.3885267674922943,0.4408751428127289,0.23105813562870026,0.1799832284450531,0.6662389636039734,1.0,-0.09473290294408798,0.22068053483963013
main,0.2344268560409546,0.15041472017765045,0.3177044689655304,0.15078336000442505,0.21035033464431763,0.21967743337154388,0.21864338219165802,0.08592788130044937,0.11857553571462631,0.28862449526786804,0.38631999492645264,-0.15179303288459778,0.1665669083595276
use,0.3453877568244934,0.30084267258644104,0.2750902473926544,0.332009494304657,0.17744606733322144,0.2412480264902115,0.21048003435134888,0.2950085997581482,0.27970215678215027,0.2715643048286438,0.34342584013938904,-0.023696783930063248,0.32795652747154236
for,0.3017193675041199,0.2764090597629547,0.4185989499092102,0.21306993067264557,0.3863949179649353,0.3147922456264496,0.3248702883720398,0.19393667578697205,0.16188207268714905,0.4322226941585541,0.4739971458911896,0.0328381322324276,0.264628142118454
steam,0.15672586858272552,0.17587487399578094,0.20239725708961487,0.4412391483783722,0.16913670301437378,0.19250525534152985,0.18134352564811707,1.0000001192092896,0.5301763415336609,0.19852672517299652,0.23105813562870026,-0.1276746243238449,0.113324373960495
turbines,0.17412316799163818,0.23708678781986237,0.2403727024793625,0.5334959626197815,0.19179941713809967,0.17503486573696136,0.25462156534194946,0.5227647423744202,0.9344314932823181,0.23479467630386353,0.2202165722846985,-0.19117675721645355,0.18342499434947968
is,0.28837618231773376,0.23538601398468018,0.4854315221309662,0.22211486101150513,0.5810302495956421,0.29543453454971313,0.3899846076965332,0.13029660284519196,0.20463748276233673,0.5394441485404968,0.5823672413825989,-0.1025247797369957,0.22961433231830597
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.2437814176082611,0.45514053106307983,0.25271502137184143,0.370934396982193,0.19852672517299652,0.19420358538627625,1.0,0.6662389636039734,-0.1172933429479599,0.20430970191955566
electricity,0.20851419866085052,0.22841311991214752,0.22897469997406006,0.9999999403953552,0.19055983424186707,0.24107123911380768,0.2150920331478119,0.4412391483783722,0.5109224915504456,0.2437814176082611,0.274786114692688,-0.0320553258061409,0.17856204509735107
generation,0.1869358867406845,0.1736982762813568,0.23948384821414948,0.29217860102653503,0.2064366340637207,0.17707706987857819,0.20420892536640167,0.2492176592350006,0.3087300956249237,0.1854984611272812,0.26573610305786133,-0.05911845713853836,0.18250396847724915
