,what,is,income,inequality,attributed,to,?
neoclassical,0.23971682786941528,0.19961686432361603,0.21451933681964874,0.3471813499927521,0.3192405104637146,0.18782052397727966,0.19664928317070007
economics,0.21107932925224304,0.19443869590759277,0.3433777987957001,0.3768908679485321,0.1022609993815422,0.22133201360702515,0.15849412977695465
views,0.32671356201171875,0.1585468053817749,0.26254796981811523,0.2866062819957733,0.1817728877067566,0.27688995003700256,0.19388815760612488
inequalities,0.2880789637565613,0.18202315270900726,0.37544959783554077,0.7787728309631348,0.2144002765417099,0.24037407338619232,0.19635117053985596
in,0.30808621644973755,0.5394441485404968,0.1795814335346222,0.19402410089969635,0.1462014615535736,0.45010748505592346,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.23699946701526642,0.23508106172084808,0.21220806241035461,0.535392165184021,0.22068053483963013
distribution,0.17429208755493164,0.2414398044347763,0.24441708624362946,0.3017756938934326,0.17512589693069458,0.18405549228191376,0.0929616317152977
of,0.33290785551071167,0.4854315221309662,0.2581324577331543,0.27910974621772766,0.2709019184112549,0.41548454761505127,0.1826142966747284
income,0.21837803721427917,0.14559021592140198,1.0,0.46967795491218567,0.19990859925746918,0.27188464999198914,0.14935168623924255
as,0.31749409437179565,0.43216490745544434,0.1530616581439972,0.1947982758283615,0.2434086799621582,0.42092081904411316,0.27043893933296204
arising,0.31933221220970154,0.2170674055814743,0.21548902988433838,0.4022027254104614,0.21421800553798676,0.27610599994659424,0.14599399268627167
from,0.2737620174884796,0.27355384826660156,0.17458222806453705,0.06381086260080338,0.23413144052028656,0.4069952368736267,0.19969791173934937
differences,0.3500737249851227,0.26013633608818054,0.3093383312225342,0.43724584579467773,0.24097615480422974,0.2743901312351227,0.20399115979671478
in,0.30808621644973755,0.5394441485404968,0.1795814335346222,0.19402410089969635,0.1462014615535736,0.45010748505592346,0.20430970191955566
value,0.24056871235370636,0.22550974786281586,0.3184899091720581,0.33105677366256714,0.21465334296226501,0.23921877145767212,0.23920650780200958
added,0.23789235949516296,0.21163742244243622,0.2154298573732376,0.19223667681217194,0.30319756269454956,0.29473474621772766,0.2865637540817261
by,0.2455483376979828,0.3899846076965332,0.17474129796028137,0.17648567259311676,0.3223225772380829,0.33534231781959534,0.17966607213020325
labor,0.1943984031677246,0.13817991316318512,0.28508612513542175,0.3555051386356354,0.1631719470024109,0.21037620306015015,0.19386747479438782
",",0.3087472915649414,0.4691906273365021,0.19703416526317596,0.21822890639305115,0.23475953936576843,0.44245919585227966,0.31091248989105225
capital,0.17967931926250458,0.2849797308444977,0.2837882339954376,0.24214337766170502,0.07134464383125305,0.1844596415758133,0.0907452180981636
and,0.31309178471565247,0.3859752118587494,0.2518245577812195,0.2590520679950714,0.20042148232460022,0.48971283435821533,0.20544172823429108
land,0.23411516845226288,0.22457899153232574,0.23736657202243805,0.1743047684431076,0.09747172892093658,0.2885280251502991,0.1432059109210968
.,0.3567904531955719,0.4569662809371948,0.26448529958724976,0.22563500702381134,0.2074218988418579,0.4645031690597534,0.4130953550338745
,what,is,income,inequality,attributed,to,?
within,0.2498195916414261,0.30135563015937805,0.23654690384864807,0.1734551042318344,0.14496730268001556,0.34980177879333496,0.1870293766260147
labor,0.1943984031677246,0.13817991316318512,0.28508612513542175,0.3555051386356354,0.1631719470024109,0.21037620306015015,0.19386747479438782
income,0.21837803721427917,0.14559021592140198,1.0,0.46967795491218567,0.19990859925746918,0.27188464999198914,0.14935168623924255
distribution,0.17429208755493164,0.2414398044347763,0.24441708624362946,0.3017756938934326,0.17512589693069458,0.18405549228191376,0.0929616317152977
is,0.28837618231773376,1.0,0.14559021592140198,0.1953488290309906,0.15490207076072693,0.42745086550712585,0.22961433231830597
due,0.15204688906669617,0.24065633118152618,0.1845283955335617,0.20805203914642334,0.2398608922958374,0.35188060998916626,0.10954997688531876
to,0.455847829580307,0.42745086550712585,0.27188464999198914,0.24361056089401245,0.1937648355960846,1.0,0.29463258385658264
differences,0.3500737249851227,0.26013633608818054,0.3093383312225342,0.43724584579467773,0.24097615480422974,0.2743901312351227,0.20399115979671478
in,0.30808621644973755,0.5394441485404968,0.1795814335346222,0.19402410089969635,0.1462014615535736,0.45010748505592346,0.20430970191955566
value,0.24056871235370636,0.22550974786281586,0.3184899091720581,0.33105677366256714,0.21465334296226501,0.23921877145767212,0.23920650780200958
added,0.23789235949516296,0.21163742244243622,0.2154298573732376,0.19223667681217194,0.30319756269454956,0.29473474621772766,0.2865637540817261
by,0.2455483376979828,0.3899846076965332,0.17474129796028137,0.17648567259311676,0.3223225772380829,0.33534231781959534,0.17966607213020325
different,0.39262300729751587,0.24624870717525482,0.23413468897342682,0.31819629669189453,0.17780983448028564,0.3617510497570038,0.24476227164268494
classifications,0.21462439000606537,0.18983225524425507,0.20410819351673126,0.23480774462223053,0.17954306304454803,0.2127382606267929,0.19250738620758057
of,0.33290785551071167,0.4854315221309662,0.2581324577331543,0.27910974621772766,0.2709019184112549,0.41548454761505127,0.1826142966747284
workers,0.21390831470489502,0.16085883975028992,0.2732676565647125,0.3051680624485016,0.09657122939825058,0.2307046800851822,0.1706571877002716
.,0.3567904531955719,0.4569662809371948,0.26448529958724976,0.22563500702381134,0.2074218988418579,0.4645031690597534,0.4130953550338745
