,what,is,the,bielany,forest,the,last,remnant,of,?
bielany,0.19961179792881012,0.27683836221694946,0.2801413834095001,1.0,0.2290187031030655,0.2801413834095001,0.20237739384174347,0.16323135793209076,0.24041648209095,0.20519569516181946
forest,0.15328429639339447,0.209678515791893,0.24134553968906403,0.2290187031030655,1.0000001192092896,0.24134553968906403,0.15160499513149261,0.19149711728096008,0.2309139519929886,0.1214437186717987
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3155387341976166,0.2901519536972046,0.4933079481124878,0.29026782512664795,0.2536679208278656,0.4946078956127167,0.31091248989105225
located,0.2034616470336914,0.35717159509658813,0.407527357339859,0.18817536532878876,0.15576256811618805,0.407527357339859,0.13722658157348633,0.20720863342285156,0.32520920038223267,0.08983194828033447
within,0.2498195916414261,0.30135563015937805,0.39827480912208557,0.18984100222587585,0.159495547413826,0.39827480912208557,0.28052759170532227,0.2683458626270294,0.39594778418540955,0.1870293766260147
the,0.42745697498321533,0.5823672413825989,1.0,0.2801413834095001,0.24134553968906403,1.0,0.3698786795139313,0.30171096324920654,0.733189046382904,0.22068053483963013
borders,0.2646850049495697,0.2527235448360443,0.28853991627693176,0.1428561806678772,0.2942621111869812,0.28853991627693176,0.08074650168418884,0.19324545562267303,0.2618892192840576,0.13029009103775024
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24041648209095,0.2309139519929886,0.733189046382904,0.3052992522716522,0.2425432801246643,1.0,0.1826142966747284
warsaw,0.10373849421739578,0.09741193056106567,0.23137180507183075,0.31694042682647705,0.21301954984664917,0.23137180507183075,0.12620431184768677,0.07587351649999619,0.19253842532634735,0.09769917279481888
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3155387341976166,0.2901519536972046,0.4933079481124878,0.29026782512664795,0.2536679208278656,0.4946078956127167,0.31091248989105225
is,0.28837618231773376,1.0,0.5823672413825989,0.27683836221694946,0.209678515791893,0.5823672413825989,0.2445172220468521,0.27735665440559387,0.4854315221309662,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.2801413834095001,0.24134553968906403,1.0,0.3698786795139313,0.30171096324920654,0.733189046382904,0.22068053483963013
remaining,0.21802754700183868,0.24525704979896545,0.45105910301208496,0.1793372631072998,0.2815878987312317,0.45105910301208496,0.4084468185901642,0.35271716117858887,0.3693024218082428,0.16961920261383057
part,0.3476244807243347,0.4582172930240631,0.527681291103363,0.2831338346004486,0.1764606237411499,0.527681291103363,0.23332151770591736,0.2818668782711029,0.452393114566803,0.08557961881160736
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24041648209095,0.2309139519929886,0.733189046382904,0.3052992522716522,0.2425432801246643,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2801413834095001,0.24134553968906403,1.0,0.3698786795139313,0.30171096324920654,0.733189046382904,0.22068053483963013
masovian,0.180633544921875,0.2088344842195511,0.2597903609275818,0.30355313420295715,0.19548240303993225,0.2597903609275818,0.20933374762535095,0.28541696071624756,0.2839367687702179,0.11271452158689499
primeval,0.2607673108577728,0.2870083451271057,0.3412643074989319,0.12103353440761566,0.3043822944164276,0.3412643074989319,0.120220847427845,0.3076213300228119,0.3486279249191284,0.10457183420658112
forest,0.15328429639339447,0.209678515791893,0.24134553968906403,0.2290187031030655,1.0000001192092896,0.24134553968906403,0.15160499513149261,0.19149711728096008,0.2309139519929886,0.1214437186717987
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.33447152376174927,0.2418428510427475,0.5934505462646484,0.3548945486545563,0.2517551779747009,0.5352458953857422,0.4130953550338745
