,what,agency,did,the,spanish,version,of,the,super,bowl,?
on,0.34226128458976746,0.18671666085720062,0.2670976221561432,0.5107308030128479,0.13294139504432678,0.25959500670433044,0.3966929316520691,0.5107308030128479,0.1569211632013321,0.1334993690252304,0.2714994251728058
december,0.19304980337619781,0.208958238363266,0.2542226016521454,0.23266014456748962,0.1788378655910492,0.2046426683664322,0.1503814309835434,0.23266014456748962,0.12969878315925598,0.1459324061870575,0.2480352818965912
28,-0.2335955947637558,-0.08500106632709503,-0.2346872240304947,-0.31177106499671936,-0.23884320259094238,-0.044191740453243256,-0.2696417272090912,-0.31177106499671936,-0.08928175270557404,-0.14957939088344574,-0.012856917455792427
",",0.3087472915649414,0.21437011659145355,0.3015086054801941,0.4933079481124878,0.2153884321451187,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
2015,-0.07269049435853958,0.03335421159863472,0.02002497762441635,0.1466771513223648,0.12440259754657745,0.041410695761442184,0.21138253808021545,0.1466771513223648,0.04363032057881355,0.0710686594247818,-0.029954981058835983
",",0.3087472915649414,0.21437011659145355,0.3015086054801941,0.4933079481124878,0.2153884321451187,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
espn,0.20291002094745636,0.20482853055000305,0.16097742319107056,0.19345609843730927,0.14475861191749573,0.20491710305213928,0.12878696620464325,0.19345609843730927,0.2034922093153,0.3075534701347351,0.1709517240524292
deportes,0.13167431950569153,0.22070354223251343,0.13290858268737793,0.19800831377506256,0.3305516541004181,0.014348051510751247,0.15270814299583435,0.19800831377506256,0.1081145852804184,0.13978607952594757,0.14327947795391083
announced,0.09249057620763779,0.19681033492088318,0.2690480351448059,0.2277132272720337,0.08565793931484222,0.208434596657753,0.22339491546154022,0.2277132272720337,0.1638530194759369,0.11583950370550156,0.17416009306907654
that,0.6297725439071655,0.18285544216632843,0.47518548369407654,0.5473989248275757,0.1831190586090088,0.26565122604370117,0.41498205065727234,0.5473989248275757,0.18258553743362427,0.10987387597560883,0.32716336846351624
