,what,does,oxygen,therapy,promote,the,body,to,take,up,?
oxygen,0.16781960427761078,0.2380215972661972,0.9999999403953552,0.297489196062088,0.16353783011436462,0.20428593456745148,0.3428889811038971,0.24193501472473145,0.1692802608013153,0.28784632682800293,0.16786395013332367
therapy,0.23743373155593872,0.17537446320056915,0.297489196062088,1.0000001192092896,0.21692883968353271,0.1722976714372635,0.27014070749282837,0.26339656114578247,0.20940996706485748,0.13192255795001984,0.18962311744689941
is,0.28837618231773376,0.4403602182865143,0.21825239062309265,0.19175049662590027,0.1833173632621765,0.5823672413825989,0.2790417969226837,0.42745086550712585,0.22669753432273865,0.2853454053401947,0.22961433231830597
used,0.27546408772468567,0.3498048484325409,0.21276918053627014,0.24858853220939636,0.19969134032726288,0.3718377649784088,0.20453234016895294,0.40058770775794983,0.2592400312423706,0.2526317238807678,0.22430120408535004
to,0.455847829580307,0.4391997456550598,0.24193501472473145,0.26339656114578247,0.3513890206813812,0.535392165184021,0.307265043258667,1.0,0.4075521230697632,0.40375280380249023,0.29463258385658264
treat,0.2892279624938965,0.2397446632385254,0.2467268705368042,0.5313321948051453,0.22635886073112488,0.1719713807106018,0.21856416761875153,0.33764615654945374,0.2608601152896881,0.18542084097862244,0.196433886885643
emphysema,0.23493273556232452,0.12484170496463776,0.3021143674850464,0.340986967086792,0.08395246416330338,0.23628781735897064,0.26068758964538574,0.22327853739261627,0.17598804831504822,0.16767483949661255,0.2018592655658722
",",0.3087472915649414,0.28617382049560547,0.21812842786312103,0.15234890580177307,0.27121588587760925,0.4933079481124878,0.22437527775764465,0.44245919585227966,0.2881867289543152,0.34193792939186096,0.31091248989105225
pneumonia,0.09324188530445099,0.10064776986837387,0.2479979693889618,0.2217470407485962,0.08202791213989258,0.15454815328121185,0.1638297438621521,0.15205666422843933,0.09743228554725647,0.13684195280075073,0.148961141705513
",",0.3087472915649414,0.28617382049560547,0.21812842786312103,0.15234890580177307,0.27121588587760925,0.4933079481124878,0.22437527775764465,0.44245919585227966,0.2881867289543152,0.34193792939186096,0.31091248989105225
some,0.4491020441055298,0.39611563086509705,0.23425762355327606,0.25810667872428894,0.21815668046474457,0.4566698372364044,0.27714428305625916,0.4636894166469574,0.33165034651756287,0.336993008852005,0.2562315762042999
heart,0.18515849113464355,0.12511193752288818,0.3104756772518158,0.19071276485919952,0.149867981672287,0.23747070133686066,0.2747819423675537,0.2012307196855545,0.15580232441425323,0.1693544089794159,0.11825142055749893
disorders,0.272768497467041,0.22698594629764557,0.25141847133636475,0.39773252606391907,0.16580483317375183,0.23239798843860626,0.2631624937057495,0.21753479540348053,0.1825266033411026,0.16660240292549133,0.2264077365398407
(,0.2411840260028839,0.2728188931941986,0.189798504114151,0.10863378643989563,0.1858111470937729,0.33289089798927307,0.1610826849937439,0.30882009863853455,0.21149633824825287,0.2525939643383026,0.40561532974243164
congestive,0.14719107747077942,0.16902616620063782,0.2607280910015106,0.29001012444496155,0.11948839575052261,0.2832299768924713,0.24175111949443817,0.2234758734703064,0.18794137239456177,0.17479200661182404,0.19712117314338684
heart,0.18515849113464355,0.12511193752288818,0.3104756772518158,0.19071276485919952,0.149867981672287,0.23747070133686066,0.2747819423675537,0.2012307196855545,0.15580232441425323,0.1693544089794159,0.11825142055749893
failure,0.19130942225456238,0.18532635271549225,0.16817089915275574,0.11211387813091278,0.1555413007736206,0.24083465337753296,0.15730608999729156,0.2692638337612152,0.18380597233772278,0.06186475604772568,0.12142058461904526
),0.26259949803352356,0.2575884759426117,0.19541971385478973,0.1093178391456604,0.19937369227409363,0.3456730246543884,0.15783365070819855,0.31236231327056885,0.198357492685318,0.25800976157188416,0.42300865054130554
",",0.3087472915649414,0.28617382049560547,0.21812842786312103,0.15234890580177307,0.27121588587760925,0.4933079481124878,0.22437527775764465,0.44245919585227966,0.2881867289543152,0.34193792939186096,0.31091248989105225
