,what,radio,network,was,rca,using,to,eliminate,competition,in,1940,?
at,0.2838611304759979,0.20139797031879425,0.20603609085083008,0.36707764863967896,0.140472874045372,0.23787257075309753,0.36524343490600586,0.0910961925983429,0.2269010990858078,0.4374977946281433,-0.2820303738117218,0.21978627145290375
that,0.6297725439071655,0.13973630964756012,0.2984007000923157,0.33670201897621155,0.118202343583107,0.4372335970401764,0.5436353087425232,0.3175961971282959,0.28371796011924744,0.435920387506485,-0.09509868919849396,0.32716336846351624
time,0.36319252848625183,0.18467624485492706,0.21207119524478912,0.3641340136528015,0.15551933646202087,0.2605619430541992,0.3679993152618408,0.12265464663505554,0.24673621356487274,0.3431483507156372,-0.20749573409557343,0.27391523122787476
",",0.3087472915649414,0.25251123309135437,0.1932937651872635,0.45456063747406006,0.19369250535964966,0.27050045132637024,0.44245919585227966,0.2086649388074875,0.2820526659488678,0.5201468467712402,-0.20017379522323608,0.31091248989105225
the,0.42745697498321533,0.23511973023414612,0.27187061309814453,0.48711544275283813,0.12673714756965637,0.28364112973213196,0.535392165184021,0.21384422481060028,0.257230669260025,0.6662389636039734,-0.22581081092357635,0.22068053483963013
nbc,0.1638578325510025,0.40396854281425476,0.4656192362308502,0.251334547996521,0.28461092710494995,0.1220577284693718,0.14568616449832916,0.07899904996156693,0.21173395216464996,0.19303210079669952,-0.13842344284057617,0.1680917739868164
red,0.16784515976905823,0.1019945815205574,0.08126477152109146,0.1680612564086914,0.1743030548095703,0.17688515782356262,0.19477520883083344,0.19878827035427094,0.1680149883031845,0.18753071129322052,-0.1526724249124527,0.1495664119720459
network,0.16917307674884796,0.3433379530906677,1.0000001192092896,0.1994880586862564,0.16861818730831146,0.25959068536758423,0.25940340757369995,0.15771682560443878,0.27755141258239746,0.19496823847293854,-0.16783514618873596,0.17853789031505585
was,0.22111038863658905,0.20381812751293182,0.1994880586862564,1.0000001192092896,0.2589319050312042,0.18766598403453827,0.3636345863342285,0.06960440427064896,0.23262746632099152,0.45514053106307983,-0.21211829781532288,0.18412111699581146
the,0.42745697498321533,0.23511973023414612,0.27187061309814453,0.48711544275283813,0.12673714756965637,0.28364112973213196,0.535392165184021,0.21384422481060028,0.257230669260025,0.6662389636039734,-0.22581081092357635,0.22068053483963013
principal,0.1582305133342743,0.12625204026699066,0.13074982166290283,0.1818326860666275,0.1657903492450714,0.047605015337467194,0.21641375124454498,0.10316924005746841,0.19316869974136353,0.2094544768333435,-0.03042035736143589,0.10016445070505142
radio,0.16863368451595306,0.9999999403953552,0.3433379530906677,0.20381812751293182,0.2857014536857605,0.20420408248901367,0.16918617486953735,-0.00700347637757659,0.1624859869480133,0.22625693678855896,-0.07467680424451828,0.08763375133275986
network,0.16917307674884796,0.3433379530906677,1.0000001192092896,0.1994880586862564,0.16861818730831146,0.25959068536758423,0.25940340757369995,0.15771682560443878,0.27755141258239746,0.19496823847293854,-0.16783514618873596,0.17853789031505585
