,what,interpretation,of,islam,is,",",for,many,of,the,adherents,",",the,``,gold,standard,'',of,their,religion,?
while,0.35511791706085205,0.2532457411289215,0.3366928696632385,0.21013721823692322,0.2713196575641632,0.38232675194740295,0.4232339859008789,0.3748262822628021,0.3366928696632385,0.39804592728614807,0.26867935061454773,0.38232675194740295,0.39804592728614807,0.01993810012936592,0.13593730330467224,0.25310489535331726,-0.10191148519515991,0.3366928696632385,0.35256603360176086,0.14556609094142914,0.21076419949531555
this,0.5489566326141357,0.32917967438697815,0.45148900151252747,0.22152648866176605,0.480927973985672,0.4316047728061676,0.5082864165306091,0.43532639741897583,0.45148900151252747,0.6274310946464539,0.26229792833328247,0.4316047728061676,0.6274310946464539,0.09380315989255905,0.18747787177562714,0.3091355860233307,0.015337302349507809,0.45148900151252747,0.40095847845077515,0.2827630937099457,0.3155723512172699
effort,0.2810528576374054,0.21491338312625885,0.21940191090106964,0.2139211744070053,0.17625613510608673,0.21392761170864105,0.2727666199207306,0.225420743227005,0.21940191090106964,0.25344645977020264,0.25039243698120117,0.21392761170864105,0.25344645977020264,0.04928821697831154,0.15557684004306793,0.14708586037158966,-0.07003626227378845,0.21940191090106964,0.28753411769866943,0.22149713337421417,0.27546563744544983
has,0.20338068902492523,0.1979069709777832,0.3909035325050354,0.1560615450143814,0.5668748617172241,0.3734780251979828,0.450642853975296,0.4266262650489807,0.3909035325050354,0.4177538752555847,0.13379773497581482,0.3734780251979828,0.4177538752555847,0.06254398077726364,0.180973082780838,0.12612733244895935,0.004576915875077248,0.3909035325050354,0.2814009487628937,0.20484566688537598,0.15994466841220856
by,0.2455483376979828,0.1904151737689972,0.3646814823150635,0.15867580473423004,0.3899846076965332,0.3680937886238098,0.3248702883720398,0.3409687578678131,0.3646814823150635,0.4408751428127289,0.181281179189682,0.3680937886238098,0.4408751428127289,-0.030704375356435776,0.13893671333789825,0.14653390645980835,-0.010275691747665405,0.3646814823150635,0.3242124021053314,0.18634642660617828,0.17966607213020325
no,0.339326947927475,0.2478908896446228,0.24809792637825012,0.13110724091529846,0.19581134617328644,0.29972612857818604,0.306581974029541,0.27654168009757996,0.24809792637825012,0.3461136817932129,0.17830367386341095,0.29972612857818604,0.3461136817932129,0.0809432715177536,0.17390552163124084,0.22752705216407776,0.07282674312591553,0.24809792637825012,0.25597304105758667,0.1800612509250641,0.32165053486824036
means,0.2553325295448303,0.28356972336769104,0.29942914843559265,0.21378400921821594,0.4087343215942383,0.24041147530078888,0.3294552266597748,0.2649623155593872,0.29942914843559265,0.32225894927978516,0.2836853563785553,0.24041147530078888,0.32225894927978516,0.09677895158529282,0.12358134239912033,0.2313106656074524,-0.012570749968290329,0.29942914843559265,0.2709062397480011,0.2143055498600006,0.21233566105365753
converted,0.1663769781589508,0.18531429767608643,0.27010029554367065,0.29826220870018005,0.19808925688266754,0.18564631044864655,0.1628529578447342,0.24064235389232635,0.27010029554367065,0.2538719177246094,0.2980133295059204,0.18564631044864655,0.2538719177246094,0.08777938783168793,0.1272493153810501,0.21857693791389465,0.10719224810600281,0.27010029554367065,0.16305671632289886,0.24707157909870148,0.12743066251277924
all,0.41981086134910583,0.2691786289215088,0.42798417806625366,0.2320181280374527,0.2553904056549072,0.425624817609787,0.41144001483917236,0.5443700551986694,0.42798417806625366,0.4860881567001343,0.316339910030365,0.425624817609787,0.4860881567001343,0.0555710643529892,0.20422807335853577,0.27868643403053284,-0.05933554098010063,0.42798417806625366,0.47224584221839905,0.18711739778518677,0.29575422406196594
",",0.3087472915649414,0.2270279824733734,0.4946078956127167,0.23459285497665405,0.4691906273365021,1.0000001192092896,0.4464869201183319,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.25550103187561035,1.0000001192092896,0.4933079481124878,0.09681109338998795,0.28787803649902344,0.2593318521976471,-0.037358131259679794,0.4946078956127167,0.3045167922973633,0.2679629921913147,0.31091248989105225
