,what,house,was,the,site,of,a,weaving,school,in,canterbury,?
other,0.341873437166214,0.17348022758960724,0.14651623368263245,0.44152235984802246,0.19204844534397125,0.38583824038505554,0.2806335389614105,0.24659579992294312,0.13396640121936798,0.39989137649536133,0.1500532478094101,0.24682199954986572
evidence,0.33425694704055786,0.11803188174962997,0.19407325983047485,0.25031140446662903,0.24458177387714386,0.2471507489681244,0.25465038418769836,0.17644397914409637,0.10043144971132278,0.16157563030719757,0.21244953572750092,0.24151235818862915
of,0.33290785551071167,0.285114049911499,0.4069072902202606,0.733189046382904,0.24291633069515228,1.0,0.5052502155303955,0.2751266658306122,0.2391800880432129,0.5696388483047485,0.26625144481658936,0.1826142966747284
the,0.42745697498321533,0.2847244441509247,0.48711544275283813,1.0,0.288954496383667,0.733189046382904,0.5829201340675354,0.27241092920303345,0.22953221201896667,0.6662389636039734,0.25006434321403503,0.22068053483963013
walloons,0.1787053346633911,0.20171260833740234,0.15636710822582245,0.2618098855018616,0.07517034560441971,0.2505747377872467,0.23529237508773804,0.2610577642917633,0.1411752998828888,0.22857673466205597,0.23752377927303314,0.1857677847146988
and,0.31309178471565247,0.2552875876426697,0.3740963041782379,0.5171257257461548,0.19108152389526367,0.5116966962814331,0.3739250600337982,0.31906402111053467,0.2752758264541626,0.4954058527946472,0.2127632349729538,0.20544172823429108
huguenots,0.22128188610076904,0.24425119161605835,0.20650696754455566,0.30745792388916016,0.09494082629680634,0.27577435970306396,0.20410758256912231,0.16578271985054016,0.15859773755073547,0.25916293263435364,0.3704512417316437,0.16010338068008423
in,0.30808621644973755,0.20026938617229462,0.45514053106307983,0.6662389636039734,0.20704983174800873,0.5696388483047485,0.539380669593811,0.21844281256198883,0.26157811284065247,1.0,0.21091140806674957,0.20430970191955566
canterbury,0.19353896379470825,0.15331806242465973,0.24297240376472473,0.25006434321403503,0.22093968093395233,0.26625144481658936,0.21998068690299988,0.15770316123962402,0.236711323261261,0.21091140806674957,1.0,0.19566942751407623
includes,0.17138352990150452,0.09813174605369568,0.2100689858198166,0.3388250470161438,0.23011843860149384,0.4359378218650818,0.25086286664009094,0.16237220168113708,0.12970320880413055,0.32460328936576843,0.14290882647037506,0.14011523127555847
a,0.3320399522781372,0.26758551597595215,0.4508470594882965,0.5829201340675354,0.21085289120674133,0.5052502155303955,1.0,0.23751506209373474,0.2245093584060669,0.539380669593811,0.21998068690299988,0.23916715383529663
block,0.33229514956474304,0.18284106254577637,0.1182115375995636,0.20056472718715668,0.1109199970960617,0.1477721929550171,0.2515272796154022,0.17748267948627472,0.12693582475185394,0.1659933477640152,0.1140972301363945,0.27211859822273254
