,how,many,years,could,separate,outbreaks,of,the,black,death,?
other,0.3591516315937042,0.6324484348297119,0.21128752827644348,0.36747515201568604,0.41537147760391235,0.17578083276748657,0.38583824038505554,0.44152235984802246,0.1947280913591385,0.15471260249614716,0.24682199954986572
arguments,0.2950565218925476,0.23041367530822754,0.21219687163829803,0.27935659885406494,0.18440474569797516,0.12791012227535248,0.20644287765026093,0.19616100192070007,0.07376677542924881,0.16826322674751282,0.2545352280139923
include,0.1816270500421524,0.4642373323440552,0.11468563973903656,0.12381427735090256,0.22854666411876678,0.23144778609275818,0.37431180477142334,0.2951717972755432,0.13864131271839142,0.16539673507213593,0.14925788342952728
the,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.35393214225769043,0.3612915575504303,0.294321209192276,0.733189046382904,1.0,0.28466513752937317,0.21438048779964447,0.22068053483963013
lack,0.2939602732658386,0.35315069556236267,0.0960041955113411,0.29375332593917847,0.21168625354766846,0.1991245150566101,0.2861039936542511,0.2674623131752014,0.2678736448287964,0.12095709145069122,0.16953514516353607
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.29043012857437134,0.33388569951057434,0.23829330503940582,1.0,0.733189046382904,0.23966942727565765,0.23778599500656128,0.1826142966747284
accounts,0.24195288121700287,0.24844014644622803,0.22844035923480988,0.28402432799339294,0.2703664302825928,0.2526921033859253,0.2083580046892166,0.20863397419452667,0.11637546122074127,0.12901414930820465,0.32252734899520874
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.29043012857437134,0.33388569951057434,0.23829330503940582,1.0,0.733189046382904,0.23966942727565765,0.23778599500656128,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.35393214225769043,0.3612915575504303,0.294321209192276,0.733189046382904,1.0,0.28466513752937317,0.21438048779964447,0.22068053483963013
death,0.19782234728336334,0.16836200654506683,0.3068992495536804,0.20658746361732483,0.17941901087760925,0.24343107640743256,0.23778599500656128,0.21438048779964447,0.1932034194469452,0.9999998807907104,0.21149799227714539
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.29043012857437134,0.33388569951057434,0.23829330503940582,1.0,0.733189046382904,0.23966942727565765,0.23778599500656128,0.1826142966747284
rats,0.18014338612556458,0.2437305599451065,0.18950481712818146,0.20793397724628448,0.08604936301708221,0.3010307848453522,0.1879846304655075,0.216946080327034,0.1869579255580902,0.11440344154834747,0.08418426662683487
before,0.33293965458869934,0.2728588581085205,0.3794313073158264,0.3317987024784088,0.24634616076946259,0.21788930892944336,0.3282964527606964,0.45900648832321167,0.1321302354335785,0.29257306456565857,0.2507109045982361
outbreaks,0.1572246551513672,0.29108569025993347,0.23434294760227203,0.18136313557624817,0.1023741140961647,1.0,0.23829330503940582,0.294321209192276,0.18002165853977203,0.24343107640743256,0.18502937257289886
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.29043012857437134,0.33388569951057434,0.23829330503940582,1.0,0.733189046382904,0.23966942727565765,0.23778599500656128,0.1826142966747284
plague,0.16610242426395416,0.2661729156970978,0.22512836754322052,0.18571250140666962,0.06749128550291061,0.5223511457443237,0.27455615997314453,0.2537761330604553,0.2843790054321289,0.2767121493816376,0.11872942000627518
between,0.2747800648212433,0.29423660039901733,0.2583497166633606,0.2235213816165924,0.3385741412639618,0.21235451102256775,0.3737983703613281,0.39067012071609497,0.15775111317634583,0.09982093423604965,0.12887074053287506
the,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.35393214225769043,0.3612915575504303,0.294321209192276,0.733189046382904,1.0,0.28466513752937317,0.21438048779964447,0.22068053483963013
14th,0.12757626175880432,0.009413436986505985,0.07684830576181412,0.07299323379993439,0.03292202204465866,0.03629592806100845,0.13562877476215363,0.21954689919948578,0.20875798165798187,0.2220802754163742,0.028729064390063286
and,0.33647966384887695,0.5296266674995422,0.300204873085022,0.3385082483291626,0.334524005651474,0.22070027887821198,0.5116966962814331,0.5171257257461548,0.24407927691936493,0.1816639006137848,0.20544172823429108
17th,0.1228373646736145,0.07855495065450668,0.1441592127084732,0.11500488966703415,0.11929132789373398,0.04780227690935135,0.19377021491527557,0.2679309546947479,0.18610119819641113,0.20009520649909973,0.096589595079422
centuries,0.15849389135837555,0.370494544506073,0.3990052044391632,0.1916908472776413,0.1841208040714264,0.30708828568458557,0.2695758044719696,0.32166481018066406,0.19090010225772858,0.23173673450946808,0.13179439306259155
;,0.07230665534734726,0.11763367056846619,0.0329226478934288,0.04205314815044403,0.16729925572872162,-0.007604438345879316,0.054534342139959335,0.09152708947658539,0.09983379393815994,0.036338236182928085,0.10349778085947037
temperatures,0.2543736696243286,0.2569347023963928,0.1960626244544983,0.23978282511234283,0.1785459667444229,0.29590320587158203,0.2011728584766388,0.27544233202934265,0.1727765053510666,0.1774095743894577,0.1895846426486969
that,0.557814359664917,0.5391656160354614,0.27599525451660156,0.5584503412246704,0.4230244755744934,0.2441757321357727,0.41498205065727234,0.5473989248275757,0.22347763180732727,0.25607815384864807,0.32716336846351624
are,0.311818927526474,0.5655534863471985,0.17491404712200165,0.33511802554130554,0.3865315318107605,0.19407036900520325,0.39081433415412903,0.40399202704429626,0.17607875168323517,0.11845523118972778,0.24591213464736938
too,0.5278277397155762,0.3951438069343567,0.16888877749443054,0.4116368889808655,0.2333841621875763,0.17264841496944427,0.22150669991970062,0.26985910534858704,0.09674875438213348,0.20138828456401825,0.33757779002189636
cold,0.18247707188129425,0.26725703477859497,0.17143771052360535,0.23115727305412292,0.16118600964546204,0.29795128107070923,0.22852186858654022,0.2897129952907562,0.12142983824014664,0.11014065891504288,0.12272877991199493
in,0.2601168751716614,0.41474202275276184,0.33554986119270325,0.29357993602752686,0.3099668025970459,0.2859959602355957,0.5696388483047485,0.6662389636039734,0.20407067239284515,0.18743370473384857,0.20430970191955566
