,what,was,the,norman,religion,?
the,0.42745697498321533,0.48711544275283813,1.0,0.23459704220294952,0.2757669985294342,0.22068053483963013
descendants,0.16656607389450073,0.24016273021697998,0.3091757893562317,0.20892532169818878,0.26379895210266113,0.10391592979431152
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.15827171504497528,0.30360451340675354,0.1826142966747284
rollo,0.19718779623508453,0.2316606491804123,0.2636377513408661,0.3752019703388214,0.19917918741703033,0.18782676756381989
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,-0.10612574219703674,0.022218767553567886,-0.023395681753754616
vikings,0.20063059031963348,0.21519386768341064,0.26650679111480713,0.3365039825439453,0.2427329421043396,0.10219103842973709
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21611377596855164,0.2620435655117035,0.20544172823429108
their,0.35142919421195984,0.2396296262741089,0.516537070274353,0.15736374258995056,0.2649308145046234,0.1898253709077835
frankish,0.1821095049381256,0.25347912311553955,0.3168545961380005,0.32561779022216797,0.25014030933380127,0.152495339512825
wives,0.17020493745803833,0.1664389818906784,0.2053544670343399,0.20094093680381775,0.2152804583311081,0.13819661736488342
would,0.45766422152519226,0.41663143038749695,0.4133751392364502,0.13474872708320618,0.23908765614032745,0.37178951501846313
replace,0.2028827667236328,0.1948053240776062,0.21257810294628143,0.15115053951740265,0.0985267385840416,0.27411603927612305
the,0.42745697498321533,0.48711544275283813,1.0,0.23459704220294952,0.2757669985294342,0.22068053483963013
norse,0.1926952451467514,0.20671024918556213,0.23731711506843567,0.33077749609947205,0.26667898893356323,0.14860166609287262
religion,0.3103729486465454,0.2115422934293747,0.2757669985294342,0.10567178577184677,0.9999999403953552,0.2503177225589752
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21611377596855164,0.2620435655117035,0.20544172823429108
old,0.22117848694324493,0.2867572605609894,0.31849798560142517,0.2051687240600586,0.15463827550411224,0.20577076077461243
norse,0.1926952451467514,0.20671024918556213,0.23731711506843567,0.33077749609947205,0.26667898893356323,0.14860166609287262
