,how,many,volumes,are,contained,in,the,library,?
it,0.36714982986450195,0.39615920186042786,0.1648276001214981,0.3617996573448181,0.3214799463748932,0.5130809545516968,0.6251175999641418,0.1741359829902649,0.25732165575027466
operates,0.16758139431476593,0.16700030863285065,0.10347077995538712,0.29299119114875793,0.20494228601455688,0.28906163573265076,0.2663705050945282,0.20642223954200745,0.12270797789096832
several,0.28568220138549805,0.7239733338356018,0.17979943752288818,0.4241659343242645,0.22535914182662964,0.39405709505081177,0.40559855103492737,0.14943283796310425,0.15595775842666626
arts,0.1528770476579666,0.26020848751068115,0.1734638512134552,0.16166570782661438,0.16407902538776398,0.2445804625749588,0.23374557495117188,0.29444992542266846,0.09471383690834045
",",0.22659391164779663,0.40610817074775696,0.27979719638824463,0.4062570035457611,0.2537172734737396,0.5201468467712402,0.4933079481124878,0.16805633902549744,0.31091248989105225
cultural,0.17982208728790283,0.2582838833332062,0.18161602318286896,0.16102440655231476,0.19667403399944305,0.2409708946943283,0.23337452113628387,0.21870914101600647,0.09798457473516464
",",0.22659391164779663,0.40610817074775696,0.27979719638824463,0.4062570035457611,0.2537172734737396,0.5201468467712402,0.4933079481124878,0.16805633902549744,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2858909070491791,0.48576638102531433,0.3102993071079254,0.4954058527946472,0.5171257257461548,0.18451033532619476,0.20544172823429108
scientific,0.2153155654668808,0.27610665559768677,0.22787360846996307,0.26809319853782654,0.14464201033115387,0.1717730164527893,0.24748262763023376,0.21957656741142273,0.16215236485004425
museums,0.13651123642921448,0.34076806902885437,0.2578566074371338,0.27460694313049316,0.19135527312755585,0.2833188474178314,0.2721219062805176,0.3587424159049988,0.1374243199825287
",",0.22659391164779663,0.40610817074775696,0.27979719638824463,0.4062570035457611,0.2537172734737396,0.5201468467712402,0.4933079481124878,0.16805633902549744,0.31091248989105225
alongside,0.20271705090999603,0.2588617205619812,0.13740959763526917,0.17913924157619476,0.18706537783145905,0.2767621576786041,0.2475084811449051,0.08784740418195724,0.20579710602760315
the,0.33890387415885925,0.4335206151008606,0.21537050604820251,0.40399202704429626,0.31440216302871704,0.6662389636039734,1.0,0.19920319318771362,0.22068053483963013
harvard,0.19650645554065704,0.19690528512001038,0.24615439772605896,0.1259138286113739,0.10111546516418457,0.26072487235069275,0.24496200680732727,0.28255677223205566,0.11685016006231308
library,0.09932420402765274,0.1814885139465332,0.29893770813941956,0.13147571682929993,0.19002459943294525,0.2101847380399704,0.19920319318771362,0.9999999403953552,0.18938742578029633
",",0.22659391164779663,0.40610817074775696,0.27979719638824463,0.4062570035457611,0.2537172734737396,0.5201468467712402,0.4933079481124878,0.16805633902549744,0.31091248989105225
