,what,are,outcomes,expected,with,medication,therapy,management,?
the,0.42745697498321533,0.40399202704429626,0.2693452537059784,0.3108554780483246,0.4223487675189972,0.24671530723571777,0.1722976714372635,0.26673808693885803,0.22068053483963013
result,0.19945499300956726,0.18835392594337463,0.47674235701560974,0.38041597604751587,0.21787862479686737,0.3018014132976532,0.23314838111400604,0.17453664541244507,0.17218433320522308
is,0.28837618231773376,0.5330929756164551,0.32078880071640015,0.20087631046772003,0.3250955045223236,0.2604193687438965,0.19175049662590027,0.24706420302391052,0.22961433231830597
a,0.3320399522781372,0.265255331993103,0.2611212134361267,0.309760719537735,0.3783375024795532,0.30508431792259216,0.24302813410758972,0.2614014744758606,0.23916715383529663
reconciliation,0.23001986742019653,0.16594897210597992,0.3399582505226135,0.20018835365772247,0.1537206470966339,0.2659010589122772,0.31127309799194336,0.2147883027791977,0.17171992361545563
of,0.33290785551071167,0.39081433415412903,0.2874711751937866,0.26944905519485474,0.41827285289764404,0.2616158723831177,0.19317765533924103,0.31602242588996887,0.1826142966747284
medication,0.28847256302833557,0.28778642416000366,0.4195146858692169,0.23065167665481567,0.23143208026885986,1.0000001192092896,0.6134744882583618,0.2870273292064667,0.2275196760892868
and,0.31309178471565247,0.48576638102531433,0.23571543395519257,0.33531272411346436,0.5477725267410278,0.21169638633728027,0.16298642754554749,0.3066174387931824,0.20544172823429108
patient,0.3135989308357239,0.2341679036617279,0.301290363073349,0.1883872002363205,0.2506621479988098,0.5972321629524231,0.5361469984054565,0.2683509588241577,0.24355199933052063
education,0.19940856099128723,0.14324818551540375,0.24278965592384338,0.23223307728767395,0.11138669401407242,0.3063598573207855,0.29882413148880005,0.399750679731369,0.18067774176597595
resulting,0.17960047721862793,0.21578353643417358,0.42470818758010864,0.37536799907684326,0.3180278241634369,0.25939396023750305,0.16898870468139648,0.2241150140762329,0.10813049972057343
in,0.30808621644973755,0.3841303884983063,0.20903979241847992,0.2959997057914734,0.4080928862094879,0.18923917412757874,0.21068020164966583,0.2783967852592468,0.20430970191955566
increased,0.1599731743335724,0.20038717985153198,0.3425877094268799,0.4338805675506592,0.2477453649044037,0.27923688292503357,0.17898374795913696,0.22072869539260864,0.09587585180997849
patient,0.3135989308357239,0.2341679036617279,0.301290363073349,0.1883872002363205,0.2506621479988098,0.5972321629524231,0.5361469984054565,0.2683509588241577,0.24355199933052063
health,0.21460163593292236,0.19031372666358948,0.3417930603027344,0.24820034205913544,0.21318627893924713,0.4955759048461914,0.40780457854270935,0.3951845169067383,0.16094304621219635
outcomes,0.3678261935710907,0.35184332728385925,0.9999998807907104,0.43193063139915466,0.24806363880634308,0.4195146858692169,0.34442490339279175,0.33004817366600037,0.26170971989631653
and,0.31309178471565247,0.48576638102531433,0.23571543395519257,0.33531272411346436,0.5477725267410278,0.21169638633728027,0.16298642754554749,0.3066174387931824,0.20544172823429108
decreased,0.17693571746349335,0.17923741042613983,0.3926008343696594,0.415237694978714,0.1854146271944046,0.36995750665664673,0.24702219665050507,0.18837086856365204,0.08292442560195923
costs,0.21587958931922913,0.23149950802326202,0.3778174817562103,0.4069265127182007,0.22785615921020508,0.282888799905777,0.21322906017303467,0.2968977987766266,0.19150719046592712
to,0.455847829580307,0.3504326641559601,0.2919275462627411,0.42255479097366333,0.4239959120750427,0.29681551456451416,0.26339656114578247,0.23028287291526794,0.29463258385658264
the,0.42745697498321533,0.40399202704429626,0.2693452537059784,0.3108554780483246,0.4223487675189972,0.24671530723571777,0.1722976714372635,0.26673808693885803,0.22068053483963013
health,0.21460163593292236,0.19031372666358948,0.3417930603027344,0.24820034205913544,0.21318627893924713,0.4955759048461914,0.40780457854270935,0.3951845169067383,0.16094304621219635
care,0.2973911762237549,0.2662802040576935,0.30722346901893616,0.2215709090232849,0.21911054849624634,0.4326377809047699,0.2980271577835083,0.3151373863220215,0.24279968440532684
system,0.23557309806346893,0.21917270123958588,0.2718311548233032,0.16558313369750977,0.14296101033687592,0.23503881692886353,0.16225272417068481,0.3136819303035736,0.15556083619594574
.,0.3567904531955719,0.3452940285205841,0.2190866470336914,0.27163344621658325,0.4446153938770294,0.22485388815402985,0.21034516394138336,0.20125426352024078,0.4130953550338745
